capri_target_id,casp_target_id,role,preflight_status,dropzone_dir,target_template_pdb,candidate_submission_pdb,model_limit,model_count,atom_record_count,header_ok,author_ok,compnd_ok,model_order_ok,endmdl_ok,ter_ok,end_ok,parent_record_status,massivefold_remark_status,blockers,next_action
T327,H1311,closed,closed_context,casp17/capri_round65/format_preflight/T327_H1311,casp17/capri_round65/format_preflight/T327_H1311/target_template.pdb,casp17/capri_round65/format_preflight/T327_H1311/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,closed_target,no preflight action; target already closed
T328,H2324,closed,closed_context,casp17/capri_round65/format_preflight/T328_H2324,casp17/capri_round65/format_preflight/T328_H2324/target_template.pdb,casp17/capri_round65/format_preflight/T328_H2324/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,closed_target,no preflight action; target already closed
T329,H2312,scorer,blocked_format_preflight,casp17/capri_round65/format_preflight/T329_H2312,casp17/capri_round65/format_preflight/T329_H2312/target_template.pdb,casp17/capri_round65/format_preflight/T329_H2312/candidate_submission.pdb,10,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T330,T2313,scorer,blocked_format_preflight,casp17/capri_round65/format_preflight/T330_T2313,casp17/capri_round65/format_preflight/T330_T2313/target_template.pdb,casp17/capri_round65/format_preflight/T330_T2313/candidate_submission.pdb,10,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T331,H2338,scorer,blocked_format_preflight,casp17/capri_round65/format_preflight/T331_H2338,casp17/capri_round65/format_preflight/T331_H2338/target_template.pdb,casp17/capri_round65/format_preflight/T331_H2338/candidate_submission.pdb,10,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T332,H2339,scorer,blocked_format_preflight,casp17/capri_round65/format_preflight/T332_H2339,casp17/capri_round65/format_preflight/T332_H2339/target_template.pdb,casp17/capri_round65/format_preflight/T332_H2339/candidate_submission.pdb,10,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T333,H2319,predictor_server,blocked_format_preflight,casp17/capri_round65/format_preflight/T333_H2319,casp17/capri_round65/format_preflight/T333_H2319/target_template.pdb,casp17/capri_round65/format_preflight/T333_H2319/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T334,H2321,predictor_server,blocked_format_preflight,casp17/capri_round65/format_preflight/T334_H2321,casp17/capri_round65/format_preflight/T334_H2321/target_template.pdb,casp17/capri_round65/format_preflight/T334_H2321/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T335,H2335,predictor_server,blocked_format_preflight,casp17/capri_round65/format_preflight/T335_H2335,casp17/capri_round65/format_preflight/T335_H2335/target_template.pdb,casp17/capri_round65/format_preflight/T335_H2335/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T336,H2340,predictor_server,blocked_format_preflight,casp17/capri_round65/format_preflight/T336_H2340,casp17/capri_round65/format_preflight/T336_H2340/target_template.pdb,casp17/capri_round65/format_preflight/T336_H2340/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T337,H2343,predictor_server,blocked_format_preflight,casp17/capri_round65/format_preflight/T337_H2343,casp17/capri_round65/format_preflight/T337_H2343/target_template.pdb,casp17/capri_round65/format_preflight/T337_H2343/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T338,T2342,predictor_server,blocked_format_preflight,casp17/capri_round65/format_preflight/T338_T2342,casp17/capri_round65/format_preflight/T338_T2342/target_template.pdb,casp17/capri_round65/format_preflight/T338_T2342/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
T339,H2344,predictor_server,blocked_format_preflight,casp17/capri_round65/format_preflight/T339_H2344,casp17/capri_round65/format_preflight/T339_H2344/target_template.pdb,casp17/capri_round65/format_preflight/T339_H2344/candidate_submission.pdb,100,0,0,False,False,False,False,False,False,False,,,"target_template_pdb_missing,candidate_submission_pdb_missing","place target_template.pdb and candidate_submission.pdb, then rerun local format preflight"
