atlas_protein_key,atlas_object_key,source_lane,target_id,protein_name,object_id,materialization_status,source_coordinate_path,source_coordinate_format,source_coordinate_present,atlas_protein_folder,atlas_protein_folder_present,atlas_protein_readme,atlas_protein_readme_present,atlas_protein_manifest,atlas_protein_manifest_present,atlas_object_folder,atlas_object_folder_present,atlas_object_readme,atlas_object_readme_present,atlas_object_manifest,atlas_object_manifest_present,proposed_coordinate_copy_path,proposed_coordinate_copy_present,existing_coordinate_copy_count,coordinate_copy_policy,blockers,next_action,claim_boundary
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_A,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_A,coordinate_materialization_ready_dry_run,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/coordinates/H1335_chain_A.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_B,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_B,coordinate_materialization_ready_dry_run,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/coordinates/H1335_chain_B.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_C,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_C,coordinate_materialization_ready_dry_run,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/coordinates/H1335_chain_C.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_D,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_D,coordinate_materialization_ready_dry_run,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/coordinates/H1335_chain_D.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_E,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_E,coordinate_materialization_ready_dry_run,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/coordinates/H1335_chain_E.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_A,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_A,coordinate_materialization_ready_dry_run,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/coordinates/H1340_chain_A.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_B,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_B,coordinate_materialization_ready_dry_run,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/coordinates/H1340_chain_B.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_C,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_C,coordinate_materialization_ready_dry_run,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/coordinates/H1340_chain_C.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,current_chain_A,current_object_library,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_A,coordinate_materialization_ready_dry_run,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/coordinates/H1343_chain_A.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,current_chain_B,current_object_library,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_B,coordinate_materialization_ready_dry_run,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,pdb,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/README.md,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/object_manifest.json,true,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/coordinates/H1343_chain_B.pdb,false,0,dry_run_no_copy,,Keep link-only atlas as the tracked state; copy this source into the proposed per-object coordinates path only after operator approval.,"CASP17 3D molecular object coordinate materialization dry-run only. It verifies that each protein/object atlas folder has a present source coordinate model and a deterministic proposed destination under the per-object folder. It does not copy coordinates, alter source models, compute native accuracy, serialize a CASP author code, or submit to CASP."
