atlas_protein_key,atlas_object_key,source_lane,target_id,protein_name,object_id,metric_family,audit_status,handoff_status,metric_evidence_status,metric_requirement_count,metric_requirement_csv_row_count,required_metric_names,metric_csv_names,handoff_protein_folder,handoff_protein_readme,handoff_protein_manifest,handoff_object_folder,handoff_object_manifest,metric_requirements_csv,metric_handoff_md,atlas_object_folder,atlas_object_manifest,model_path,viewer_html,projection_svg,top5_manifest_csv,escrow_md,coordinate_copy_count,competitive_proof_eligible,author_serialized,blockers
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_A,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_A,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_A/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/renders/H1335_chain_A_projection.svg,,,0,false,false,
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_B,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_B,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_B/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/renders/H1335_chain_B_projection.svg,,,0,false,false,
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_C,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_C,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_C/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/renders/H1335_chain_C_projection.svg,,,0,false,false,
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_D,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_D,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_D/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/renders/H1335_chain_D_projection.svg,,,0,false,false,
H1335_HCMV_Merlin_gHgLgO_Fab_complex,current_chain_E,current_object_library,H1335,HCMV Merlin gHgLgO-Fab complex,chain_E,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E,casp17/casp17_3d_molecular_object_atlas/H1335_HCMV_Merlin_gHgLgO_Fab_complex/current_chain_E/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/renders/H1335_chain_E_projection.svg,,,0,false,false,
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_A,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_A,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_A/object_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/renders/H1340_chain_A_projection.svg,,,0,false,false,
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_B,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_B,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_B/object_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/renders/H1340_chain_B_projection.svg,,,0,false,false,
H1340_Parahenipavirus_F_protein_antibody_complex,current_chain_C,current_object_library,H1340,Parahenipavirus F protein /antibody complex,chain_C,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C,casp17/casp17_3d_molecular_object_atlas/H1340_Parahenipavirus_F_protein_antibody_complex/current_chain_C/object_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/renders/H1340_chain_C_projection.svg,,,0,false,false,
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,current_chain_A,current_object_library,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_A,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_A/object_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/renders/H1343_chain_A_projection.svg,,,0,false,false,
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,current_chain_B,current_object_library,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,chain_B,protein_complex,pass,ready_review_only,awaiting_strict_blind_native_metric_evidence,9,9,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,GDT_TS|lDDT|TM-score|RMSD|GDT_HA|MolProbity|DockQ|ICS|IPS,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/metric_handoff_manifest.json,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/metric_requirements.csv,casp17/casp17_3d_molecular_object_metric_handoff/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/METRIC_HANDOFF.md,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B,casp17/casp17_3d_molecular_object_atlas/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/current_chain_B/object_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/models/H1343_chain_B.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_B/renders/H1343_chain_B_projection.svg,,,0,false,false,
