dropzone_id,action_rank,operator_priority,row_rank,benchmark_id,target_id,scope,evidence_class,template_column,source_row_fill_csv,dropzone_class_folder,import_kind,source_path,drop_filename,proposed_value,expected_value_rule,evidence_ref,operator_clearance,operator_note
priority_001_REQUIRED_MONOMER_001,1,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/target_identity,value,,,,cleared historical non-current identifier,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,2,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,target_identity,target_id,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/target_identity,value,,,,cleared historical non-current identifier,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,3,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/core,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,4,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/core,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,5,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,"one of no_leak, cleared, internal_no_leak, or ready_for_row_fill",,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,6,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,non-placeholder internal method identifier,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,7,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,ISO date YYYY-MM-DD,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,8,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,ISO date YYYY-MM-DD,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,9,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,true,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,10,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,false,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,11,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,other_team_model_used,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,false,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,12,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,post_release_information_used,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,false,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,13,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,current_casp17_target,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,false,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,14,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,provenance,operator_clearance,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/provenance,value,,,,"one of no_leak, cleared, internal_no_leak, or ready_for_row_fill",,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,15,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,recursive_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/recursive,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,16,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,scored_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/scored,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,17,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,sidechain_scaffold_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/sidechain_scaffold,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,18,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,sidechain_repacked_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/sidechain_repacked,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,19,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,sidechain_completed_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/sidechain_completed,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,20,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,steric_relaxed_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/steric_relaxed,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,21,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,rotamer_minimized_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/rotamer_minimized,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,22,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,polar_refined_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/polar_refined,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,23,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,forcefield_minimized_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/forcefield_minimized,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,24,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,ablation_file,statistical_rotamer_prediction_pdb,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/files/ablation/statistical_rotamer,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_001_REQUIRED_MONOMER_001,25,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration,selected_model_rank,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/calibration,value,,,,integer 1..5,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,26,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration,best_model_rank,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/calibration,value,,,,integer 1..5,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,27,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration,selected_native_metric,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/calibration,value,,,,finite numeric value,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,28,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration,best_native_metric,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/calibration,value,,,,finite numeric value,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,29,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration,selected_score,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/calibration,value,,,,finite numeric value,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_001_REQUIRED_MONOMER_001,30,1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,calibration,best_score,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/evidence_dropzone/calibration,value,,,,finite numeric value,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,31,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,target_identity,benchmark_id,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/target_identity,value,,,,cleared historical non-current identifier,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,32,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,target_identity,target_id,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/target_identity,value,,,,cleared historical non-current identifier,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,33,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,core_file,prediction_pdb,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/files/core,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_002_REQUIRED_MONOMER_002,34,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,core_file,native_pdb,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/files/core,file,,,,non-placeholder cleared value,,,fill source_path with a cleared local historical PDB path; drop_filename is optional
priority_002_REQUIRED_MONOMER_002,35,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,provenance,leakage_clearance,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/provenance,value,,,,"one of no_leak, cleared, internal_no_leak, or ready_for_row_fill",,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,36,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,provenance,prediction_method,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/provenance,value,,,,non-placeholder internal method identifier,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,37,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,provenance,prediction_created_at,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/provenance,value,,,,ISO date YYYY-MM-DD,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,38,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,provenance,native_release_date,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/provenance,value,,,,ISO date YYYY-MM-DD,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,39,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,provenance,prediction_generated_before_native_release,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/provenance,value,,,,true,,,"fill proposed_value, evidence_ref, and operator_clearance"
priority_002_REQUIRED_MONOMER_002,40,2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,provenance,public_template_or_native_used_for_prediction,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/evidence_dropzone/provenance,value,,,,false,,,"fill proposed_value, evidence_ref, and operator_clearance"
