dropzone_id,operator_priority,row_rank,scope,current_benchmark_id,current_target_id,candidate_status,source_artifact,source_rank,source_row_status,proposed_benchmark_id,proposed_target_id,evidence_ref,operator_clearance,source_blockers,next_action
priority_001_REQUIRED_MONOMER_001,1,1,monomer,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_002_REQUIRED_MONOMER_002,2,2,monomer,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_003_REQUIRED_MONOMER_003,3,3,monomer,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_004_REQUIRED_MONOMER_004,4,4,monomer,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_005_REQUIRED_MONOMER_005,5,5,monomer,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_006_REQUIRED_MONOMER_006,6,6,monomer,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_007_REQUIRED_MONOMER_007,7,7,monomer,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_008_REQUIRED_MONOMER_008,8,8,monomer,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_009_REQUIRED_MONOMER_009,9,9,monomer,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_010_REQUIRED_MONOMER_010,10,10,monomer,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:35,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_011_REQUIRED_COMPLEX_001,11,26,complex,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:20,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_012_REQUIRED_COMPLEX_002,12,27,complex,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:20,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_013_REQUIRED_COMPLEX_003,13,28,complex,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:20,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_014_REQUIRED_COMPLEX_004,14,29,complex,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:20,fix blocked local candidate rows until a cleared non-current historical target is ready
priority_015_REQUIRED_COMPLEX_005,15,30,complex,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,awaiting_candidate_source,,0,,,,,,blocked_source_candidates:20,fix blocked local candidate rows until a cleared non-current historical target is ready
