dropzone_id,operator_priority,row_rank,scope,sync_status,missing_field_count,kit_mismatch_count,intake_proposed_benchmark_id,intake_proposed_target_id,intake_evidence_ref,intake_operator_clearance,kit_proposed_benchmark_id,kit_proposed_target_id,kit_evidence_ref,kit_operator_clearance,next_action
priority_001_REQUIRED_MONOMER_001,1,1,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_002_REQUIRED_MONOMER_002,2,2,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_003_REQUIRED_MONOMER_003,3,3,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_004_REQUIRED_MONOMER_004,4,4,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_005_REQUIRED_MONOMER_005,5,5,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_006_REQUIRED_MONOMER_006,6,6,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_007_REQUIRED_MONOMER_007,7,7,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_008_REQUIRED_MONOMER_008,8,8,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_009_REQUIRED_MONOMER_009,9,9,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_010_REQUIRED_MONOMER_010,10,10,monomer,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_011_REQUIRED_COMPLEX_001,11,26,complex,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_012_REQUIRED_COMPLEX_002,12,27,complex,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_013_REQUIRED_COMPLEX_003,13,28,complex,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_014_REQUIRED_COMPLEX_004,14,29,complex,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
priority_015_REQUIRED_COMPLEX_005,15,30,complex,awaiting_intake,4,0,,,,,,,,,"fill proposed_benchmark_id, proposed_target_id, evidence_ref, and operator_clearance in the intake bundle"
