operator_priority,row_rank,benchmark_id,target_id,scope,row_fill_status,batch_folder,row_fill_template_csv,row_fill_csv,row_fill_exists,missing_required_field_count,placeholder_field_count,missing_local_file_count,semantic_blocker_count,blockers,next_action
1,1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_001_REQUIRED_MONOMER_001/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
2,2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_002_REQUIRED_MONOMER_002/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
3,3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_003_REQUIRED_MONOMER_003/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
4,4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_004_REQUIRED_MONOMER_004/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
5,5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_005_REQUIRED_MONOMER_005/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
6,6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_006_REQUIRED_MONOMER_006/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
7,7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_007_REQUIRED_MONOMER_007/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
8,8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_008_REQUIRED_MONOMER_008/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
9,9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_009_REQUIRED_MONOMER_009/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
10,10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_010_REQUIRED_MONOMER_010/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
11,26,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,complex,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_011_REQUIRED_COMPLEX_001,casp17/competitive_floor_batch_current/priority_011_REQUIRED_COMPLEX_001/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_011_REQUIRED_COMPLEX_001/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
12,27,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,complex,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_012_REQUIRED_COMPLEX_002/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
13,28,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,complex,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_013_REQUIRED_COMPLEX_003/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
14,29,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,complex,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_014_REQUIRED_COMPLEX_004,casp17/competitive_floor_batch_current/priority_014_REQUIRED_COMPLEX_004/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_014_REQUIRED_COMPLEX_004/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
15,30,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,complex,awaiting_row_fill,casp17/competitive_floor_batch_current/priority_015_REQUIRED_COMPLEX_005,casp17/competitive_floor_batch_current/priority_015_REQUIRED_COMPLEX_005/row_fill_template.csv,casp17/competitive_floor_batch_current/priority_015_REQUIRED_COMPLEX_005/row_fill.csv,False,32,0,12,0,"row_fill.csv_missing,row_fill_csv_not_filled",copy row_fill_template.csv to row_fill.csv and replace placeholders
