dropzone_id,scope,sync_status,candidate_status,live_identity_status,proposed_benchmark_id,proposed_target_id,evidence_ref,operator_clearance,missing_field_count,applied_field_count,blockers,next_action
priority_001_REQUIRED_MONOMER_001,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_002_REQUIRED_MONOMER_002,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_003_REQUIRED_MONOMER_003,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_004_REQUIRED_MONOMER_004,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_005_REQUIRED_MONOMER_005,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_006_REQUIRED_MONOMER_006,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_007_REQUIRED_MONOMER_007,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_008_REQUIRED_MONOMER_008,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_009_REQUIRED_MONOMER_009,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_010_REQUIRED_MONOMER_010,monomer,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_011_REQUIRED_COMPLEX_001,complex,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_012_REQUIRED_COMPLEX_002,complex,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_013_REQUIRED_COMPLEX_003,complex,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_014_REQUIRED_COMPLEX_004,complex,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
priority_015_REQUIRED_COMPLEX_005,complex,waiting_on_staged_identity,awaiting_identity,awaiting_identity,,,,,4,0,candidate_identity_values_missing,wait for clearance intake staging to produce staged_for_operator_review rows
