target_id,identity_discovery_status,watchlist_status,open_flag,deadline_class,description,evidence_artifact_count,first_evidence_artifact,evidence_packet_types,candidate_use_status,blockers,next_action
H1319,closed_casp17_watchlist,closed_casp17_watchlist,false,closed,Human astrovirus VA1 capsid spike - antibody 7C8 complex,3,runs/casp17_validations_current/H1319_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,operator_review_required,no_leak_clearance_required,"operator must confirm historical eligibility, native availability, and no-leak clearance"
H1321,closed_casp17_watchlist,closed_casp17_watchlist,false,closed,Human astrovirus VA1 capsid spike - antibody 2A2 complex,9,runs/casp17_validations_current/H1321_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,operator_review_required,no_leak_clearance_required,"operator must confirm historical eligibility, native availability, and no-leak clearance"
H1335,open_current_target,current_target_folder,true,regular_expiring_soon,HCMV Merlin gHgLgO-Fab complex,22,runs/casp17_validations_current/H1335_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H1340,open_current_target,current_target_folder,true,regular,Parahenipavirus F protein /antibody complex,22,runs/casp17_validations_current/H1340_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H1343,open_current_target,current_target_folder,true,regular,Hepatitis C Virus sE2 CBH-4G Fab complex,22,runs/casp17_validations_current/H1343_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H1344,open_current_target,current_target_folder,true,regular,HSV gD - HAB72,18,runs/casp17_validations_current/H1344_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H1346,open_current_target,current_target_folder,true,regular,REGN3753 Fab-Fab complex,18,runs/casp17_validations_current/H1346_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H1347,open_current_target,current_target_folder,true,regular,REGN15499 Fab-Fab complex,18,runs/casp17_validations_current/H1347_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H1348,open_current_target,current_target_folder,true,regular,gp130 antibody complex,12,runs/casp17_validations_current/H1348_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H1349,open_current_target,current_target_folder,true,regular,gp130 antibody complex,12,runs/casp17_validations_current/H1349_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
H2312,open_current_target,current_target_folder,true,regular_expiring_soon,EXT1-EXT2-2BAV4,22,runs/casp17_validations_current/H2312_confidence_calibration.json,casp17_confidence_calibration;casp17_target_internal_scorecard,blocked_current_casp17_target,current_casp17_target_not_historical_evidence,do not use this current CASP17 target for historical identity intake
