operator_priority,dropzone_id,scope,current_benchmark_id,current_target_id,identity_candidate_status,target_identity_status,core_files_status,no_leak_provenance_status,ablation_files_status,calibration_values_status,blocking_field_count,blocking_phase_count,first_blocking_phase,first_blockers,next_unblock_action
1,priority_001_REQUIRED_MONOMER_001,monomer,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
2,priority_002_REQUIRED_MONOMER_002,monomer,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
3,priority_003_REQUIRED_MONOMER_003,monomer,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
4,priority_004_REQUIRED_MONOMER_004,monomer,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
5,priority_005_REQUIRED_MONOMER_005,monomer,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
6,priority_006_REQUIRED_MONOMER_006,monomer,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
7,priority_007_REQUIRED_MONOMER_007,monomer,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
8,priority_008_REQUIRED_MONOMER_008,monomer,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
9,priority_009_REQUIRED_MONOMER_009,monomer,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
10,priority_010_REQUIRED_MONOMER_010,monomer,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
11,priority_011_REQUIRED_COMPLEX_001,complex,hist_REQUIRED_COMPLEX_001,REQUIRED_COMPLEX_001,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
12,priority_012_REQUIRED_COMPLEX_002,complex,hist_REQUIRED_COMPLEX_002,REQUIRED_COMPLEX_002,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
13,priority_013_REQUIRED_COMPLEX_003,complex,hist_REQUIRED_COMPLEX_003,REQUIRED_COMPLEX_003,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
14,priority_014_REQUIRED_COMPLEX_004,complex,hist_REQUIRED_COMPLEX_004,REQUIRED_COMPLEX_004,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
15,priority_015_REQUIRED_COMPLEX_005,complex,hist_REQUIRED_COMPLEX_005,REQUIRED_COMPLEX_005,awaiting_candidate_source,awaiting_target_identity,awaiting_core_files,awaiting_no_leak_provenance,awaiting_ablation_files,awaiting_calibration_values,19,5,target_identity,placeholder_target_id,replace REQUIRED target/benchmark placeholders with a cleared non-current historical target identity
