dropzone_id,operator_priority,row_rank,scope,value_rank,evidence_class,template_column,identity_status,proposed_target_id,proposed_value,recommended_value,expected_value_rule,evidence_ref,operator_clearance,value_entry_status,blocker,next_action
priority_001_REQUIRED_MONOMER_001,1,1,monomer,1,target_identity,benchmark_id,awaiting_identity,,,,cleared historical non-current identifier,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,2,target_identity,target_id,awaiting_identity,,,,cleared historical non-current identifier,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,3,provenance,leakage_clearance,awaiting_identity,,,no_leak,"one of no_leak, cleared, internal_no_leak, or ready_for_row_fill",,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,4,provenance,prediction_method,awaiting_identity,,,,non-placeholder internal method identifier,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,5,provenance,prediction_created_at,awaiting_identity,,,,ISO date YYYY-MM-DD,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,6,provenance,native_release_date,awaiting_identity,,,,ISO date YYYY-MM-DD,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,7,provenance,prediction_generated_before_native_release,awaiting_identity,,,true,true,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,8,provenance,public_template_or_native_used_for_prediction,awaiting_identity,,,false,false,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,9,provenance,other_team_model_used,awaiting_identity,,,false,false,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,10,provenance,post_release_information_used,awaiting_identity,,,false,false,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,11,provenance,current_casp17_target,awaiting_identity,,,false,false,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,12,provenance,operator_clearance,awaiting_identity,,,no_leak,"one of no_leak, cleared, internal_no_leak, or ready_for_row_fill",,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,13,calibration,selected_model_rank,awaiting_identity,,,,integer 1..5,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,14,calibration,best_model_rank,awaiting_identity,,,,integer 1..5,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,15,calibration,selected_native_metric,awaiting_identity,,,,finite numeric value,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,16,calibration,best_native_metric,awaiting_identity,,,,finite numeric value,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,17,calibration,selected_score,awaiting_identity,,,,finite numeric value,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_001_REQUIRED_MONOMER_001,1,1,monomer,18,calibration,best_score,awaiting_identity,,,,finite numeric value,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,19,target_identity,benchmark_id,awaiting_identity,,,,cleared historical non-current identifier,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,20,target_identity,target_id,awaiting_identity,,,,cleared historical non-current identifier,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,21,provenance,leakage_clearance,awaiting_identity,,,no_leak,"one of no_leak, cleared, internal_no_leak, or ready_for_row_fill",,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,22,provenance,prediction_method,awaiting_identity,,,,non-placeholder internal method identifier,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,23,provenance,prediction_created_at,awaiting_identity,,,,ISO date YYYY-MM-DD,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,24,provenance,native_release_date,awaiting_identity,,,,ISO date YYYY-MM-DD,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,25,provenance,prediction_generated_before_native_release,awaiting_identity,,,true,true,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,26,provenance,public_template_or_native_used_for_prediction,awaiting_identity,,,false,false,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
priority_002_REQUIRED_MONOMER_002,2,2,monomer,27,provenance,other_team_model_used,awaiting_identity,,,false,false,,,waiting_on_identity,target_identity_required,fill and apply the compact identity unlock kit first
