target_id,official_target_id,protein_name,target_class,queue_rank,urgency,upload_queue_status,scoring_scaffold_status,candidate_pdb,candidate_sha256,sha256_match,escrow_md,timestamp_packet_status,timestamp_manifest_csv,native_status,native_dropzone_dir,native_input_manifest_csv,chain_mapping_template_csv,metric_requirements_csv,post_native_scoring_md,metric_row_count,native_file_present,competitive_proof_eligible,blockers,next_action
H2319,H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,protein_heteromer_or_complex,1,today,upload_ready_expiring_today,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,c278eff01708e2e00a63c32158df09767a2a45c0a78be7f66a8ac7277e223abb,True,casp17/current_prospective_strict_blind_escrow/h2319/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone,casp17/current_post_native_scoring_scaffold/01_h2319/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/01_h2319/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
T1342,T1342,Spike glycoprotein ectodomain,monomer_or_homomer,2,today,upload_ready_expiring_today,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,9e3a276fc923414a63e06a8fac586285a545ca29b56336573b71a59e0e26b231,True,casp17/current_prospective_strict_blind_escrow/t1342/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/02_t1342/native_dropzone,casp17/current_post_native_scoring_scaffold/02_t1342/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/02_t1342/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/02_t1342/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/02_t1342/POST_NATIVE_SCORING.md,6,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H1344,H1344,HSV gD - HAB72,protein_heteromer_or_complex,3,soon,upload_ready_expiring_soon,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,4a7cb5d75954954f5a4fea955b3a1a3b1609d7193bb44000adf283bb51154313,True,casp17/current_prospective_strict_blind_escrow/h1344/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/03_h1344/native_dropzone,casp17/current_post_native_scoring_scaffold/03_h1344/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/03_h1344/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/03_h1344/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/03_h1344/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H2321,H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,protein_heteromer_or_complex,4,soon,upload_ready_expiring_soon,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,8e1760f7d853d99c39c273a772ea302df83a8015cd5d1b3e790bf999c2565994,True,casp17/current_prospective_strict_blind_escrow/h2321/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/04_h2321/native_dropzone,casp17/current_post_native_scoring_scaffold/04_h2321/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/04_h2321/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/04_h2321/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/04_h2321/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H1346,H1346,REGN3753 Fab-Fab complex,protein_heteromer_or_complex,5,soon,upload_ready_expiring_soon,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,0ed7742e897b35ec05fe376f023d209f787f3c9ff16b64820309ffc5ab078779,True,casp17/current_prospective_strict_blind_escrow/h1346/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/05_h1346/native_dropzone,casp17/current_post_native_scoring_scaffold/05_h1346/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/05_h1346/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/05_h1346/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/05_h1346/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H1347,H1347,REGN15499 Fab-Fab complex,protein_heteromer_or_complex,6,soon,upload_ready_expiring_soon,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,1d638861190c477d93170143d1747cc11eb4b4807aa4f75ba7d65e4a0433c64d,True,casp17/current_prospective_strict_blind_escrow/h1347/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/06_h1347/native_dropzone,casp17/current_post_native_scoring_scaffold/06_h1347/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/06_h1347/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/06_h1347/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/06_h1347/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H1348,H1348,gp130 antibody complex,protein_heteromer_or_complex,7,future,upload_ready_future_window,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,90c995d19f4ff0b443764c9f3771992aed2aa40d7322d855ac8acc0252f8df0b,True,casp17/current_prospective_strict_blind_escrow/h1348/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/07_h1348/native_dropzone,casp17/current_post_native_scoring_scaffold/07_h1348/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/07_h1348/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/07_h1348/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/07_h1348/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H1349,H1349,gp130 antibody complex,protein_heteromer_or_complex,8,future,upload_ready_future_window,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1349TS.pdb,a65d6a6f47de74a751c08101d35f4737620b2b77ea9116e25c5031f1dc0eddc2,True,casp17/current_prospective_strict_blind_escrow/h1349/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/08_h1349/native_dropzone,casp17/current_post_native_scoring_scaffold/08_h1349/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/08_h1349/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/08_h1349/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/08_h1349/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H1354,H1354,hemagglutinin/antibody,protein_heteromer_or_complex,9,future,upload_ready_future_window,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1354TS.pdb,44c8a1fefc40b051e0e832b55796e1be65d84e6b47f6dc0bc5ca6d87b1932204,True,casp17/current_prospective_strict_blind_escrow/h1354/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/09_h1354/native_dropzone,casp17/current_post_native_scoring_scaffold/09_h1354/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/09_h1354/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/09_h1354/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/09_h1354/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
H1355,H1355,hemagglutinin/antibody,protein_heteromer_or_complex,10,future,upload_ready_future_window,post_native_scoring_scaffold_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1355TS.pdb,982aec7f9046afaef122546c9ef580d42da2a5ac371d39b94f3580691a775ea0,True,casp17/current_prospective_strict_blind_escrow/h1355/ESCROW.md,ready_for_external_timestamp,,official_native_release_pending,casp17/current_post_native_scoring_scaffold/10_h1355/native_dropzone,casp17/current_post_native_scoring_scaffold/10_h1355/native_input_manifest.csv,casp17/current_post_native_scoring_scaffold/10_h1355/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/10_h1355/metric_requirements.csv,casp17/current_post_native_scoring_scaffold/10_h1355/POST_NATIVE_SCORING.md,9,False,false,"official_native_release_pending,native_file_missing","attach official native and release evidence after CASP releases target native, then run metric scoring"
