target_id,official_target_id,protein_name,escrow_status,candidate_pdb,candidate_sha256,sha256_match,candidate_size_bytes,package_preflight_status,upload_queue_status,queue_rank,urgency,official_human_expiration,review_md,first_viewer_html_path,escrow_folder,escrow_md,native_status,external_timestamp_status,competitive_proof_eligible,blockers,next_action
H1344,H1344,HSV gD - HAB72,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,4a7cb5d75954954f5a4fea955b3a1a3b1609d7193bb44000adf283bb51154313,True,458365,ready,upload_ready_expiring_today,1,today,2026-06-03,casp17/current_upload_review_packet/01_h1344_hsv_gd_-_hab72/UPLOAD_REVIEW.md,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h1344,casp17/current_prospective_strict_blind_escrow/h1344/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H2321,H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,8e1760f7d853d99c39c273a772ea302df83a8015cd5d1b3e790bf999c2565994,True,319531,ready,upload_ready_expiring_today,2,today,2026-06-03,casp17/current_upload_review_packet/02_h2321_human_astrovirus_va1_capsid_spike_-_antibody_2a2_complex/UPLOAD_REVIEW.md,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h2321,casp17/current_prospective_strict_blind_escrow/h2321/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1346,H1346,REGN3753 Fab-Fab complex,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,0ed7742e897b35ec05fe376f023d209f787f3c9ff16b64820309ffc5ab078779,True,546619,ready,upload_ready_expiring_soon,3,soon,2026-06-04,casp17/current_upload_review_packet/03_h1346_regn3753_fab-fab_complex/UPLOAD_REVIEW.md,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h1346,casp17/current_prospective_strict_blind_escrow/h1346/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1347,H1347,REGN15499 Fab-Fab complex,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,1d638861190c477d93170143d1747cc11eb4b4807aa4f75ba7d65e4a0433c64d,True,535360,ready,upload_ready_expiring_soon,4,soon,2026-06-04,casp17/current_upload_review_packet/04_h1347_regn15499_fab-fab_complex/UPLOAD_REVIEW.md,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h1347,casp17/current_prospective_strict_blind_escrow/h1347/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1348,H1348,gp130 antibody complex,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,90c995d19f4ff0b443764c9f3771992aed2aa40d7322d855ac8acc0252f8df0b,True,655195,ready,upload_ready_expiring_soon,5,soon,2026-06-05,casp17/current_upload_review_packet/05_h1348_gp130_antibody_complex/UPLOAD_REVIEW.md,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h1348,casp17/current_prospective_strict_blind_escrow/h1348/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1349,H1349,gp130 antibody complex,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1349TS.pdb,a65d6a6f47de74a751c08101d35f4737620b2b77ea9116e25c5031f1dc0eddc2,True,653899,ready,upload_ready_expiring_soon,6,soon,2026-06-05,casp17/current_upload_review_packet/06_h1349_gp130_antibody_complex/UPLOAD_REVIEW.md,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h1349,casp17/current_prospective_strict_blind_escrow/h1349/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1354,H1354,hemagglutinin/antibody,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1354TS.pdb,44c8a1fefc40b051e0e832b55796e1be65d84e6b47f6dc0bc5ca6d87b1932204,True,460957,ready,upload_ready_future_window,7,future,2026-06-08,casp17/current_upload_review_packet/07_h1354_hemagglutinin_antibody/UPLOAD_REVIEW.md,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h1354,casp17/current_prospective_strict_blind_escrow/h1354/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1355,H1355,hemagglutinin/antibody,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1355TS.pdb,982aec7f9046afaef122546c9ef580d42da2a5ac371d39b94f3580691a775ea0,True,447268,ready,upload_ready_future_window,8,future,2026-06-08,casp17/current_upload_review_packet/08_h1355_hemagglutinin_antibody/UPLOAD_REVIEW.md,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/viewer.html,casp17/current_prospective_strict_blind_escrow/h1355,casp17/current_prospective_strict_blind_escrow/h1355/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1335,H1335,HCMV Merlin gHgLgO-Fab complex,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1335TS.pdb,2898fb14f8a51874d613ba97d6d61f454e58957f82301814950953632e94ebba,True,1164461,ready,blocked_official_deadline_expired,0,,2026-05-27,,,casp17/current_prospective_strict_blind_escrow/h1335,casp17/current_prospective_strict_blind_escrow/h1335/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"upload_queue_blocked:human_submission_deadline_expired;official_human_deadline_expired,upload_review_packet_missing,official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
H1340,H1340,Parahenipavirus F protein /antibody complex,prospective_escrow_ready_native_pending,runs/casp17_predictions_sidechain_repacked_current/H1340TS.pdb,499eb1c6bb657539ad46e00708e4f4c748d5f0d22e1783fee13aa3129850c2cb,True,426775,ready,blocked_official_deadline_expired,0,,2026-06-01,,,casp17/current_prospective_strict_blind_escrow/h1340,casp17/current_prospective_strict_blind_escrow/h1340/ESCROW.md,official_native_release_pending,external_timestamp_required,false,"upload_queue_blocked:human_submission_deadline_expired;official_human_deadline_expired,upload_review_packet_missing,official_native_release_pending,external_timestamp_required","commit/push or otherwise externally timestamp this escrow, then attach official native after release for strict-blind evaluation"
