queue_rank,target_id,official_target_id,review_status,urgency,protein_name,official_human_expiration,days_to_official_human_expiration,candidate_pdb,candidate_sha256,object_count,chain_ids,library_protein_folder,protein_readme,protein_manifest,first_viewer_html_path,review_md,packet_folder,blockers
1,H2319,H2319,ready,today,Human astrovirus VA1 capsid spike - antibody 7C8 complex,2026-06-02,0,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,c278eff01708e2e00a63c32158df09767a2a45c0a78be7f66a8ac7277e223abb,3,"A,B,C",casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/README.md,casp17/protein_object_library_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/protein_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/chain_A/viewer.html,casp17/current_upload_review_packet/01_h2319_human_astrovirus_va1_capsid_spike_-_antibody_7c8_complex/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/01_h2319_human_astrovirus_va1_capsid_spike_-_antibody_7c8_complex,
2,T1342,T1342,ready,today,Spike glycoprotein ectodomain,2026-06-02,0,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,9e3a276fc923414a63e06a8fac586285a545ca29b56336573b71a59e0e26b231,1,A,casp17/protein_object_library_current/T1342_Spike_glycoprotein_ectodomain,casp17/protein_object_library_current/T1342_Spike_glycoprotein_ectodomain/README.md,casp17/protein_object_library_current/T1342_Spike_glycoprotein_ectodomain/protein_manifest.json,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/chain_A/viewer.html,casp17/current_upload_review_packet/02_t1342_spike_glycoprotein_ectodomain/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/02_t1342_spike_glycoprotein_ectodomain,
3,H1344,H1344,ready,soon,HSV gD - HAB72,2026-06-03,1,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,4a7cb5d75954954f5a4fea955b3a1a3b1609d7193bb44000adf283bb51154313,3,"A,B,C",casp17/protein_object_library_current/H1344_HSV_gD_HAB72,casp17/protein_object_library_current/H1344_HSV_gD_HAB72/README.md,casp17/protein_object_library_current/H1344_HSV_gD_HAB72/protein_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/viewer.html,casp17/current_upload_review_packet/03_h1344_hsv_gd_-_hab72/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/03_h1344_hsv_gd_-_hab72,
4,H2321,H2321,ready,soon,Human astrovirus VA1 capsid spike - antibody 2A2 complex,2026-06-03,1,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,8e1760f7d853d99c39c273a772ea302df83a8015cd5d1b3e790bf999c2565994,3,"A,B,C",casp17/protein_object_library_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,casp17/protein_object_library_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/README.md,casp17/protein_object_library_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/protein_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/chain_A/viewer.html,casp17/current_upload_review_packet/04_h2321_human_astrovirus_va1_capsid_spike_-_antibody_2a2_complex/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/04_h2321_human_astrovirus_va1_capsid_spike_-_antibody_2a2_complex,
5,H1346,H1346,ready,soon,REGN3753 Fab-Fab complex,2026-06-04,2,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,0ed7742e897b35ec05fe376f023d209f787f3c9ff16b64820309ffc5ab078779,4,"A,B,C,D",casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex,casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex/README.md,casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex/protein_manifest.json,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/viewer.html,casp17/current_upload_review_packet/05_h1346_regn3753_fab-fab_complex/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/05_h1346_regn3753_fab-fab_complex,
6,H1347,H1347,ready,soon,REGN15499 Fab-Fab complex,2026-06-04,2,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,1d638861190c477d93170143d1747cc11eb4b4807aa4f75ba7d65e4a0433c64d,4,"A,B,C,D",casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex,casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex/README.md,casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex/protein_manifest.json,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/viewer.html,casp17/current_upload_review_packet/06_h1347_regn15499_fab-fab_complex/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/06_h1347_regn15499_fab-fab_complex,
7,H1348,H1348,ready,future,gp130 antibody complex,2026-06-05,3,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,90c995d19f4ff0b443764c9f3771992aed2aa40d7322d855ac8acc0252f8df0b,3,"A,B,C",casp17/protein_object_library_current/H1348_gp130_antibody_complex,casp17/protein_object_library_current/H1348_gp130_antibody_complex/README.md,casp17/protein_object_library_current/H1348_gp130_antibody_complex/protein_manifest.json,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/viewer.html,casp17/current_upload_review_packet/07_h1348_gp130_antibody_complex/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/07_h1348_gp130_antibody_complex,
8,H1349,H1349,ready,future,gp130 antibody complex,2026-06-05,3,runs/casp17_predictions_sidechain_repacked_current/H1349TS.pdb,a65d6a6f47de74a751c08101d35f4737620b2b77ea9116e25c5031f1dc0eddc2,3,"A,B,C",casp17/protein_object_library_current/H1349_gp130_antibody_complex,casp17/protein_object_library_current/H1349_gp130_antibody_complex/README.md,casp17/protein_object_library_current/H1349_gp130_antibody_complex/protein_manifest.json,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/viewer.html,casp17/current_upload_review_packet/08_h1349_gp130_antibody_complex/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/08_h1349_gp130_antibody_complex,
9,H1354,H1354,ready,future,hemagglutinin/antibody,2026-06-08,6,runs/casp17_predictions_sidechain_repacked_current/H1354TS.pdb,44c8a1fefc40b051e0e832b55796e1be65d84e6b47f6dc0bc5ca6d87b1932204,3,"A,B,C",casp17/protein_object_library_current/H1354_hemagglutinin_antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody/README.md,casp17/protein_object_library_current/H1354_hemagglutinin_antibody/protein_manifest.json,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/viewer.html,casp17/current_upload_review_packet/09_h1354_hemagglutinin_antibody/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/09_h1354_hemagglutinin_antibody,
10,H1355,H1355,ready,future,hemagglutinin/antibody,2026-06-08,6,runs/casp17_predictions_sidechain_repacked_current/H1355TS.pdb,982aec7f9046afaef122546c9ef580d42da2a5ac371d39b94f3580691a775ea0,3,"A,B,C",casp17/protein_object_library_current/H1355_hemagglutinin_antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody/README.md,casp17/protein_object_library_current/H1355_hemagglutinin_antibody/protein_manifest.json,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/viewer.html,casp17/current_upload_review_packet/10_h1355_hemagglutinin_antibody/UPLOAD_REVIEW.md,casp17/current_upload_review_packet/10_h1355_hemagglutinin_antibody,
