action_rank,seed_rank,batch_slot,target_id,scope,lane,action_status,target_bundle_folder,action_folder,action_md,request_md,operator_clearance_csv,required_field,blockers,recommended_action,unlocks,verification_command,prediction_pdb,native_pdb
1,1,1,HIST_BBA5,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_001_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_001_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_001_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,data/native/bba5.pdb
2,1,1,HIST_BBA5,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_002_calibration,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_002_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_002_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,data/native/bba5.pdb
3,1,1,HIST_BBA5,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_003_ablation,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_003_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/01_HIST_BBA5/action_003_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,data/native/bba5.pdb
4,2,2,HIST_CHIGNOLIN,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_004_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_004_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_004_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,data/native/chignolin.pdb
5,2,2,HIST_CHIGNOLIN,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_005_calibration,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_005_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_005_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,data/native/chignolin.pdb
6,2,2,HIST_CHIGNOLIN,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_006_ablation,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_006_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/02_HIST_CHIGNOLIN/action_006_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,data/native/chignolin.pdb
7,3,3,HIST_CRAMBIN,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_007_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_007_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_007_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,data/native/crambin.pdb
8,3,3,HIST_CRAMBIN,monomer,calibration,open,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_008_calibration,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_008_calibration/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_008_calibration/calibration_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,selected/best ranks and metric values,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",enter model selection and native-metric calibration values,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,data/native/crambin.pdb
9,3,3,HIST_CRAMBIN,monomer,ablation,open,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_009_ablation,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_009_ablation/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/03_HIST_CRAMBIN/action_009_ablation/ablation_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,ablation_manifest_ref,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required",provide a local ablation manifest reference,ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,data/native/crambin.pdb
10,4,4,HIST_FSD_1,monomer,no_leak_provenance,open,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_010_no_leak_provenance,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_010_no_leak_provenance/ACTION.md,casp17/historical_identity_seed_clearance_action_bundle/04_HIST_FSD_1/action_010_no_leak_provenance/no_leak_evidence_request.md,runs/casp17_historical_identity_seed_operator_clearance_current.csv,no_leak_evidence_ref/provenance_controls,"no_leak_evidence_ref_required,leakage_clearance_required,operator_clearance_required,operator_required,prediction_created_at_required_iso_date,native_release_date_required_iso_date,prediction_generated_before_native_release_required,public_template_or_native_used_for_prediction_must_be_false,other_team_model_used_must_be_false,post_release_information_used_must_be_false,selected_model_rank_required_1_to_5,best_model_rank_required_1_to_5,selected_native_metric_required_numeric,best_native_metric_required_numeric,selected_score_required_numeric,best_score_required_numeric,ablation_manifest_ref_required","complete no-leak evidence, dates, and leakage controls",ready_for_cleared_seed_manifest,python3 tools/build_casp17_historical_identity_seed_clearance_workorder.py,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,data/native/fsd_1.pdb
