row_rank,target_id,benchmark_id,scope,candidate_manifest_status,candidate_manifest_csv,selected_prediction_present,native_reference_present,baseline_candidate_count,candidate_row_count,sha256_16_set,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/01_hist_bba5_ablation_candidates.csv,True,True,0,4,"0359e928b0f87cf8,d8d2a2e5acf15c7e",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,operator_ablation_review_required,casp17/historical_seed_ablation_candidate_manifests/02_hist_chignolin_ablation_candidates.csv,True,True,1,4,"47212bb89f9cbc8a,4e19f154fd6bbd33,b9d1217bd3512a64",attach real ablation layer evidence before setting ablation_manifest_ref,operator_ablation_review_required
3,HIST_CRAMBIN,hist_seed_crambin,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/03_hist_crambin_ablation_candidates.csv,True,True,0,4,"1324bbf5b869233e,9be0d5a90425744d",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
4,HIST_FSD_1,hist_seed_fsd_1,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/04_hist_fsd_1_ablation_candidates.csv,True,True,0,4,"1d9c6e08c0db8a9f,a5a27f2dcbc97e54",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/05_hist_gb1_mini_ablation_candidates.csv,True,True,0,4,"0b6dbfe1c1c66501,fefd3f2bc9f2b218",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/06_hist_protein_a_bdomain_ablation_candidates.csv,True,True,0,4,"b08f0c02a04e1173,fc44e495317bafb8",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/07_hist_trp_cage_ablation_candidates.csv,True,True,0,4,"52ce2472e07d6f5e,db81626e5021440c",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/08_hist_ubiquitin_mini_ablation_candidates.csv,True,True,0,4,"1a4ac95c4c3f1dbd,709bbeca9c5d3a05",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/09_hist_villin_hp35_ablation_candidates.csv,True,True,0,4,"53e11674a3494e5e,8bd771efc6ca4c50",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/10_hist_ww_domain_fip35_ablation_candidates.csv,True,True,0,4,"6605f84195db51e8,edad180e4f36b190",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005_ablation_candidates.csv,True,True,0,2,"07c953a6306a31c4,2b3292f0f89e5072",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451_ablation_candidates.csv,True,True,0,2,"a0f3a8968649207e,f080d14c2b79474f",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871_ablation_candidates.csv,True,True,0,2,"6e1314eb19ff88b4,c7d42b2061fd85cb",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
14,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930_ablation_candidates.csv,True,True,0,2,"33838a3f91107e86,346b0159bcbbaa28",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
15,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,operator_ablation_layer_evidence_missing,casp17/historical_seed_ablation_candidate_manifests/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370_ablation_candidates.csv,True,True,0,2,"148e06747030bc1b,5e372b29cdb371eb",attach real ablation layer evidence before setting ablation_manifest_ref,"ablation_layer_evidence_missing,operator_ablation_review_required"
