row_rank,target_id,benchmark_id,scope,chronology_authority_status,prediction_created_candidate,prediction_candidate_source,native_authority_date,native_authority_source,native_authority_ref,native_authority_status,prediction_after_native_authority,prediction_before_or_on_native_authority,audit_folder,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,2004-05-13,pdb_header_date:rcsb:1T8J;doi:10.2210/pdb1t8j/pdb,rcsb:1T8J;doi:10.2210/pdb1t8j/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/01_hist_bba5,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,2003-03-13,pdb_header_date:rcsb:1UAO;doi:10.2210/pdb1uao/pdb,rcsb:1UAO;doi:10.2210/pdb1uao/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/02_hist_chignolin,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
3,HIST_CRAMBIN,hist_seed_crambin,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,1981-04-30,pdb_header_date:rcsb:1CRN;doi:10.2210/pdb1crn/pdb,rcsb:1CRN;doi:10.2210/pdb1crn/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/03_hist_crambin,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
4,HIST_FSD_1,hist_seed_fsd_1,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,1997-06-09,pdb_header_date:rcsb:1FSD;doi:10.2210/pdb1fsd/pdb,rcsb:1FSD;doi:10.2210/pdb1fsd/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/04_hist_fsd_1,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,1991-05-15,pdb_header_date:rcsb:2GB1;doi:10.2210/pdb2gb1/pdb,rcsb:2GB1;doi:10.2210/pdb2gb1/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/05_hist_gb1_mini,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,1996-06-28,pdb_header_date:rcsb:1BDD;doi:10.2210/pdb1bdd/pdb,rcsb:1BDD;doi:10.2210/pdb1bdd/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/06_hist_protein_a_bdomain,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,2002-02-25,pdb_header_date:rcsb:1L2Y;doi:10.2210/pdb1l2y/pdb,rcsb:1L2Y;doi:10.2210/pdb1l2y/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/07_hist_trp_cage,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,1987-01-02,pdb_header_date:rcsb:1UBQ;doi:10.2210/pdb1ubq/pdb,rcsb:1UBQ;doi:10.2210/pdb1ubq/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/08_hist_ubiquitin_mini,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,2005-02-03,pdb_header_date:rcsb:1YRF;doi:10.2210/pdb1yrf/pdb,rcsb:1YRF;doi:10.2210/pdb1yrf/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/09_hist_villin_hp35,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,post_native_prediction_chronology_blocked,2026-02-19,chronology_board_prediction_path_date,2005-11-15,pdb_header_date:rcsb:2F21;doi:10.2210/pdb2f21/pdb,rcsb:2F21;doi:10.2210/pdb2f21/pdb,authority_pass,True,False,casp17/historical_seed_authoritative_chronology_audit/10_hist_ww_domain_fip35,"replace with a pre-native blind prediction artifact, or keep this row in a separate post-native retrospective lane with explicit no-template evidence",prediction_not_before_authoritative_native_date
