row_rank,target_id,benchmark_id,scope,field_candidate_status,field_candidate_csv,field_count,proposed_field_count,already_matching_field_count,conflict_field_count,blocked_field_count,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/01_hist_bba5/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/02_hist_chignolin/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
3,HIST_CRAMBIN,hist_seed_crambin,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/03_hist_crambin/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
4,HIST_FSD_1,hist_seed_fsd_1,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/04_hist_fsd_1/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/05_hist_gb1_mini/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/06_hist_protein_a_bdomain/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/07_hist_trp_cage/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/08_hist_ubiquitin_mini/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/09_hist_villin_hp35/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/10_hist_ww_domain_fip35/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
14,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
15,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,calibration_field_candidates_ready_for_operator_apply,casp17/historical_seed_calibration_field_candidates/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/calibration_field_candidates.csv,6,6,0,0,0,operator may apply calibration field candidates after no-leak provenance clearance,
