row_rank,target_id,benchmark_id,prefill_status,existing_value,proposed_value,seed_manifest_value,current_target_collision,hist_prefix_present,action,blockers
1,HIST_BBA5,hist_seed_bba5,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
2,HIST_CHIGNOLIN,hist_seed_chignolin,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
3,HIST_CRAMBIN,hist_seed_crambin,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
4,HIST_FSD_1,hist_seed_fsd_1,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
5,HIST_GB1_MINI,hist_seed_gb1_mini,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
7,HIST_TRP_CAGE,hist_seed_trp_cage,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
12,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
13,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
14,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
15,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,applied,REQUIRED_FALSE_CONFIRMATION,false,false,False,True,set current_casp17_target=false,
