action_id,action_status,sync_mode,target_id,benchmark_id,field_name,destination_intake_csv,current_operator_value,current_operator_clearance,current_evidence_ref,source_operator_value,source_operator_clearance,source_operator_evidence_ref,proposed_operator_value,proposed_operator_clearance,evidence_ref_handling,blocker,next_action
first_no_leak_sync_001,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,no_leak_evidence_ref,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/no_leak_evidence_ref.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_002,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,leakage_clearance,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/leakage_clearance.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_003,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,operator_clearance,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator_clearance.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_004,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,operator,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_005,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,prediction_created_at,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_created_at.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_006,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,native_release_date,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/native_release_date.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_007,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,prediction_generated_before_native_release,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_generated_before_native_release.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_008,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,public_template_or_native_used_for_prediction,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/public_template_or_native_used_for_prediction.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_009,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,other_team_model_used,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/other_team_model_used.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
first_no_leak_sync_010,blocked_review_gate_not_ready,dry_run,HIST_CHIGNOLIN,hist_seed_chignolin,post_release_information_used,casp17/historical_seed_first_clearance_operator_kit/HIST_CHIGNOLIN/no_leak_operator_intake.csv,,,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/post_release_information_used.md,,,preserve_intake_evidence_ref_review_packet_holds_operator_evidence,template_operator_value_missing,complete the no-leak evidence review gate before syncing into the intake
