row_rank,target_id,benchmark_id,scope,metric_status,metric_candidate_csv,native_pdb,native_exists,candidate_count,metric_candidate_count,selected_native_metric_candidate,best_native_metric_candidate,best_model_rank_candidate,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/01_hist_bba5/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/01_hist_bba5/native_candidate_1T8J.pdb,True,5,5,11.364,11.364,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/02_hist_chignolin/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/02_hist_chignolin/native_candidate_1UAO.pdb,True,6,6,22.500,27.500,7,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
3,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/03_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005/native_metric_candidates.csv,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/01_tcruzi_pde_external_pdeb1_010_chembl4453005/protein_ligand_complex.pdb,True,5,5,99.850,99.925,2,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
4,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,hist_seed_02_tcruzi_pde_external_pdeb1_043_chembl2171451,complex,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/04_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451/native_metric_candidates.csv,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/02_tcruzi_pde_external_pdeb1_043_chembl2171451/protein_ligand_complex.pdb,True,5,5,100.000,100.000,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
5,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,hist_seed_03_tcruzi_pde_external_pdeb1_025_chembl4441871,complex,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/05_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871/native_metric_candidates.csv,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/03_tcruzi_pde_external_pdeb1_025_chembl4441871/protein_ligand_complex.pdb,True,5,5,100.000,100.000,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
6,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,hist_seed_04_tcruzi_pde_external_pdeb1_032_chembl4445930,complex,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/06_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930/native_metric_candidates.csv,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/04_tcruzi_pde_external_pdeb1_032_chembl4445930/protein_ligand_complex.pdb,True,5,5,100.000,100.000,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
7,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,hist_seed_05_tcruzi_pde_external_pdeb1_007_chembl3764370,complex,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/07_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370/native_metric_candidates.csv,runs/wetlab_tcruzi_pde_atomized_parameterization_minimization_current/05_tcruzi_pde_external_pdeb1_007_chembl3764370/protein_ligand_complex.pdb,True,5,5,99.925,99.925,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
8,HIST_CRAMBIN,hist_seed_crambin,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/08_hist_crambin/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/03_hist_crambin/native_candidate_1CRN.pdb,True,5,5,1.630,1.630,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
9,HIST_FSD_1,hist_seed_fsd_1,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/09_hist_fsd_1/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/04_hist_fsd_1/native_candidate_1FSD.pdb,True,5,5,8.929,8.929,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
10,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/10_hist_gb1_mini/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/05_hist_gb1_mini/native_candidate_2GB1.pdb,True,5,5,1.786,2.232,7,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
11,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/11_hist_protein_a_bdomain/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/06_hist_protein_a_bdomain/native_candidate_1BDD.pdb,True,5,5,1.250,1.250,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
12,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/12_hist_trp_cage/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/07_hist_trp_cage/native_candidate_1L2Y.pdb,True,5,5,22.500,26.250,7,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
13,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/13_hist_ubiquitin_mini/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/08_hist_ubiquitin_mini/native_candidate_1UBQ.pdb,True,5,5,6.250,6.579,5,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
14,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/14_hist_villin_hp35/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/09_hist_villin_hp35/native_candidate_1YRF.pdb,True,5,5,8.571,8.571,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
15,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,native_oracle_metric_candidates_ready_for_review,casp17/historical_seed_native_oracle_metric_candidates/15_hist_ww_domain_fip35/native_metric_candidates.csv,casp17/historical_seed_native_replacement_candidates/10_hist_ww_domain_fip35/native_candidate_2F21.pdb,True,5,5,0.000,0.000,1,"feed native metrics into calibration ledger, then keep no-leak provenance and operator fill separate",
