candidate_rank,target_id,benchmark_id,scope,candidate_status,candidate_kind,pdb_id,candidate_label,candidate_confidence,source_public_pdb,candidate_pdb,candidate_exists,candidate_atom_count,candidate_chain_count,candidate_ca_only,candidate_placeholder_marker_count,native_authority_ref,rcsb_entry_url,rcsb_download_url,audit_folder,blockers,next_action,notes
1,HIST_BBA5,hist_seed_bba5,monomer,operator_review_ready,rcsb_public_native_replacement,1T8J,BBA5,direct_local_source_map,data/public_structures/2026-02-15/bba5_pdb_1T8J.pdb,casp17/historical_seed_native_replacement_candidates/01_hist_bba5/native_candidate_1T8J.pdb,True,386,1,False,0,rcsb:1T8J;doi:10.2210/pdb1t8j/pdb,https://www.rcsb.org/structure/1T8J,https://files.rcsb.org/download/1T8J.pdb,casp17/historical_seed_native_replacement_candidates/01_hist_bba5,,"operator-review this candidate, then use it to replace the placeholder native path",Existing project public-structure source maps BBA5 to RCSB 1T8J.
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,operator_review_ready,rcsb_public_native_replacement,1UAO,Chignolin,direct_rcsb_label,data/public_structures/2026-02-15/chignolin_pdb_1UAO.pdb,casp17/historical_seed_native_replacement_candidates/02_hist_chignolin/native_candidate_1UAO.pdb,True,2484,1,False,0,rcsb:1UAO;doi:10.2210/pdb1uao/pdb,https://www.rcsb.org/structure/1UAO,https://files.rcsb.org/download/1UAO.pdb,casp17/historical_seed_native_replacement_candidates/02_hist_chignolin,,"operator-review this candidate, then use it to replace the placeholder native path",Chignolin representative RCSB entry.
3,HIST_CRAMBIN,hist_seed_crambin,monomer,operator_review_ready,rcsb_public_native_replacement,1CRN,Crambin,direct_rcsb_label,data/public_structures/2026-02-15/crambin_pdb_1CRN.pdb,casp17/historical_seed_native_replacement_candidates/03_hist_crambin/native_candidate_1CRN.pdb,True,327,1,False,0,rcsb:1CRN;doi:10.2210/pdb1crn/pdb,https://www.rcsb.org/structure/1CRN,https://files.rcsb.org/download/1CRN.pdb,casp17/historical_seed_native_replacement_candidates/03_hist_crambin,,"operator-review this candidate, then use it to replace the placeholder native path",Crambin representative RCSB entry.
4,HIST_FSD_1,hist_seed_fsd_1,monomer,operator_review_ready,rcsb_public_native_replacement,1FSD,FSD_1,direct_rcsb_label,data/public_structures/2026-02-15/fsd_1_pdb_1FSD.pdb,casp17/historical_seed_native_replacement_candidates/04_hist_fsd_1/native_candidate_1FSD.pdb,True,20664,1,False,0,rcsb:1FSD;doi:10.2210/pdb1fsd/pdb,https://www.rcsb.org/structure/1FSD,https://files.rcsb.org/download/1FSD.pdb,casp17/historical_seed_native_replacement_candidates/04_hist_fsd_1,,"operator-review this candidate, then use it to replace the placeholder native path",FSD-1 NMR ensemble RCSB entry.
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,operator_review_ready,rcsb_public_native_replacement,2GB1,GB1_Mini,direct_local_source_map,data/public_structures/2026-02-15/gb1_mini_pdb_2GB1.pdb,casp17/historical_seed_native_replacement_candidates/05_hist_gb1_mini/native_candidate_2GB1.pdb,True,855,1,False,0,rcsb:2GB1;doi:10.2210/pdb2gb1/pdb,https://www.rcsb.org/structure/2GB1,https://files.rcsb.org/download/2GB1.pdb,casp17/historical_seed_native_replacement_candidates/05_hist_gb1_mini,,"operator-review this candidate, then use it to replace the placeholder native path",Existing project public-structure source maps GB1_Mini to RCSB 2GB1.
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,operator_review_ready,rcsb_public_native_replacement,1BDD,Protein_A_Bdomain,direct_rcsb_label,data/public_structures/2026-02-15/protein_a_bdomain_pdb_1BDD.pdb,casp17/historical_seed_native_replacement_candidates/06_hist_protein_a_bdomain/native_candidate_1BDD.pdb,True,941,1,False,0,rcsb:1BDD;doi:10.2210/pdb1bdd/pdb,https://www.rcsb.org/structure/1BDD,https://files.rcsb.org/download/1BDD.pdb,casp17/historical_seed_native_replacement_candidates/06_hist_protein_a_bdomain,,"operator-review this candidate, then use it to replace the placeholder native path",Protein A B-domain minimized average NMR RCSB entry.
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,operator_review_ready,rcsb_public_native_replacement,1L2Y,Trp_Cage,direct_rcsb_label,data/public_structures/2026-02-15/trp_cage_pdb_1L2Y.pdb,casp17/historical_seed_native_replacement_candidates/07_hist_trp_cage/native_candidate_1L2Y.pdb,True,11552,1,False,0,rcsb:1L2Y;doi:10.2210/pdb1l2y/pdb,https://www.rcsb.org/structure/1L2Y,https://files.rcsb.org/download/1L2Y.pdb,casp17/historical_seed_native_replacement_candidates/07_hist_trp_cage,,"operator-review this candidate, then use it to replace the placeholder native path",Trp-cage representative RCSB entry.
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,operator_review_ready,rcsb_public_native_replacement,1UBQ,Ubiquitin_Mini,direct_local_source_map,data/public_structures/2026-02-15/ubiquitin_mini_pdb_1UBQ.pdb,casp17/historical_seed_native_replacement_candidates/08_hist_ubiquitin_mini/native_candidate_1UBQ.pdb,True,660,1,False,0,rcsb:1UBQ;doi:10.2210/pdb1ubq/pdb,https://www.rcsb.org/structure/1UBQ,https://files.rcsb.org/download/1UBQ.pdb,casp17/historical_seed_native_replacement_candidates/08_hist_ubiquitin_mini,,"operator-review this candidate, then use it to replace the placeholder native path",Existing project public-structure source maps Ubiquitin_Mini to RCSB 1UBQ.
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,operator_review_ready,rcsb_public_native_replacement,1YRF,Villin_HP35,direct_local_source_map,data/public_structures/2026-02-15/villin_hp35_pdb_1YRF.pdb,casp17/historical_seed_native_replacement_candidates/09_hist_villin_hp35/native_candidate_1YRF.pdb,True,731,1,False,0,rcsb:1YRF;doi:10.2210/pdb1yrf/pdb,https://www.rcsb.org/structure/1YRF,https://files.rcsb.org/download/1YRF.pdb,casp17/historical_seed_native_replacement_candidates/09_hist_villin_hp35,,"operator-review this candidate, then use it to replace the placeholder native path",Existing project public-structure source maps Villin_HP35 to RCSB 1YRF.
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,operator_review_ready,rcsb_public_native_replacement,2F21,WW_Domain_FiP35,direct_local_source_map,data/public_structures/2026-02-15/ww_domain_fip35_pdb_2F21.pdb,casp17/historical_seed_native_replacement_candidates/10_hist_ww_domain_fip35/native_candidate_2F21.pdb,True,1403,1,False,0,rcsb:2F21;doi:10.2210/pdb2f21/pdb,https://www.rcsb.org/structure/2F21,https://files.rcsb.org/download/2F21.pdb,casp17/historical_seed_native_replacement_candidates/10_hist_ww_domain_fip35,,"operator-review this candidate, then use it to replace the placeholder native path",Existing project public-structure source maps WW_Domain_FiP35 to RCSB 2F21.
