row_rank,target_id,benchmark_id,scope,dossier_status,dossier_md,prediction_pdb_exists,native_pdb_exists,prediction_native_distinct,prediction_atom_count,native_atom_count,prediction_sha256_16,native_sha256_16,current_casp17_target_value,current_target_safety_status,prediction_method,prediction_path_date,prediction_file_mtime_date,native_file_mtime_date,file_mtime_prediction_before_native,operator_required_open_count,operator_required_open_fields,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/01_hist_bba5_no_leak_provenance.md,True,True,True,92,23,d8d2a2e5acf15c7e,0359e928b0f87cf8,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,True,True,True,40,10,b9d1217bd3512a64,4e19f154fd6bbd33,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
3,HIST_CRAMBIN,hist_seed_crambin,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/03_hist_crambin_no_leak_provenance.md,True,True,True,184,46,1324bbf5b869233e,9be0d5a90425744d,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
4,HIST_FSD_1,hist_seed_fsd_1,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/04_hist_fsd_1_no_leak_provenance.md,True,True,True,112,28,1d9c6e08c0db8a9f,a5a27f2dcbc97e54,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/05_hist_gb1_mini_no_leak_provenance.md,True,True,True,224,56,0b6dbfe1c1c66501,fefd3f2bc9f2b218,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/06_hist_protein_a_bdomain_no_leak_provenance.md,True,True,True,240,60,b08f0c02a04e1173,fc44e495317bafb8,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/07_hist_trp_cage_no_leak_provenance.md,True,True,True,80,20,db81626e5021440c,52ce2472e07d6f5e,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/08_hist_ubiquitin_mini_no_leak_provenance.md,True,True,True,304,76,709bbeca9c5d3a05,1a4ac95c4c3f1dbd,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/09_hist_villin_hp35_no_leak_provenance.md,True,True,True,140,35,8bd771efc6ca4c50,53e11674a3494e5e,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/10_hist_ww_domain_fip35_no_leak_provenance.md,True,True,True,140,35,6605f84195db51e8,edad180e4f36b190,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,2026-02-19,2026-02-20,2026-02-12,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
11,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,hist_seed_01_tcruzi_pde_external_pdeb1_010_chembl4453005,complex,operator_provenance_review_required,casp17/historical_seed_no_leak_provenance_dossiers/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005_no_leak_provenance.md,True,True,True,5230,2676,07c953a6306a31c4,2b3292f0f89e5072,false,prefilled_false_hist_prefix,internal_physics_seed_inventory,,2026-05-17,2026-05-17,False,10,"no_leak_evidence_ref,leakage_clearance,operator_clearance,operator,prediction_created_at,native_release_date,prediction_generated_before_native_release,public_template_or_native_used_for_prediction,other_team_model_used,post_release_information_used",attach independent no-leak evidence and operator clearance before setting leakage_clearance,"operator_no_leak_fields_required,operator_chronology_evidence_required,operator_negative_leakage_control_required,file_mtime_not_clearance_authority"
