baseline_candidate_id,source_candidate_id,lane_type,competition,target_id,target_description,source_category,prediction_tarball_url,prediction_archive_modified_at,prediction_archive_size,native_pdb_code,native_structure_file_url,native_structure_file_format,native_public_anchor_date,targetlist_url,targetlist_target_url,official_model_lane,competitive_proof_eligible,strict_blind_intake_policy,other_team_model_policy,model1_selection_policy,download_policy,baseline_folder,acquisition_manifest,baseline_candidate_status,next_action
official_archive_baseline_001,official_archive_source_001,official_archive_baseline_replay,CASP16,T1212,Fanzor2 ternary structure protein subunit of M1212,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1212.tar.gz,2024-06-03 09:22,24M,9b0l,https://files.rcsb.org/download/9B0L.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=75&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212,casp17/historical_seed_official_archive_baseline_lane/001_casp16_t1212_fanzor2_ternary_structure_protein_subunit_of_m1212/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_002,official_archive_source_002,official_archive_baseline_replay,CASP16,T1266,Q99549,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1266.tar.gz,2024-07-02 09:20,14M,8qfb,https://files.rcsb.org/download/8QFB.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=184&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/002_casp16_t1266_q99549,casp17/historical_seed_official_archive_baseline_lane/002_casp16_t1266_q99549/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_003,official_archive_source_003,official_archive_baseline_replay,CASP16,T1269,MUC5AC uniprot P98088,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1269.tar.gz,2024-07-05 09:20,58M,9gvq,https://files.rcsb.org/download/9GVQ.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=194&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/003_casp16_t1269_muc5ac_uniprot_p98088,casp17/historical_seed_official_archive_baseline_lane/003_casp16_t1269_muc5ac_uniprot_p98088/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_004,official_archive_source_004,official_archive_baseline_replay,CASP16,T1299,9FJL,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1299.tar.gz,2024-08-15 09:20,6.9M,9fjl,https://files.rcsb.org/download/9FJL.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=359&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/004_casp16_t1299_9fjl,casp17/historical_seed_official_archive_baseline_lane/004_casp16_t1299_9fjl/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_005,official_archive_source_005,official_archive_baseline_replay,CASP16,T1220s1,BoDV-1 Replication complex,domain_subunit,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1220s1.tar.gz,2024-06-17 09:21,91M,9h1g,https://files.rcsb.org/download/9H1G.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=133&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/005_casp16_t1220s1_bodv_1_replication_complex,casp17/historical_seed_official_archive_baseline_lane/005_casp16_t1220s1_bodv_1_replication_complex/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_006,official_archive_source_006,official_archive_baseline_replay,CASP16,T1227s1,LetA (P0AD03) and LetB (P76272),domain_subunit,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1227s1.tar.gz,2024-06-24 09:20,22M,9n8w,https://files.rcsb.org/download/9N8W.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=151&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/006_casp16_t1227s1_leta_p0ad03_and_letb_p76272,casp17/historical_seed_official_archive_baseline_lane/006_casp16_t1227s1_leta_p0ad03_and_letb_p76272/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_007,official_archive_source_007,official_archive_baseline_replay,CASP16,T1269v1,MUC5AC uniprot P98088,variant,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1269v1.tar.gz,2024-08-14 09:20,52M,9gvq,https://files.rcsb.org/download/9GVQ.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=356&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/007_casp16_t1269v1_muc5ac_uniprot_p98088,casp17/historical_seed_official_archive_baseline_lane/007_casp16_t1269v1_muc5ac_uniprot_p98088/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_008,official_archive_source_008,official_archive_baseline_replay,CASP16,T1214,YncD (NP_415968),regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1214.tar.gz,2024-05-24 09:20,35M,9c4o,https://files.rcsb.org/download/9C4O.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=72&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/008_casp16_t1214_yncd_np_415968,casp17/historical_seed_official_archive_baseline_lane/008_casp16_t1214_yncd_np_415968/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_009,official_archive_source_009,official_archive_baseline_replay,CASP16,T1239v1,SPbeta_intRDF_DNA protein subunit of M1239v1,variant,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1239v1.tar.gz,2024-06-23 09:20,30M,9dxd,https://files.rcsb.org/download/9DXD.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=115&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/009_casp16_t1239v1_spbeta_intrdf_dna_protein_subunit_of_m1239v1,casp17/historical_seed_official_archive_baseline_lane/009_casp16_t1239v1_spbeta_intrdf_dna_protein_subunit_of_m1239v1/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
official_archive_baseline_010,official_archive_source_010,official_archive_baseline_replay,CASP16,T1239v2,SPbeta_intRDF_DNA protein subunit of M1239v2,variant,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1239v2.tar.gz,2024-06-23 09:20,32M,9dxd,https://files.rcsb.org/download/9DXD.pdb,pdb,2025-02-01,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=116&view=all,external_official_casp_archive_model_pool,False,do_not_import_as_internal_prediction,official_archive_models_are_baseline_only,model1_and_best_of_5_may_be_scored_only_as_external_baseline,operator_explicit_download_required_no_automatic_tarball_fetch,casp17/historical_seed_official_archive_baseline_lane/010_casp16_t1239v2_spbeta_intrdf_dna_protein_subunit_of_m1239v2,casp17/historical_seed_official_archive_baseline_lane/010_casp16_t1239v2_spbeta_intrdf_dna_protein_subunit_of_m1239v2/ACQUISITION_MANIFEST.md,baseline_replay_ready_for_operator_acquisition,"download/extract official archive models only inside this baseline lane, score model1 and best-of-5 as external baseline replay, and source internal pre-native predictions separately for competitive proof"
