candidate_rank,target_id,benchmark_id,scope,candidate_status,strict_blind_eligible,competitive_proof_allowed,prediction_pdb,prediction_exists,native_pdb,native_exists,native_authority_ref,native_authority_status,native_release_date,prediction_created_at,prediction_before_native,no_leak_dossier,no_leak_ready,no_leak_open_count,ablation_manifest_ref,ablation_ready,calibration_values_ref,calibration_ready,operator_required,candidate_folder,blockers,next_action
1,HIST_BBA5,hist_seed_bba5,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/01_hist_bba5/native_candidate_1T8J.pdb,True,rcsb:1T8J;doi:10.2210/pdb1t8j/pdb,authority_pass,2004-05-13,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/01_hist_bba5_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/01_hist_bba5_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/01_hist_bba5_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/01_hist_bba5,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/02_hist_chignolin/native_candidate_1UAO.pdb,True,rcsb:1UAO;doi:10.2210/pdb1uao/pdb,authority_pass,2003-03-13,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/02_hist_chignolin_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/02_hist_chignolin_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/02_hist_chignolin_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/02_hist_chignolin,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
3,HIST_CRAMBIN,hist_seed_crambin,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/03_hist_crambin/native_candidate_1CRN.pdb,True,rcsb:1CRN;doi:10.2210/pdb1crn/pdb,authority_pass,1981-04-30,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/03_hist_crambin_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/03_hist_crambin_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/03_hist_crambin_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/03_hist_crambin,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
4,HIST_FSD_1,hist_seed_fsd_1,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/04_hist_fsd_1/native_candidate_1FSD.pdb,True,rcsb:1FSD;doi:10.2210/pdb1fsd/pdb,authority_pass,1997-06-09,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/04_hist_fsd_1_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/04_hist_fsd_1_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/04_hist_fsd_1_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/04_hist_fsd_1,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/05_hist_gb1_mini/native_candidate_2GB1.pdb,True,rcsb:2GB1;doi:10.2210/pdb2gb1/pdb,authority_pass,1991-05-15,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/05_hist_gb1_mini_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/05_hist_gb1_mini_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/05_hist_gb1_mini_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/05_hist_gb1_mini,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/06_hist_protein_a_bdomain/native_candidate_1BDD.pdb,True,rcsb:1BDD;doi:10.2210/pdb1bdd/pdb,authority_pass,1996-06-28,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/06_hist_protein_a_bdomain_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/06_hist_protein_a_bdomain_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/06_hist_protein_a_bdomain_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/06_hist_protein_a_bdomain,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/07_hist_trp_cage/native_candidate_1L2Y.pdb,True,rcsb:1L2Y;doi:10.2210/pdb1l2y/pdb,authority_pass,2002-02-25,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/07_hist_trp_cage_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/07_hist_trp_cage_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/07_hist_trp_cage_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/07_hist_trp_cage,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/08_hist_ubiquitin_mini/native_candidate_1UBQ.pdb,True,rcsb:1UBQ;doi:10.2210/pdb1ubq/pdb,authority_pass,1987-01-02,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/08_hist_ubiquitin_mini_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/08_hist_ubiquitin_mini_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/08_hist_ubiquitin_mini_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/08_hist_ubiquitin_mini,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/09_hist_villin_hp35/native_candidate_1YRF.pdb,True,rcsb:1YRF;doi:10.2210/pdb1yrf/pdb,authority_pass,2005-02-03,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/09_hist_villin_hp35_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/09_hist_villin_hp35_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/09_hist_villin_hp35_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/09_hist_villin_hp35,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,blocked_chronology_not_strict_blind,False,False,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,True,casp17/historical_seed_native_replacement_candidates/10_hist_ww_domain_fip35/native_candidate_2F21.pdb,True,rcsb:2F21;doi:10.2210/pdb2f21/pdb,authority_pass,2005-11-15,2026-02-19,False,casp17/historical_seed_no_leak_provenance_dossiers/10_hist_ww_domain_fip35_no_leak_provenance.md,False,10,casp17/historical_seed_ablation_candidate_manifests/10_hist_ww_domain_fip35_ablation_candidates.csv,False,casp17/historical_seed_calibration_candidate_ledgers/10_hist_ww_domain_fip35_calibration_candidates.csv,False,True,casp17/historical_seed_strict_blind_replacement_first_slot_local_candidate_board/10_hist_ww_domain_fip35,"prediction_not_before_native,no_leak_not_ready,ablation_not_ready,calibration_not_ready,strict_blind_not_eligible",find or attach a prediction artifact created before authoritative native release
