candidate_id,competition,source_id,target_id,source_scope,source_category,prediction_index_url,prediction_tarball_url,prediction_archive_modified_at,prediction_archive_size,targetlist_url,targetlist_target_url,targetlist_metadata_status,targetlist_type,targetlist_entry_date,targetlist_server_expiration_date,targetlist_human_expiration_date,targetlist_capri_marker,targetlist_special_mode,target_description,native_pdb_code,native_pdb_url,native_pdb_download_url,native_mmcif_download_url,native_structure_file_url,native_structure_file_format,native_pdb_download_status,native_authority_status,native_public_anchor_url,native_public_anchor_date,pre_native_by_archive_timing,candidate_status,source_folder,operator_value_preview,next_action
official_archive_source_001,CASP16,casp16_regular_predictions,T1212,monomer,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1212.tar.gz,2024-06-03 09:22,24M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=75&view=all,targetlist_metadata_present,Prot,2024-05-13,2024-05-16,2024-06-03,False,regular_like,Fanzor2 ternary structure protein subunit of M1212,9b0l,https://www.rcsb.org/structure/9b0l,https://files.rcsb.org/download/9B0L.pdb,https://files.rcsb.org/download/9B0L.cif,https://files.rcsb.org/download/9B0L.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/001_casp16_t1212,replacement_target_id=CASP16_T1212;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1212.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9B0L.pdb;prediction_created_at=2024-06-03;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_002,CASP16,casp16_regular_predictions,T1266,monomer,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1266.tar.gz,2024-07-02 09:20,14M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=184&view=all,targetlist_metadata_present,Prot,2024-06-18,2024-06-21,2024-07-02,False,regular_like,Q99549,8qfb,https://www.rcsb.org/structure/8qfb,https://files.rcsb.org/download/8QFB.pdb,https://files.rcsb.org/download/8QFB.cif,https://files.rcsb.org/download/8QFB.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/002_casp16_t1266,replacement_target_id=CASP16_T1266;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1266.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/8QFB.pdb;prediction_created_at=2024-07-02;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_003,CASP16,casp16_regular_predictions,T1269,monomer,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1269.tar.gz,2024-07-05 09:20,58M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=194&view=all,targetlist_metadata_present,Prot,2024-06-21,2024-06-24,2024-07-05,False,regular_like,MUC5AC uniprot P98088,9gvq,https://www.rcsb.org/structure/9gvq,https://files.rcsb.org/download/9GVQ.pdb,https://files.rcsb.org/download/9GVQ.cif,https://files.rcsb.org/download/9GVQ.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/003_casp16_t1269,replacement_target_id=CASP16_T1269;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1269.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9GVQ.pdb;prediction_created_at=2024-07-05;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_004,CASP16,casp16_regular_predictions,T1299,monomer,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1299.tar.gz,2024-08-15 09:20,6.9M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=359&view=all,targetlist_metadata_present,Prot,2024-08-01,2024-08-04,2024-08-15,False,regular_like,9FJL,9fjl,https://www.rcsb.org/structure/9fjl,https://files.rcsb.org/download/9FJL.pdb,https://files.rcsb.org/download/9FJL.cif,https://files.rcsb.org/download/9FJL.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/004_casp16_t1299,replacement_target_id=CASP16_T1299;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1299.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9FJL.pdb;prediction_created_at=2024-08-15;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_005,CASP16,casp16_regular_predictions,T1220s1,monomer,domain_subunit,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1220s1.tar.gz,2024-06-17 09:21,91M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=133&view=all,targetlist_metadata_present,Prot,2024-06-03,2024-06-06,2024-06-17,False,regular_like,BoDV-1 Replication complex,9h1g,https://www.rcsb.org/structure/9h1g,https://files.rcsb.org/download/9H1G.pdb,https://files.rcsb.org/download/9H1G.cif,https://files.rcsb.org/download/9H1G.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/005_casp16_t1220s1,replacement_target_id=CASP16_T1220s1;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1220s1.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9H1G.pdb;prediction_created_at=2024-06-17;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_006,CASP16,casp16_regular_predictions,T1227s1,monomer,domain_subunit,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1227s1.tar.gz,2024-06-24 09:20,22M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=151&view=all,targetlist_metadata_present,Prot,2024-06-10,2024-06-13,2024-06-24,False,regular_like,LetA (P0AD03) and LetB (P76272),9n8w,https://www.rcsb.org/structure/9n8w,https://files.rcsb.org/download/9N8W.pdb,https://files.rcsb.org/download/9N8W.cif,https://files.rcsb.org/download/9N8W.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/006_casp16_t1227s1,replacement_target_id=CASP16_T1227s1;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1227s1.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9N8W.pdb;prediction_created_at=2024-06-24;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_007,CASP16,casp16_regular_predictions,T1269v1,monomer,variant,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1269v1.tar.gz,2024-08-14 09:20,52M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=356&view=all,targetlist_metadata_present,Prot,2024-07-31,2024-08-03,2024-08-14,False,regular_like,MUC5AC uniprot P98088,9gvq,https://www.rcsb.org/structure/9gvq,https://files.rcsb.org/download/9GVQ.pdb,https://files.rcsb.org/download/9GVQ.cif,https://files.rcsb.org/download/9GVQ.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/007_casp16_t1269v1,replacement_target_id=CASP16_T1269v1;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1269v1.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9GVQ.pdb;prediction_created_at=2024-08-14;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_008,CASP16,casp16_regular_predictions,T1214,monomer,regular_monomer,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1214.tar.gz,2024-05-24 09:20,35M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=72&view=all,targetlist_metadata_present,Prot /Ligand /Ensmbl,2024-05-10,2024-05-13,2024-05-24,False,ligand_or_ensemble_flagged,YncD (NP_415968),9c4o,https://www.rcsb.org/structure/9c4o,https://files.rcsb.org/download/9C4O.pdb,https://files.rcsb.org/download/9C4O.cif,https://files.rcsb.org/download/9C4O.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/008_casp16_t1214,replacement_target_id=CASP16_T1214;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1214.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9C4O.pdb;prediction_created_at=2024-05-24;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_009,CASP16,casp16_regular_predictions,T1239v1,monomer,variant,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1239v1.tar.gz,2024-06-23 09:20,30M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=115&view=all,targetlist_metadata_present,Prot /Ensmbl,2024-06-06,2024-06-09,2024-06-23,False,ligand_or_ensemble_flagged,SPbeta_intRDF_DNA protein subunit of M1239v1,9dxd,https://www.rcsb.org/structure/9dxd,https://files.rcsb.org/download/9DXD.pdb,https://files.rcsb.org/download/9DXD.cif,https://files.rcsb.org/download/9DXD.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/009_casp16_t1239v1,replacement_target_id=CASP16_T1239v1;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1239v1.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9DXD.pdb;prediction_created_at=2024-06-23;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
official_archive_source_010,CASP16,casp16_regular_predictions,T1239v2,monomer,variant,https://predictioncenter.org/download_area/CASP16/predictions/regular/,https://predictioncenter.org/download_area/CASP16/predictions/regular/T1239v2.tar.gz,2024-06-23 09:20,32M,https://predictioncenter.org/casp16/targetlist.cgi?view_targets=all,https://predictioncenter.org/casp16/target.cgi?id=116&view=all,targetlist_metadata_present,Prot /Ensmbl,2024-06-06,2024-06-09,2024-06-23,False,ligand_or_ensemble_flagged,SPbeta_intRDF_DNA protein subunit of M1239v2,9dxd,https://www.rcsb.org/structure/9dxd,https://files.rcsb.org/download/9DXD.pdb,https://files.rcsb.org/download/9DXD.cif,https://files.rcsb.org/download/9DXD.pdb,pdb,pdb_available,native_pdb_code_present,https://predictioncenter.org/download_area/CASP16/targets/,2025-02-01,True,pre_native_archive_candidate_native_authority_ready_for_download,casp17/historical_seed_strict_blind_replacement_first_slot_official_archive_source_candidates/010_casp16_t1239v2,replacement_target_id=CASP16_T1239v2;prediction_pdb=extract_from:https://predictioncenter.org/download_area/CASP16/predictions/regular/T1239v2.tar.gz;native_pdb=fetch_from:https://files.rcsb.org/download/9DXD.pdb;prediction_created_at=2024-06-23;native_release_date=2025-02-01,"download official prediction tarball and RCSB native PDB, extract model1/top5/native evidence, then rerun strict-blind evidence dropzones"
