route_id,target_id,scope,required_scope,in_first_slot_scope,candidate_status,route_status,allowed_for_first_slot,prediction_created_at,native_release_date,post_native_action_count,external_required_action_count,source_required_action_count,evidence_required_action_count,date_required_action_count,primary_blocked_action_count,first_blocker,route_folder,next_action
first_slot_source_route_001,HIST_BBA5,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,2004-05-13,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/01_hist_bba5,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_002,HIST_CHIGNOLIN,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,2003-03-13,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/02_hist_chignolin,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_003,HIST_CRAMBIN,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,1981-04-30,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/03_hist_crambin,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_004,HIST_FSD_1,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,1997-06-09,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/04_hist_fsd_1,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_005,HIST_GB1_MINI,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,1991-05-15,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/05_hist_gb1_mini,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_006,HIST_PROTEIN_A_BDOMAIN,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,1996-06-28,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/06_hist_protein_a_bdomain,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_007,HIST_TRP_CAGE,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,2002-02-25,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/07_hist_trp_cage,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_008,HIST_UBIQUITIN_MINI,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,1987-01-02,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/08_hist_ubiquitin_mini,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_009,HIST_VILLIN_HP35,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,2005-02-03,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/09_hist_villin_hp35,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_010,HIST_WW_DOMAIN_FIP35,monomer,monomer,True,blocked_chronology_not_strict_blind,in_scope_current_candidate_disqualified_post_native,False,2026-02-19,2005-11-15,1,2,0,3,0,0,prediction_not_before_native,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/10_hist_ww_domain_fip35,source a pre-native prediction archive for this monomer or replace with a strict-blind monomer candidate
first_slot_source_route_011,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,complex,monomer,False,blocked_chronology_not_strict_blind,out_of_scope_context_only_for_first_slot,False,2026-05-17,,0,0,1,3,1,1,native_authority_missing,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/11_hist_complex_01_tcruzi_pde_external_pdeb1_010_chembl4453005,do not promote to this monomer slot; keep as complex-lane context after source authority is repaired
first_slot_source_route_012,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,complex,monomer,False,blocked_chronology_not_strict_blind,out_of_scope_context_only_for_first_slot,False,2026-05-17,,0,0,1,3,1,1,native_authority_missing,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/12_hist_complex_02_tcruzi_pde_external_pdeb1_043_chembl2171451,do not promote to this monomer slot; keep as complex-lane context after source authority is repaired
first_slot_source_route_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,monomer,False,blocked_chronology_not_strict_blind,out_of_scope_context_only_for_first_slot,False,2026-05-17,,0,0,1,3,1,1,native_authority_missing,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/13_hist_complex_03_tcruzi_pde_external_pdeb1_025_chembl4441871,do not promote to this monomer slot; keep as complex-lane context after source authority is repaired
first_slot_source_route_014,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,complex,monomer,False,blocked_chronology_not_strict_blind,out_of_scope_context_only_for_first_slot,False,2026-05-17,,0,0,1,3,1,1,native_authority_missing,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/14_hist_complex_04_tcruzi_pde_external_pdeb1_032_chembl4445930,do not promote to this monomer slot; keep as complex-lane context after source authority is repaired
first_slot_source_route_015,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,complex,monomer,False,blocked_chronology_not_strict_blind,out_of_scope_context_only_for_first_slot,False,2026-05-17,,0,0,1,3,1,1,native_authority_missing,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/15_hist_complex_05_tcruzi_pde_external_pdeb1_007_chembl3764370,do not promote to this monomer slot; keep as complex-lane context after source authority is repaired
first_slot_source_route_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,monomer,False,blocked_chronology_not_strict_blind,out_of_scope_context_only_for_first_slot,False,,,0,0,3,3,1,1,native_authority_missing,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/16_hist_complex_06_tcruzi_pde_external_pdeb1_017_chembl3765606,do not promote to this monomer slot; keep as complex-lane context after source authority is repaired
first_slot_source_route_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,monomer,False,blocked_chronology_not_strict_blind,out_of_scope_context_only_for_first_slot,False,,,0,0,3,3,1,1,native_authority_missing,casp17/historical_seed_strict_blind_replacement_first_slot_source_route_board/17_hist_complex_07_tcruzi_pde_bindingdb_pdeb1_007_bdb50397079,do not promote to this monomer slot; keep as complex-lane context after source authority is repaired
