queue_rank,required_benchmark_id,required_target_id,scope,metric_profile,promotion_status,ready_for_competitive_proof,intake_status,intake_filled_field_count,intake_missing_field_count,file_action_count,file_complete_count,file_ready_apply_count,file_awaiting_count,file_blocked_count,operator_action_count,operator_complete_count,operator_ready_apply_count,operator_awaiting_count,operator_blocked_count,promotion_md,blockers,next_action
1,hist_REQUIRED_MONOMER_001,REQUIRED_MONOMER_001,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/01_hist_required_monomer_001/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
2,hist_REQUIRED_MONOMER_002,REQUIRED_MONOMER_002,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/02_hist_required_monomer_002/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
3,hist_REQUIRED_MONOMER_003,REQUIRED_MONOMER_003,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/03_hist_required_monomer_003/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
4,hist_REQUIRED_MONOMER_004,REQUIRED_MONOMER_004,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/04_hist_required_monomer_004/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
5,hist_REQUIRED_MONOMER_005,REQUIRED_MONOMER_005,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/05_hist_required_monomer_005/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
6,hist_REQUIRED_MONOMER_006,REQUIRED_MONOMER_006,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/06_hist_required_monomer_006/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
7,hist_REQUIRED_MONOMER_007,REQUIRED_MONOMER_007,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/07_hist_required_monomer_007/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
8,hist_REQUIRED_MONOMER_008,REQUIRED_MONOMER_008,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/08_hist_required_monomer_008/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
9,hist_REQUIRED_MONOMER_009,REQUIRED_MONOMER_009,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/09_hist_required_monomer_009/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
10,hist_REQUIRED_MONOMER_010,REQUIRED_MONOMER_010,monomer,"TM,GDT_TS,CA_lDDT",awaiting_file_evidence,false,awaiting_operator_input,0,16,6,0,0,6,0,10,0,0,10,0,casp17/historical_seed_strict_blind_replacement_promotion_gate/10_hist_required_monomer_010/PROMOTION_GATE.md,"file_evidence_missing:6,operator_values_missing:10,intake_status:awaiting_operator_input,intake_missing_fields:16","place required strict-blind evidence files, rerun dropzones/import gate"
