row_rank,target_id,benchmark_id,scope,pool_status,candidate_pool_csv,candidate_pool_dir,candidate_model_count,top5_candidate_pool_ready,selected_source_pdb,selected_source_present,generated_perturbation_count,next_action,blockers
1,HIST_BBA5,hist_seed_bba5,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/01_hist_bba5/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/01_hist_bba5,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_bba5_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
2,HIST_CHIGNOLIN,hist_seed_chignolin,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/02_hist_chignolin/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/02_hist_chignolin,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_chignolin_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
3,HIST_CRAMBIN,hist_seed_crambin,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/03_hist_crambin/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/03_hist_crambin,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_crambin_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
4,HIST_FSD_1,hist_seed_fsd_1,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/04_hist_fsd_1/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/04_hist_fsd_1,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_fsd_1_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
5,HIST_GB1_MINI,hist_seed_gb1_mini,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/05_hist_gb1_mini/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/05_hist_gb1_mini,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_gb1_mini_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
6,HIST_PROTEIN_A_BDOMAIN,hist_seed_protein_a_bdomain,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/06_hist_protein_a_bdomain/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/06_hist_protein_a_bdomain,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_protein_a_bdomain_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
7,HIST_TRP_CAGE,hist_seed_trp_cage,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/07_hist_trp_cage/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/07_hist_trp_cage,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_trp_cage_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
8,HIST_UBIQUITIN_MINI,hist_seed_ubiquitin_mini,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/08_hist_ubiquitin_mini/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/08_hist_ubiquitin_mini,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ubiquitin_mini_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
9,HIST_VILLIN_HP35,hist_seed_villin_hp35,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/09_hist_villin_hp35/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/09_hist_villin_hp35,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_villin_hp35_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
10,HIST_WW_DOMAIN_FIP35,hist_seed_ww_domain_fip35,monomer,top5_candidate_pool_ready_for_review,casp17/historical_seed_top5_candidate_pools/10_hist_ww_domain_fip35/candidate_pool.csv,casp17/historical_seed_top5_candidate_pools/10_hist_ww_domain_fip35,5,True,data/internal_structures_refined/nightly/2026-02-19-ops-full-dashboard-r1/visual_post_internal_post_ww_domain_fip35_sample000_step00020.pdb,True,4,"feed candidate pool into calibration ledger, then attach native oracle metrics and internal scores",
