pool_id,model_set_id,primary_target_id,target_category,bundle_format,massivefold_tarball_url,ftp_filename,ftp_size_bytes,ftp_modified_hint,download_path,extract_dir,pool_folder,acquisition_manifest,model_pool_policy,internal_prediction_policy,competitive_proof_eligible,submission_policy,download_policy,sequence_guard,pool_status,next_action
massivefold_external_pool_001,H1311_T327,H1311,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H1311_T327_all_pdbs_MassiveFold.tar.gz,H1311_T327_all_pdbs_MassiveFold.tar.gz,1934629344,May 2 10:06,casp17/massivefold_external_pool_intake/h1311_t327/downloads/H1311_T327_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h1311_t327/extracted_models,casp17/massivefold_external_pool_intake/h1311_t327,casp17/massivefold_external_pool_intake/h1311_t327/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_002,H2324_T328,H2324,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2324_T328_all_pdbs_MassiveFold.tar.gz,H2324_T328_all_pdbs_MassiveFold.tar.gz,2015208150,May 10 08:51,casp17/massivefold_external_pool_intake/h2324_t328/downloads/H2324_T328_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h2324_t328/extracted_models,casp17/massivefold_external_pool_intake/h2324_t328,casp17/massivefold_external_pool_intake/h2324_t328/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_003,H2312_T329,H2312,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2312_T329_all_pdbs_MassiveFold.tar.gz,H2312_T329_all_pdbs_MassiveFold.tar.gz,3298849154,May 16 19:13,casp17/massivefold_external_pool_intake/h2312_t329/downloads/H2312_T329_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h2312_t329/extracted_models,casp17/massivefold_external_pool_intake/h2312_t329,casp17/massivefold_external_pool_intake/h2312_t329/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_004,T2313_T330,T2313,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/T2313_T330_all_pdbs_MassiveFold.tar.gz,T2313_T330_all_pdbs_MassiveFold.tar.gz,4188101793,May 19 18:00,casp17/massivefold_external_pool_intake/t2313_t330/downloads/T2313_T330_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models,casp17/massivefold_external_pool_intake/t2313_t330,casp17/massivefold_external_pool_intake/t2313_t330/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_005,H2338_T331,H2338,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2338_T331_all_pdbs_MassiveFold.tar.gz,H2338_T331_all_pdbs_MassiveFold.tar.gz,2381698579,May 18 13:00,casp17/massivefold_external_pool_intake/h2338_t331/downloads/H2338_T331_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h2338_t331/extracted_models,casp17/massivefold_external_pool_intake/h2338_t331,casp17/massivefold_external_pool_intake/h2338_t331/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_006,H2339_T332,H2339,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2339_T332_all_pdbs_MassiveFold.tar.gz,H2339_T332_all_pdbs_MassiveFold.tar.gz,4709153238,May 19 17:57,casp17/massivefold_external_pool_intake/h2339_t332/downloads/H2339_T332_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h2339_t332/extracted_models,casp17/massivefold_external_pool_intake/h2339_t332,casp17/massivefold_external_pool_intake/h2339_t332/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_007,R2341,R2341,rna_or_hybrid,cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2341_all_cifs_MassiveFold.tar.gz,R2341_all_cifs_MassiveFold.tar.gz,667779936,May 20 18:01,casp17/massivefold_external_pool_intake/r2341/downloads/R2341_all_cifs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/r2341/extracted_models,casp17/massivefold_external_pool_intake/r2341,casp17/massivefold_external_pool_intake/r2341/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_008,H2319_T333,H2319,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2319_T333_all_pdbs_MassiveFold.tar.gz,H2319_T333_all_pdbs_MassiveFold.tar.gz,2269895275,May 21 10:51,casp17/massivefold_external_pool_intake/h2319_t333/downloads/H2319_T333_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models,casp17/massivefold_external_pool_intake/h2319_t333,casp17/massivefold_external_pool_intake/h2319_t333/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_009,H2321_T334,H2321,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2321_T334_all_pdbs_MassiveFold.tar.gz,H2321_T334_all_pdbs_MassiveFold.tar.gz,2306336886,May 22 12:00,casp17/massivefold_external_pool_intake/h2321_t334/downloads/H2321_T334_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models,casp17/massivefold_external_pool_intake/h2321_t334,casp17/massivefold_external_pool_intake/h2321_t334/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_010,R2345,R2345,rna_or_hybrid,cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2345_all_cifs_MassiveFold.tar.gz,R2345_all_cifs_MassiveFold.tar.gz,245903877,May 22 14:25,casp17/massivefold_external_pool_intake/r2345/downloads/R2345_all_cifs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/r2345/extracted_models,casp17/massivefold_external_pool_intake/r2345,casp17/massivefold_external_pool_intake/r2345/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,ignore_0930_pacific_invalid_dna_t_request_use_1130_replacement_only,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_011,R2350,R2350,rna_or_hybrid,cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2350_all_cifs_MassiveFold.tar.gz,R2350_all_cifs_MassiveFold.tar.gz,1362175616,May 26 09:37,casp17/massivefold_external_pool_intake/r2350/downloads/R2350_all_cifs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/r2350/extracted_models,casp17/massivefold_external_pool_intake/r2350,casp17/massivefold_external_pool_intake/r2350/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_012,R2351,R2351,rna_or_hybrid,cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2351_all_cifs_MassiveFold.tar.gz,R2351_all_cifs_MassiveFold.tar.gz,1361443421,May 27 10:39,casp17/massivefold_external_pool_intake/r2351/downloads/R2351_all_cifs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/r2351/extracted_models,casp17/massivefold_external_pool_intake/r2351,casp17/massivefold_external_pool_intake/r2351/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_013,R2352,R2352,rna_or_hybrid,cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2352_all_cifs_MassiveFold.tar.gz,R2352_all_cifs_MassiveFold.tar.gz,1362404890,May 29 10:27,casp17/massivefold_external_pool_intake/r2352/downloads/R2352_all_cifs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/r2352/extracted_models,casp17/massivefold_external_pool_intake/r2352,casp17/massivefold_external_pool_intake/r2352/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_014,R2353,R2353,rna_or_hybrid,cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2353_all_cifs_MassiveFold.tar.gz,R2353_all_cifs_MassiveFold.tar.gz,1378962270,May 29 10:31,casp17/massivefold_external_pool_intake/r2353/downloads/R2353_all_cifs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/r2353/extracted_models,casp17/massivefold_external_pool_intake/r2353,casp17/massivefold_external_pool_intake/r2353/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
massivefold_external_pool_015,H2335_T335,H2335,protein_or_complex,pdb_cif_bundle,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2335_T335_all_pdbs_MassiveFold.tar.gz,H2335_T335_all_pdbs_MassiveFold.tar.gz,4192785208,May 29 17:10,casp17/massivefold_external_pool_intake/h2335_t335/downloads/H2335_T335_all_pdbs_MassiveFold.tar.gz,casp17/massivefold_external_pool_intake/h2335_t335/extracted_models,casp17/massivefold_external_pool_intake/h2335_t335,casp17/massivefold_external_pool_intake/h2335_t335/ACQUISITION_MANIFEST.md,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,False,rule_check_required_before_any_human_submission_use,operator_explicit_download_required_no_automatic_tarball_fetch,,external_pool_ready_for_operator_acquisition,"optionally download into this external-pool folder, hash the tarball, extract models, and use only for rerank/accuracy-estimation rule-checked experiments"
