escrow_rank,escrow_status,target_group,target_id,decision_class,final_selector_decision,selected_model_filename,model_path,model_sha256,model_size_bytes,top5_manifest_csv,top5_manifest_sha256,viewer_html,projection_svg,source_decision_md,preflight_md,escrow_folder,escrow_md,model_present,model_sha256_verified,top5_manifest_present,top5_sha256_verified,viewer_present,projection_present,native_status,competitive_proof_eligible,blockers,next_action,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary,rule_id
1,freeze_candidate_escrow_ready_external_only,protein_complex,H2319,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/model.cif,ce010311c4b98e0ea57a93e6e8f237e2116ec256d105b6b9210453038ca6b56d,628803,casp17/massivefold_representative_rerank/h2319/top5_manifest.csv,16acb497fef777299e19a8d6a6af9d0582bf9da961f37ac5cf532d071b07584c,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/04_freeze_candidate_after_probe_h2319/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/01_protein_complex_h2319/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/01_protein_complex_h2319,casp17/massivefold_freeze_candidate_escrow/01_protein_complex_h2319/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
2,freeze_candidate_escrow_ready_external_only,protein_complex,H2321,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,df044d5a2534e1a04b77b374d92ef478f05580b631d48773eef515a3cc4d20dd,639495,casp17/massivefold_representative_rerank/h2321/top5_manifest.csv,4493ff474ca2763249334105b22af03cb988ab239384f6b3948e51ba33ed9c2a,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/05_freeze_candidate_after_probe_h2321/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/02_protein_complex_h2321/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/02_protein_complex_h2321,casp17/massivefold_freeze_candidate_escrow/02_protein_complex_h2321/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
3,freeze_candidate_escrow_ready_external_only,protein_complex,H2335,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/model.cif,e4caeb2f2c8f7c9899e100654b007a6c37b42775842c6fe63372a9553df76b6f,1170207,casp17/massivefold_representative_rerank/h2335/top5_manifest.csv,8a1abe67bef7ddf19c0b6d6045b1b44bb0b5b35e10a5c96e097e10e2375ae2c3,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/viewer.html,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/07_freeze_candidate_after_probe_h2335/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/03_protein_complex_h2335/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/03_protein_complex_h2335,casp17/massivefold_freeze_candidate_escrow/03_protein_complex_h2335/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
4,freeze_candidate_escrow_ready_external_only,protein_complex,H2338,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,099c36ee5e22649abb2a95da4c2c125c759638f0545e090e22cb702329320bad,659340,casp17/massivefold_representative_rerank/h2338/top5_manifest.csv,aea657a31d0530fdcc2bcfed0111ee80b3611c914b8d1dd38448744015fef17a,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/08_freeze_candidate_after_probe_h2338/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/04_protein_complex_h2338/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/04_protein_complex_h2338,casp17/massivefold_freeze_candidate_escrow/04_protein_complex_h2338/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
5,freeze_candidate_escrow_ready_external_only,protein_complex,H2339,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_135_afm_basic_model_5_multimer_v1_pred_62.pdb,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/model.cif,7cbfae1977300fc6adc3e35a8e0dea336607c71ab6bb8d967b880a5f9bbd9df7,657639,casp17/massivefold_representative_rerank/h2339/top5_manifest.csv,35d6f2025b6d29d4fdebe28b26ee6ab75f02702a67cfe8888d7baabb5794b068,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/viewer.html,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/09_freeze_candidate_after_probe_h2339/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/05_protein_complex_h2339/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/05_protein_complex_h2339,casp17/massivefold_freeze_candidate_escrow/05_protein_complex_h2339/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
6,freeze_candidate_escrow_ready_external_only,rna_hybrid,R2341,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,5f82877281cf377e7a4e78b11c84aca52bf30324cb577dbeb8d766e577cffb7f,319897,casp17/massivefold_representative_rerank/r2341/top5_manifest.csv,c8028da6b099bccc544871e5490b2ffaa710f5596408b16fe6fc6ded4ef58422,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/10_freeze_candidate_after_probe_r2341/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/06_rna_hybrid_r2341/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/06_rna_hybrid_r2341,casp17/massivefold_freeze_candidate_escrow/06_rna_hybrid_r2341/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
7,freeze_candidate_escrow_ready_external_only,rna_hybrid,R2345,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_4_af3_woUnpaired_af3_seed_418984_sample_3_pred_713.cif,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/model.cif,0fbc11b121154f8d714f3d436c0a0e57ca1b478fdf409a18cca120840a8858bb,111063,casp17/massivefold_representative_rerank/r2345/top5_manifest.csv,dfc54682310d3f653183229a6d264c50c6f126ac8d7c178030836135680da69b,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/viewer.html,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/11_freeze_candidate_after_probe_r2345/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/07_rna_hybrid_r2345/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/07_rna_hybrid_r2345,casp17/massivefold_freeze_candidate_escrow/07_rna_hybrid_r2345/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
8,freeze_candidate_escrow_ready_external_only,protein_complex,T2313,freeze_candidate_after_probe,external_model1_freeze_candidate_after_targeted_probe,Model_5_afm_woTemplates_model_4_multimer_v3_pred_28.pdb,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/model.cif,7752ae238fab3006094bbb0317713e33021f0d8d383bb52667bff755f8072073,1170531,casp17/massivefold_representative_rerank/t2313/top5_manifest.csv,a5fb745d347a952ff6645fef9d3082015ba683c1d6fb13dd8a81bf9c9e461b61,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/13_freeze_candidate_after_probe_t2313/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/08_protein_complex_t2313/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/08_protein_complex_t2313,casp17/massivefold_freeze_candidate_escrow/08_protein_complex_t2313/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
9,freeze_candidate_escrow_ready_external_only,rna_hybrid,R2350,freeze_candidate_existing,external_model1_freeze_candidate_existing,Model_20_af3_woPaired_af3_seed_612441_sample_0_pred_640.cif,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/model.cif,4b63ccc2b60c0793b299f38f2fb1bf4c894bfeacccf96d7d0f265e3232a95168,661942,casp17/massivefold_representative_rerank/r2350/top5_manifest.csv,c602cb20ff2f4ac3e045eb6c7778ba084a14a2d1dfe6e4b264a42acd860ddd0c,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/14_freeze_candidate_existing_r2350/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/09_rna_hybrid_r2350/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/09_rna_hybrid_r2350,casp17/massivefold_freeze_candidate_escrow/09_rna_hybrid_r2350/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
10,freeze_candidate_escrow_ready_external_only,rna_hybrid,R2353,freeze_candidate_existing,external_model1_freeze_candidate_existing,Model_7_af3_woPaired_af3_seed_634615_sample_2_pred_387.cif,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/model.cif,3c37790d5f5d88823e04280a3fdd2ebde6671cc37554275803071ef600124418,670369,casp17/massivefold_representative_rerank/r2353/top5_manifest.csv,ad6d53a6a37e57e5b26790f32ed2a8cd9d9d300b588b51364a65935426e1f00c,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/viewer.html,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/projection.svg,casp17/massivefold_post_probe_selector_decision_packet/15_freeze_candidate_existing_r2353/SELECTOR_DECISION.md,casp17/massivefold_freeze_candidate_format_preflight/10_rna_hybrid_r2353/FORMAT_PREFLIGHT.md,casp17/massivefold_freeze_candidate_escrow/10_rna_hybrid_r2353,casp17/massivefold_freeze_candidate_escrow/10_rna_hybrid_r2353/FREEZE_ESCROW.md,True,True,True,True,True,True,official_native_release_pending,false,,keep escrow hashes stable; run CASP rule checks only after operator approval and attach native metrics after release,external_no_native_freeze_candidate_escrow_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate escrow only. It freezes external-only selected model paths, SHA256 hashes, top5 manifests, viewers, and native-pending status for later rule-checked review or future native evaluation. It is not native accuracy, not internal prediction proof, not a CASP portal submission, and not permission to submit.",external_freeze_candidate_sha_escrow_v1
