protein_key,target_id,protein_name,protein_name_source,target_group,library_status,object_id,object_count,library_protein_folder,library_object_folder,protein_readme,protein_manifest,object_readme,object_manifest,model_path,model_sha256,viewer_html,projection_svg,top5_manifest_csv,top5_manifest_sha256,escrow_md,official_description,human_expiration,qa_expiration,decision_class,native_status,competitive_proof_eligible,blockers,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary
H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,current_upload_queue,protein_complex,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/massivefold_freeze_candidate_protein_library/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/README.md,casp17/massivefold_freeze_candidate_protein_library/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/model.cif,ce010311c4b98e0ea57a93e6e8f237e2116ec256d105b6b9210453038ca6b56d,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_125_afm_basic_v3_model_1/projection.svg,casp17/massivefold_representative_rerank/h2319/top5_manifest.csv,16acb497fef777299e19a8d6a6af9d0582bf9da961f37ac5cf532d071b07584c,casp17/massivefold_freeze_candidate_escrow/01_protein_complex_h2319/FREEZE_ESCROW.md,Human astrovirus VA1 capsid spike - antibody 7C8 complex,2026-06-02,2026-06-05,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,current_upload_queue,protein_complex,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,casp17/massivefold_freeze_candidate_protein_library/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/README.md,casp17/massivefold_freeze_candidate_protein_library/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/model.cif,df044d5a2534e1a04b77b374d92ef478f05580b631d48773eef515a3cc4d20dd,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2321/selection_086_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_representative_rerank/h2321/top5_manifest.csv,4493ff474ca2763249334105b22af03cb988ab239384f6b3948e51ba33ed9c2a,casp17/massivefold_freeze_candidate_escrow/02_protein_complex_h2321/FREEZE_ESCROW.md,Human astrovirus VA1 capsid spike - antibody 2A2 complex,2026-06-03,2026-06-06,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
H2335_HCMV_Merlin_gHgLgO_Fab_complex,H2335,HCMV Merlin gHgLgO-Fab complex,official_targetlist,protein_complex,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/H2335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/massivefold_freeze_candidate_protein_library/H2335_HCMV_Merlin_gHgLgO_Fab_complex/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/H2335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/massivefold_freeze_candidate_protein_library/H2335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/H2335_HCMV_Merlin_gHgLgO_Fab_complex/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/H2335_HCMV_Merlin_gHgLgO_Fab_complex/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/model.cif,e4caeb2f2c8f7c9899e100654b007a6c37b42775842c6fe63372a9553df76b6f,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/viewer.html,casp17/massivefold_representative_viewers/h2335/selection_030_afm_basic_v1_model_7830/projection.svg,casp17/massivefold_representative_rerank/h2335/top5_manifest.csv,8a1abe67bef7ddf19c0b6d6045b1b44bb0b5b35e10a5c96e097e10e2375ae2c3,casp17/massivefold_freeze_candidate_escrow/03_protein_complex_h2335/FREEZE_ESCROW.md,HCMV Merlin gHgLgO-Fab complex,2026-06-10,2026-06-13,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
H2338_Factor_XIa_antibody_complex_9933,H2338,Factor XIa antibody complex 9933,current_upload_queue,protein_complex,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/H2338_Factor_XIa_antibody_complex_9933,casp17/massivefold_freeze_candidate_protein_library/H2338_Factor_XIa_antibody_complex_9933/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/H2338_Factor_XIa_antibody_complex_9933/README.md,casp17/massivefold_freeze_candidate_protein_library/H2338_Factor_XIa_antibody_complex_9933/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/H2338_Factor_XIa_antibody_complex_9933/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/H2338_Factor_XIa_antibody_complex_9933/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,099c36ee5e22649abb2a95da4c2c125c759638f0545e090e22cb702329320bad,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_rerank/h2338/top5_manifest.csv,aea657a31d0530fdcc2bcfed0111ee80b3611c914b8d1dd38448744015fef17a,casp17/massivefold_freeze_candidate_escrow/04_protein_complex_h2338/FREEZE_ESCROW.md,Factor XIa antibody complex 9933,2026-05-29,2026-06-01,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
H2339_Factor_XIa_antibody_complex_7508,H2339,Factor XIa antibody complex 7508,current_upload_queue,protein_complex,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/H2339_Factor_XIa_antibody_complex_7508,casp17/massivefold_freeze_candidate_protein_library/H2339_Factor_XIa_antibody_complex_7508/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/H2339_Factor_XIa_antibody_complex_7508/README.md,casp17/massivefold_freeze_candidate_protein_library/H2339_Factor_XIa_antibody_complex_7508/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/H2339_Factor_XIa_antibody_complex_7508/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/H2339_Factor_XIa_antibody_complex_7508/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/model.cif,7cbfae1977300fc6adc3e35a8e0dea336607c71ab6bb8d967b880a5f9bbd9df7,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/viewer.html,casp17/massivefold_representative_viewers/h2339/selection_111_afm_basic_v1_model_135/projection.svg,casp17/massivefold_representative_rerank/h2339/top5_manifest.csv,35d6f2025b6d29d4fdebe28b26ee6ab75f02702a67cfe8888d7baabb5794b068,casp17/massivefold_freeze_candidate_escrow/05_protein_complex_h2339/FREEZE_ESCROW.md,Factor XIa antibody complex 7508,2026-05-30,2026-06-02,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
T2313_P66,T2313,P66,current_upload_queue,protein_complex,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/T2313_P66,casp17/massivefold_freeze_candidate_protein_library/T2313_P66/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/T2313_P66/README.md,casp17/massivefold_freeze_candidate_protein_library/T2313_P66/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/T2313_P66/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/T2313_P66/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/model.cif,7752ae238fab3006094bbb0317713e33021f0d8d383bb52667bff755f8072073,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/projection.svg,casp17/massivefold_representative_rerank/t2313/top5_manifest.csv,a5fb745d347a952ff6645fef9d3082015ba683c1d6fb13dd8a81bf9c9e461b61,casp17/massivefold_freeze_candidate_escrow/08_protein_complex_t2313/FREEZE_ESCROW.md,P66,2026-05-28,2026-05-31,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
R2341_RRE_core,R2341,RRE core,official_targetlist,rna_hybrid,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/R2341_RRE_core,casp17/massivefold_freeze_candidate_protein_library/R2341_RRE_core/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/R2341_RRE_core/README.md,casp17/massivefold_freeze_candidate_protein_library/R2341_RRE_core/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/R2341_RRE_core/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/R2341_RRE_core/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,5f82877281cf377e7a4e78b11c84aca52bf30324cb577dbeb8d766e577cffb7f,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,casp17/massivefold_representative_rerank/r2341/top5_manifest.csv,c8028da6b099bccc544871e5490b2ffaa710f5596408b16fe6fc6ded4ef58422,casp17/massivefold_freeze_candidate_escrow/06_rna_hybrid_r2341/FREEZE_ESCROW.md,RRE core,2026-06-01,-,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
R2345_R10C03,R2345,R10C03,official_targetlist,rna_hybrid,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/R2345_R10C03,casp17/massivefold_freeze_candidate_protein_library/R2345_R10C03/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/R2345_R10C03/README.md,casp17/massivefold_freeze_candidate_protein_library/R2345_R10C03/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/R2345_R10C03/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/R2345_R10C03/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/model.cif,0fbc11b121154f8d714f3d436c0a0e57ca1b478fdf409a18cca120840a8858bb,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/viewer.html,casp17/massivefold_representative_viewers/r2345/selection_013_woUnpaired_model_4/projection.svg,casp17/massivefold_representative_rerank/r2345/top5_manifest.csv,dfc54682310d3f653183229a6d264c50c6f126ac8d7c178030836135680da69b,casp17/massivefold_freeze_candidate_escrow/07_rna_hybrid_r2345/FREEZE_ESCROW.md,R10C03,2026-06-04,-,freeze_candidate_after_probe,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
R2350_Tetrahymena_Ribozyme_C7_2_mutant_RNA,R2350,Tetrahymena Ribozyme C7.2 mutant RNA,official_targetlist,rna_hybrid,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/R2350_Tetrahymena_Ribozyme_C7_2_mutant_RNA,casp17/massivefold_freeze_candidate_protein_library/R2350_Tetrahymena_Ribozyme_C7_2_mutant_RNA/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/R2350_Tetrahymena_Ribozyme_C7_2_mutant_RNA/README.md,casp17/massivefold_freeze_candidate_protein_library/R2350_Tetrahymena_Ribozyme_C7_2_mutant_RNA/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/R2350_Tetrahymena_Ribozyme_C7_2_mutant_RNA/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/R2350_Tetrahymena_Ribozyme_C7_2_mutant_RNA/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/model.cif,4b63ccc2b60c0793b299f38f2fb1bf4c894bfeacccf96d7d0f265e3232a95168,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/projection.svg,casp17/massivefold_representative_rerank/r2350/top5_manifest.csv,c602cb20ff2f4ac3e045eb6c7778ba084a14a2d1dfe6e4b264a42acd860ddd0c,casp17/massivefold_freeze_candidate_escrow/09_rna_hybrid_r2350/FREEZE_ESCROW.md,Tetrahymena Ribozyme C7.2 mutant RNA,2026-06-08,-,freeze_candidate_existing,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
R2353_Tetrahymena_Ribozyme_Vc2_mutant_RNA,R2353,Tetrahymena Ribozyme Vc2 mutant RNA,official_targetlist,rna_hybrid,pass,model1_candidate,1,casp17/massivefold_freeze_candidate_protein_library/R2353_Tetrahymena_Ribozyme_Vc2_mutant_RNA,casp17/massivefold_freeze_candidate_protein_library/R2353_Tetrahymena_Ribozyme_Vc2_mutant_RNA/model1_candidate,casp17/massivefold_freeze_candidate_protein_library/R2353_Tetrahymena_Ribozyme_Vc2_mutant_RNA/README.md,casp17/massivefold_freeze_candidate_protein_library/R2353_Tetrahymena_Ribozyme_Vc2_mutant_RNA/protein_manifest.json,casp17/massivefold_freeze_candidate_protein_library/R2353_Tetrahymena_Ribozyme_Vc2_mutant_RNA/model1_candidate/README.md,casp17/massivefold_freeze_candidate_protein_library/R2353_Tetrahymena_Ribozyme_Vc2_mutant_RNA/model1_candidate/object_manifest.json,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/model.cif,3c37790d5f5d88823e04280a3fdd2ebde6671cc37554275803071ef600124418,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/viewer.html,casp17/massivefold_representative_viewers/r2353/selection_021_woPaired_model_7/projection.svg,casp17/massivefold_representative_rerank/r2353/top5_manifest.csv,ad6d53a6a37e57e5b26790f32ed2a8cd9d9d300b588b51364a65935426e1f00c,casp17/massivefold_freeze_candidate_escrow/10_rna_hybrid_r2353/FREEZE_ESCROW.md,Tetrahymena Ribozyme Vc2 mutant RNA,2026-06-11,-,freeze_candidate_existing,official_native_release_pending,false,,external_no_native_freeze_candidate_protein_library_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold freeze-candidate protein library only. It organizes external-only freeze candidates into protein-name folders with pointers to SHA-escrowed models, viewers, projections, and top5 manifests. It does not copy native structures, create internal predictions, score native accuracy, serialize a CASP author code, or submit to CASP."
