queue_rank,target_group,target_id,target_family,risk_tier,low_margin,confidence_gap,low_margin_threshold,model1_filename,model1_protocol,top5_confidence_mean,top5_score_spread,mean_diversity_to_model1_rmsd,min_nearest_top5_rmsd,max_geometry_outlier_score,max_low_conf_atom_fraction,missing_artifact_count,sequence_guard,source_self_assessment_json,target_action_md,next_action,external_only_policy,internal_prediction_policy,submission_policy,blockers,claim_boundary
1,rna_hybrid,R2350,rna_hybrid,critical_model1_margin,True,0.02292,1,Model_20_af3_woPaired_af3_seed_612441_sample_0_pred_640.cif,woPaired,83.235968,0.19336,48.47025,25.783,1.704,0.02703,0,,casp17/casp17_massivefold_rna_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/01_rna_hybrid_r2350/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
2,rna_hybrid,R2352,rna_hybrid,critical_model1_margin,True,0.07092,1,Model_15_af3_woUnpaired_af3_seed_20656_sample_1_pred_611.cif,woUnpaired,82.610732,0.14128,29.4805,11.101,2.326,0.02654,0,,casp17/casp17_massivefold_rna_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/02_rna_hybrid_r2352/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
3,protein_complex,H2312,heteromer_or_immune_complex,critical_model1_margin,True,0.0813,2,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,afm_basic_v1,101.033084,1.18232,18.18725,2.787,3.127,0.00739,0,,casp17/casp17_protein_complex_massivefold_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/03_protein_complex_h2312/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
4,rna_hybrid,R2353,rna_hybrid,critical_model1_margin,True,0.0928,1,Model_7_af3_woPaired_af3_seed_634615_sample_2_pred_387.cif,woPaired,80.324588,0.41312,53.534,23.011,3.41,0.04459,0,,casp17/casp17_massivefold_rna_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/04_rna_hybrid_r2353/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
5,rna_hybrid,R2341,rna_hybrid,high_model1_margin,True,0.10906,1,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,basic,52.548,1.07352,53.2865,24.18,7.694,0.42441,0,,casp17/casp17_massivefold_rna_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/05_rna_hybrid_r2341/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
6,rna_hybrid,R2351,rna_hybrid,high_model1_margin,True,0.131,1,Model_18_af3_woTemplates_af3_seed_103360_sample_3_pred_608.cif,woTemplates,83.709572,0.25478,57.00825,41.318,3.487,0.02451,0,,casp17/casp17_massivefold_rna_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/06_rna_hybrid_r2351/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
7,protein_complex,H2324,heteromer_or_immune_complex,high_model1_margin,True,0.17602,2,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,afm_basic_v1,99.696224,0.57566,57.6945,33.417,1.66,0.03683,0,,casp17/casp17_protein_complex_massivefold_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/07_protein_complex_h2324/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
8,protein_complex,H1311,heteromer_or_immune_complex,high_model1_margin,True,0.3313,2,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,afm_basic_v3,102.85846,2.55002,31.10125,2.431,3.597,0.01527,0,,casp17/casp17_protein_complex_massivefold_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/08_protein_complex_h1311/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
9,protein_complex,H2338,heteromer_or_immune_complex,high_model1_margin,True,0.45224,2,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,afm_dropout_full_v3,102.955276,1.77912,47.523,15.056,9.003,0.01094,0,,casp17/casp17_protein_complex_massivefold_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/09_protein_complex_h2338/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
10,protein_complex,H2319,heteromer_or_immune_complex,high_model1_margin,True,0.56512,2,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,afm_basic_v3,103.882788,4.04092,43.949,23.482,2.569,0.01341,0,,casp17/casp17_protein_complex_massivefold_self_assessment_packet_current.json,casp17/massivefold_model1_risk_queue/10_protein_complex_h2319/RISK_ACTION.md,"manually review model1 versus top5 diversity and geometry, then add a rerank/calibration experiment before treating model1 as stable",external_model1_risk_queue_for_rerank_accuracy_estimation_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,,"CASP17 MassiveFold model1 risk queue only. It ranks organizer-provided external RNA, protein, immune, and complex model1/top5 self-assessment rows for no-native reranking and accuracy-estimation follow-up. It does not copy coordinates, submit models, use native structures, or create internal competitive-proof evidence."
