pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
8,H2321,H2321_T334,1,H2321_all_pdbs/Model_7898_af3_woUnpaired_af3_seed_226243_sample_4_pred_874.cif,Model_7898_af3_woUnpaired_af3_seed_226243_sample_4_pred_874.cif,7898,AF3,af3_woUnpaired,226243,4,874,woUnpaired,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_7898_af3_woUnpaired_af3_seed_226243_sample_4_pred_874.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,2,H2321_all_pdbs/Model_10563_af3_woTemplates_af3_seed_928152_sample_4_pred_624.cif,Model_10563_af3_woTemplates_af3_seed_928152_sample_4_pred_624.cif,10563,AF3,af3_woTemplates,928152,4,624,woTemplates,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_10563_af3_woTemplates_af3_seed_928152_sample_4_pred_624.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,3,H2321_all_pdbs/Model_9977_af3_basic_af3_seed_973934_sample_0_pred_770.cif,Model_9977_af3_basic_af3_seed_973934_sample_0_pred_770.cif,9977,AF3,af3_basic,973934,0,770,basic,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_9977_af3_basic_af3_seed_973934_sample_0_pred_770.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,4,H2321_all_pdbs/Model_7480_af3_woPaired_woTemplates_af3_seed_606368_sample_3_pred_718.cif,Model_7480_af3_woPaired_woTemplates_af3_seed_606368_sample_3_pred_718.cif,7480,AF3,af3_woPaired_woTemplates,606368,3,718,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_7480_af3_woPaired_woTemplates_af3_seed_606368_sample_3_pred_718.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,5,H2321_all_pdbs/Model_14037_af3_woUnpaired_woPaired_woTemplates_af3_seed_437915_sample_4_pred_969.cif,Model_14037_af3_woUnpaired_woPaired_woTemplates_af3_seed_437915_sample_4_pred_969.cif,14037,AF3,af3_woUnpaired_woPaired_woTemplates,437915,4,969,woUnpaired_woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_14037_af3_woUnpaired_woPaired_woTemplates_af3_seed_437915_sample_4_pred_969.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,6,H2321_all_pdbs/Model_11196_af3_basic_af3_seed_408768_sample_1_pred_301.cif,Model_11196_af3_basic_af3_seed_408768_sample_1_pred_301.cif,11196,AF3,af3_basic,408768,1,301,basic,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_11196_af3_basic_af3_seed_408768_sample_1_pred_301.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,7,H2321_all_pdbs/Model_6075_afm_dropout_04_woTemplates_model_4_multimer_v1_pred_49.pdb,Model_6075_afm_dropout_04_woTemplates_model_4_multimer_v1_pred_49.pdb,6075,AFM,afm_dropout_04_woTemplates_multimer_v1,,4,49,afm_dropout_04_woTemplates_v1,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_6075_afm_dropout_04_woTemplates_model_4_multimer_v1_pred_49.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,8,H2321_all_pdbs/Model_6834_af3_woUnpaired_woTemplates_af3_seed_554369_sample_3_pred_888.cif,Model_6834_af3_woUnpaired_woTemplates_af3_seed_554369_sample_3_pred_888.cif,6834,AF3,af3_woUnpaired_woTemplates,554369,3,888,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_6834_af3_woUnpaired_woTemplates_af3_seed_554369_sample_3_pred_888.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,9,H2321_all_pdbs/Model_4976_afm_dropout_04_woTemplates_model_2_multimer_v1_pred_9.pdb,Model_4976_afm_dropout_04_woTemplates_model_2_multimer_v1_pred_9.pdb,4976,AFM,afm_dropout_04_woTemplates_multimer_v1,,2,9,afm_dropout_04_woTemplates_v1,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_4976_afm_dropout_04_woTemplates_model_2_multimer_v1_pred_9.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,10,H2321_all_pdbs/Model_2837_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_27.pdb,Model_2837_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_27.pdb,2837,AFM,afm_dropout_noSM_woTemplates_multimer_v3,,1,27,afm_dropout_noSM_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_2837_afm_dropout_noSM_woTemplates_model_1_multimer_v3_pred_27.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,11,H2321_all_pdbs/Model_2026_afm_dropout_full_model_2_multimer_v2_pred_44.pdb,Model_2026_afm_dropout_full_model_2_multimer_v2_pred_44.pdb,2026,AFM,afm_dropout_full_multimer_v2,,2,44,afm_dropout_full_v2,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_2026_afm_dropout_full_model_2_multimer_v2_pred_44.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,12,H2321_all_pdbs/Model_5997_afm_basic_model_2_multimer_v1_pred_41.pdb,Model_5997_afm_basic_model_2_multimer_v1_pred_41.pdb,5997,AFM,afm_basic_multimer_v1,,2,41,afm_basic_v1,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_5997_afm_basic_model_2_multimer_v1_pred_41.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,13,H2321_all_pdbs/Model_6102_af3_woTemplates_af3_seed_60829_sample_0_pred_135.cif,Model_6102_af3_woTemplates_af3_seed_60829_sample_0_pred_135.cif,6102,AF3,af3_woTemplates,60829,0,135,woTemplates,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_6102_af3_woTemplates_af3_seed_60829_sample_0_pred_135.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
8,H2321,H2321_T334,14,H2321_all_pdbs/Model_3667_afm_dropout_04_woTemplates_model_5_multimer_v3_pred_57.pdb,Model_3667_afm_dropout_04_woTemplates_model_5_multimer_v3_pred_57.pdb,3667,AFM,afm_dropout_04_woTemplates_multimer_v3,,5,57,afm_dropout_04_woTemplates_v3,,False,casp17/massivefold_external_pool_intake/h2321_t334/extracted_models/H2321_all_pdbs/Model_3667_afm_dropout_04_woTemplates_model_5_multimer_v3_pred_57.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
