pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
6,R2353,R2353,1,./R2353_all_cifs/Model_6092_af3_woUnpaired_af3_seed_166441_sample_1_pred_341.cif,Model_6092_af3_woUnpaired_af3_seed_166441_sample_1_pred_341.cif,6092,AF3,af3_woUnpaired,166441,1,341,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_6092_af3_woUnpaired_af3_seed_166441_sample_1_pred_341.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,2,./R2353_all_cifs/Model_298_af3_woUnpaired_af3_seed_7796_sample_4_pred_484.cif,Model_298_af3_woUnpaired_af3_seed_7796_sample_4_pred_484.cif,298,AF3,af3_woUnpaired,7796,4,484,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_298_af3_woUnpaired_af3_seed_7796_sample_4_pred_484.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,3,./R2353_all_cifs/Model_3201_af3_basic_af3_seed_114430_sample_4_pred_9.cif,Model_3201_af3_basic_af3_seed_114430_sample_4_pred_9.cif,3201,AF3,af3_basic,114430,4,9,basic,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_3201_af3_basic_af3_seed_114430_sample_4_pred_9.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,4,./R2353_all_cifs/Model_7140_af3_basic_af3_seed_821998_sample_1_pred_816.cif,Model_7140_af3_basic_af3_seed_821998_sample_1_pred_816.cif,7140,AF3,af3_basic,821998,1,816,basic,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7140_af3_basic_af3_seed_821998_sample_1_pred_816.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,5,./R2353_all_cifs/Model_6179_af3_woUnpaired_woTemplates_af3_seed_688772_sample_1_pred_111.cif,Model_6179_af3_woUnpaired_woTemplates_af3_seed_688772_sample_1_pred_111.cif,6179,AF3,af3_woUnpaired_woTemplates,688772,1,111,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_6179_af3_woUnpaired_woTemplates_af3_seed_688772_sample_1_pred_111.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,6,./R2353_all_cifs/Model_7692_af3_woUnpaired_af3_seed_7791_sample_2_pred_457.cif,Model_7692_af3_woUnpaired_af3_seed_7791_sample_2_pred_457.cif,7692,AF3,af3_woUnpaired,7791,2,457,woUnpaired,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7692_af3_woUnpaired_af3_seed_7791_sample_2_pred_457.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,7,./R2353_all_cifs/Model_7478_af3_woUnpaired_woTemplates_af3_seed_517112_sample_2_pred_242.cif,Model_7478_af3_woUnpaired_woTemplates_af3_seed_517112_sample_2_pred_242.cif,7478,AF3,af3_woUnpaired_woTemplates,517112,2,242,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7478_af3_woUnpaired_woTemplates_af3_seed_517112_sample_2_pred_242.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,8,./R2353_all_cifs/Model_5808_af3_woPaired_woTemplates_af3_seed_805613_sample_0_pred_650.cif,Model_5808_af3_woPaired_woTemplates_af3_seed_805613_sample_0_pred_650.cif,5808,AF3,af3_woPaired_woTemplates,805613,0,650,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_5808_af3_woPaired_woTemplates_af3_seed_805613_sample_0_pred_650.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,9,./R2353_all_cifs/Model_7834_af3_woUnpaired_woTemplates_af3_seed_639640_sample_0_pred_820.cif,Model_7834_af3_woUnpaired_woTemplates_af3_seed_639640_sample_0_pred_820.cif,7834,AF3,af3_woUnpaired_woTemplates,639640,0,820,woUnpaired_woTemplates,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_7834_af3_woUnpaired_woTemplates_af3_seed_639640_sample_0_pred_820.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
6,R2353,R2353,10,./R2353_all_cifs/Model_1874_af3_basic_af3_seed_822004_sample_0_pred_845.cif,Model_1874_af3_basic_af3_seed_822004_sample_0_pred_845.cif,1874,AF3,af3_basic,822004,0,845,basic,,False,casp17/massivefold_external_pool_intake/r2353/extracted_models/R2353_all_cifs/Model_1874_af3_basic_af3_seed_822004_sample_0_pred_845.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
