pool_rank,target_id,model_set_id,model_rank,tar_member_path,filename,model_serial,af_engine,af_protocol,seed,sample,pred,rerank_bucket,selection_rank,selected_for_balanced_extract,extract_destination,extraction_status,claim_boundary
4,T2313,T2313_T330,1,T2313_all_pdbs/Model_9634_afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_61.pdb,Model_9634_afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_61.pdb,9634,AFM,afm_dropout_noSM_woTemplates_multimer_v1,,1,61,afm_dropout_noSM_woTemplates_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_9634_afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_61.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,2,T2313_all_pdbs/Model_4332_afm_woTemplates_model_4_multimer_v2_pred_54.pdb,Model_4332_afm_woTemplates_model_4_multimer_v2_pred_54.pdb,4332,AFM,afm_woTemplates_multimer_v2,,4,54,afm_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_4332_afm_woTemplates_model_4_multimer_v2_pred_54.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,3,T2313_all_pdbs/Model_1178_af3_basic_af3_seed_779107_sample_3_pred_338.cif,Model_1178_af3_basic_af3_seed_779107_sample_3_pred_338.cif,1178,AF3,af3_basic,779107,3,338,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1178_af3_basic_af3_seed_779107_sample_3_pred_338.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,4,T2313_all_pdbs/Model_1871_af3_basic_af3_seed_89444_sample_1_pred_761.cif,Model_1871_af3_basic_af3_seed_89444_sample_1_pred_761.cif,1871,AF3,af3_basic,89444,1,761,basic,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_1871_af3_basic_af3_seed_89444_sample_1_pred_761.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,5,T2313_all_pdbs/Model_8365_afm_woTemplates_model_4_multimer_v1_pred_17.pdb,Model_8365_afm_woTemplates_model_4_multimer_v1_pred_17.pdb,8365,AFM,afm_woTemplates_multimer_v1,,4,17,afm_woTemplates_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8365_afm_woTemplates_model_4_multimer_v1_pred_17.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,6,T2313_all_pdbs/Model_5591_af3_woTemplates_af3_seed_641644_sample_0_pred_710.cif,Model_5591_af3_woTemplates_af3_seed_641644_sample_0_pred_710.cif,5591,AF3,af3_woTemplates,641644,0,710,woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_5591_af3_woTemplates_af3_seed_641644_sample_0_pred_710.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,7,T2313_all_pdbs/Model_460_af3_woPaired_af3_seed_423841_sample_3_pred_458.cif,Model_460_af3_woPaired_af3_seed_423841_sample_3_pred_458.cif,460,AF3,af3_woPaired,423841,3,458,woPaired,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_460_af3_woPaired_af3_seed_423841_sample_3_pred_458.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,8,T2313_all_pdbs/Model_8783_afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_19.pdb,Model_8783_afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_19.pdb,8783,AFM,afm_dropout_noSM_woTemplates_multimer_v1,,4,19,afm_dropout_noSM_woTemplates_v1,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_8783_afm_dropout_noSM_woTemplates_model_4_multimer_v1_pred_19.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,9,T2313_all_pdbs/Model_6595_af3_woPaired_woTemplates_af3_seed_45619_sample_4_pred_694.cif,Model_6595_af3_woPaired_woTemplates_af3_seed_45619_sample_4_pred_694.cif,6595,AF3,af3_woPaired_woTemplates,45619,4,694,woPaired_woTemplates,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6595_af3_woPaired_woTemplates_af3_seed_45619_sample_4_pred_694.cif,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
4,T2313,T2313_T330,10,T2313_all_pdbs/Model_13668_afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_58.pdb,Model_13668_afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_58.pdb,13668,AFM,afm_dropout_noSM_woTemplates_multimer_v2,,2,58,afm_dropout_noSM_woTemplates_v2,,False,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_13668_afm_dropout_noSM_woTemplates_model_2_multimer_v2_pred_58.pdb,awaiting_extract,"MassiveFold model pool index only. It parses organizer-provided external model tarball listings and stages balanced extraction/rerank candidates. These models remain external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
