ledger_rank,ledger_status,target_group,target_id,target_family,ledger_decision,freeze_decision,freeze_decision_class,model1_freeze_state,selected_model_filename,selected_model_role,alternate_model_filename,model1_filename,model1_protocol,model1_confidence_score,runner_up_confidence_score,confidence_gap,top5_score_spread,mean_diversity_to_model1_rmsd,max_geometry_outlier_score,max_low_conf_atom_fraction,min_nearest_top5_rmsd,probe_result,probe_margin,source_self_assessment_status,source_self_assessment_md,source_candidate_manifest_csv,source_freeze_decision_md,source_freeze_decision_json,ledger_md,required_followup,ledger_rule_id,blockers,external_only_policy,internal_prediction_policy,submission_policy,claim_boundary
1,ready_external_no_native_model_selection_ledger,rna_hybrid,R2350,,external_model1_selected_conditional,freeze_ready_external_only_conditional,conditional_freeze_ready,freeze_allowed_external_only_conditional,Model_20_af3_woPaired_af3_seed_612441_sample_0_pred_640.cif,model1,,Model_20_af3_woPaired_af3_seed_612441_sample_0_pred_640.cif,woPaired,83.34166,83.31874,0.02292,0.19336,48.47025,1.704,0.02703,25.783,probe_pass_model1_retained,0.64247,ready_external_self_assessment_input,casp17/massivefold_rna_self_assessment/r2350/SELF_ASSESSMENT.md,casp17/massivefold_rna_self_assessment/r2350/self_assessment_candidates.csv,casp17/massivefold_model1_freeze_decisions/01_rna_hybrid_r2350/FREEZE_DECISION.md,casp17/casp17_massivefold_model1_freeze_decision_packet_current.json,casp17/massivefold_model_selection_ledger/01_rna_hybrid_r2350/MODEL_SELECTION_LEDGER.md,carry conditional freeze into external model-selection ledger; no submission without operator approval,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
2,ready_external_no_native_model_selection_ledger,rna_hybrid,R2353,,external_model1_selected_conditional,freeze_ready_external_only_conditional,conditional_freeze_ready,freeze_allowed_external_only_conditional,Model_7_af3_woPaired_af3_seed_634615_sample_2_pred_387.cif,model1,,Model_7_af3_woPaired_af3_seed_634615_sample_2_pred_387.cif,woPaired,80.52762,80.43482,0.0928,0.41312,53.534,3.41,0.04459,23.011,probe_pass_model1_retained,0.78355,ready_external_self_assessment_input,casp17/massivefold_rna_self_assessment/r2353/SELF_ASSESSMENT.md,casp17/massivefold_rna_self_assessment/r2353/self_assessment_candidates.csv,casp17/massivefold_model1_freeze_decisions/02_rna_hybrid_r2353/FREEZE_DECISION.md,casp17/casp17_massivefold_model1_freeze_decision_packet_current.json,casp17/massivefold_model_selection_ledger/02_rna_hybrid_r2353/MODEL_SELECTION_LEDGER.md,carry conditional freeze into external model-selection ledger; no submission without operator approval,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
3,ready_external_no_native_model_selection_ledger,protein_complex,H2312,heteromer_or_immune_complex,external_model1_selected_watch,freeze_ready_external_only_watch,watch_freeze_ready,freeze_allowed_external_only_watch,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,model1,,Model_7550_afm_basic_model_5_multimer_v1_pred_11.pdb,afm_basic_v1,101.58484,101.50354,0.0813,1.18232,18.18725,3.127,0.00739,2.787,probe_pass_model1_retained,0.10755,ready_external_complex_self_assessment_input,casp17/protein_complex_massivefold_self_assessment/h2312/SELF_ASSESSMENT.md,casp17/protein_complex_massivefold_self_assessment/h2312/self_assessment_candidates.csv,casp17/massivefold_model1_freeze_decisions/03_protein_complex_h2312/FREEZE_DECISION.md,casp17/casp17_massivefold_model1_freeze_decision_packet_current.json,casp17/massivefold_model_selection_ledger/03_protein_complex_h2312/MODEL_SELECTION_LEDGER.md,carry watch freeze into external model-selection ledger and retain final review flag,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
4,ready_external_no_native_model_selection_ledger,rna_hybrid,R2352,,external_model1_blocked_manual_review,freeze_blocked_manual_review,manual_review_blocked,freeze_blocked_external_only,,,Model_7_af3_woPaired_woTemplates_af3_seed_26386_sample_2_pred_237.cif,Model_15_af3_woUnpaired_af3_seed_20656_sample_1_pred_611.cif,woUnpaired,82.69558,82.62466,0.07092,0.14128,29.4805,2.326,0.02654,11.101,probe_fail_model1_displaced,-0.23587,ready_external_self_assessment_input,casp17/massivefold_rna_self_assessment/r2352/SELF_ASSESSMENT.md,casp17/massivefold_rna_self_assessment/r2352/self_assessment_candidates.csv,casp17/massivefold_model1_freeze_decisions/04_rna_hybrid_r2352/FREEZE_DECISION.md,casp17/casp17_massivefold_model1_freeze_decision_packet_current.json,casp17/massivefold_model_selection_ledger/04_rna_hybrid_r2352/MODEL_SELECTION_LEDGER.md,manual review alternate top candidate before any freeze or submission formatting,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
5,ready_external_no_native_model_selection_ledger,protein_complex,H1311,heteromer_or_immune_complex,external_model1_review_only_unfrozen,not_probe_gated,review_only_unfrozen,model1_unfrozen_external_review_only,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,model1_review_only,,Model_5_afm_basic_model_4_multimer_v3_pred_5.pdb,afm_basic_v3,104.19842,103.86712,0.3313,2.55002,31.10125,3.597,0.01527,2.431,,,ready_external_complex_self_assessment_input,casp17/protein_complex_massivefold_self_assessment/h1311/SELF_ASSESSMENT.md,casp17/protein_complex_massivefold_self_assessment/h1311/self_assessment_candidates.csv,,,casp17/massivefold_model_selection_ledger/05_protein_complex_h1311/MODEL_SELECTION_LEDGER.md,keep as external review-only model1 until a probe/freeze gate is required,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
6,ready_external_no_native_model_selection_ledger,protein_complex,H2319,heteromer_or_immune_complex,external_model1_review_only_unfrozen,not_probe_gated,review_only_unfrozen,model1_unfrozen_external_review_only,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,model1_review_only,,Model_1_afm_basic_model_4_multimer_v3_pred_25.pdb,afm_basic_v3,105.48786,104.92274,0.56512,4.04092,43.949,2.569,0.01341,23.482,,,ready_external_complex_self_assessment_input,casp17/protein_complex_massivefold_self_assessment/h2319/SELF_ASSESSMENT.md,casp17/protein_complex_massivefold_self_assessment/h2319/self_assessment_candidates.csv,,,casp17/massivefold_model_selection_ledger/06_protein_complex_h2319/MODEL_SELECTION_LEDGER.md,keep as external review-only model1 until a probe/freeze gate is required,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
7,ready_external_no_native_model_selection_ledger,protein_complex,H2321,heteromer_or_immune_complex,external_model1_review_only_unfrozen,not_probe_gated,review_only_unfrozen,model1_unfrozen_external_review_only,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,model1_review_only,,Model_3_afm_dropout_full_model_2_multimer_v3_pred_48.pdb,afm_dropout_full_v3,102.10998,101.4412,0.66878,3.56518,39.6285,3.608,0.01623,30.788,,,ready_external_complex_self_assessment_input,casp17/protein_complex_massivefold_self_assessment/h2321/SELF_ASSESSMENT.md,casp17/protein_complex_massivefold_self_assessment/h2321/self_assessment_candidates.csv,,,casp17/massivefold_model_selection_ledger/07_protein_complex_h2321/MODEL_SELECTION_LEDGER.md,keep as external review-only model1 until a probe/freeze gate is required,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
8,ready_external_no_native_model_selection_ledger,protein_complex,H2324,heteromer_or_immune_complex,external_model1_review_only_unfrozen,not_probe_gated,review_only_unfrozen,model1_unfrozen_external_review_only,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,model1_review_only,,Model_4760_afm_basic_model_5_multimer_v1_pred_26.pdb,afm_basic_v1,99.93822,99.7622,0.17602,0.57566,57.6945,1.66,0.03683,33.417,,,ready_external_complex_self_assessment_input,casp17/protein_complex_massivefold_self_assessment/h2324/SELF_ASSESSMENT.md,casp17/protein_complex_massivefold_self_assessment/h2324/self_assessment_candidates.csv,,,casp17/massivefold_model_selection_ledger/08_protein_complex_h2324/MODEL_SELECTION_LEDGER.md,keep as external review-only model1 until a probe/freeze gate is required,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
9,ready_external_no_native_model_selection_ledger,protein_complex,H2335,heteromer_or_immune_complex,external_model1_review_only_unfrozen,not_probe_gated,review_only_unfrozen,model1_unfrozen_external_review_only,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,model1_review_only,,Model_7830_afm_basic_model_5_multimer_v1_pred_39.pdb,afm_basic_v1,94.11582,93.0008,1.11502,1.6303,57.9835,6.857,0.07161,21.59,,,ready_external_complex_self_assessment_input,casp17/protein_complex_massivefold_self_assessment/h2335/SELF_ASSESSMENT.md,casp17/protein_complex_massivefold_self_assessment/h2335/self_assessment_candidates.csv,,,casp17/massivefold_model_selection_ledger/09_protein_complex_h2335/MODEL_SELECTION_LEDGER.md,keep as external review-only model1 until a probe/freeze gate is required,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
10,ready_external_no_native_model_selection_ledger,protein_complex,H2338,heteromer_or_immune_complex,external_model1_review_only_unfrozen,not_probe_gated,review_only_unfrozen,model1_unfrozen_external_review_only,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,model1_review_only,,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,afm_dropout_full_v3,103.87838,103.42614,0.45224,1.77912,47.523,9.003,0.01094,15.056,,,ready_external_complex_self_assessment_input,casp17/protein_complex_massivefold_self_assessment/h2338/SELF_ASSESSMENT.md,casp17/protein_complex_massivefold_self_assessment/h2338/self_assessment_candidates.csv,,,casp17/massivefold_model_selection_ledger/10_protein_complex_h2338/MODEL_SELECTION_LEDGER.md,keep as external review-only model1 until a probe/freeze gate is required,no_native_massivefold_model_selection_ledger_v1,,external_no_native_model_selection_ledger_only,do_not_mark_as_internal_prediction,do_not_submit_without_rule_check_and_operator_approval,"CASP17 MassiveFold model-selection ledger only. It records external no-native model1/top5 selection state for accuracy-estimation workflow. It is not native accuracy, internal prediction proof, or CASP submission evidence."
