quality_rank,target_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,confidence_score,mean_b_iso,median_b_iso,min_b_iso,low_conf_atom_fraction,high_conf_atom_fraction,geometry_outlier_score,radius_of_gyration,bbox_diagonal,centroid_spread,diversity_to_model1_rmsd,nearest_top5_rmsd,top5_selection_rank,model1_candidate,top5_candidate,model_selection_status,model_cif_path,viewer_html_path,projection_svg_path,model_review_md_path,rerank_model_folder,blockers,claim_boundary
1,R2341,31,2,Model_2_af3_basic_af3_seed_672131_sample_4_pred_869.cif,basic,672131,4,869,53.0992,58.122,54.005,24.64,0.39277,0.29232,2.265,34.626,158.525,1.218,0.0,45.043,1,True,True,model1_candidate,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/model.cif,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_031_basic_model_2/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2341/top5/rank_01_selection_031_basic,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
2,R2341,1,1,Model_1_af3_woUnpaired_woPaired_woTemplates_af3_seed_210550_sample_3_pred_718.cif,woUnpaired_woPaired_woTemplates,210550,3,718,52.99014,58.251,53.315,25.72,0.40281,0.29181,3.069,34.345,138.315,1.111,53.513,34.667,2,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2341/selection_001_woUnpaired_woPaired_woTemplates_model_1/model.cif,casp17/massivefold_representative_viewers/r2341/selection_001_woUnpaired_woPaired_woTemplates_model_1/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_001_woUnpaired_woPaired_woTemplates_model_1/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_001_woUnpaired_woPaired_woTemplates_model_1/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2341/top5/rank_02_selection_001_woUnpaired_woPaired_woTemplates,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
3,R2341,12,6,Model_6_af3_woUnpaired_woPaired_woTemplates_af3_seed_145612_sample_3_pred_168.cif,woUnpaired_woPaired_woTemplates,145612,3,168,52.5882,57.542,53.925,25.35,0.3895,0.2898,1.545,34.541,143.628,0.557,45.684,22.005,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2341/selection_012_woUnpaired_woPaired_woTemplates_model_6/model.cif,casp17/massivefold_representative_viewers/r2341/selection_012_woUnpaired_woPaired_woTemplates_model_6/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_012_woUnpaired_woPaired_woTemplates_model_6/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_012_woUnpaired_woPaired_woTemplates_model_6/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
4,R2341,28,32,Model_32_af3_woPaired_woTemplates_af3_seed_446958_sample_2_pred_942.cif,woPaired_woTemplates,446958,2,942,52.36314,58.005,52.85,27.82,0.41487,0.29633,7.694,37.173,170.053,1.346,45.043,34.667,3,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2341/selection_028_woPaired_woTemplates_model_32/model.cif,casp17/massivefold_representative_viewers/r2341/selection_028_woPaired_woTemplates_model_32/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_028_woPaired_woTemplates_model_32/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_028_woPaired_woTemplates_model_32/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2341/top5/rank_03_selection_028_woPaired_woTemplates,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
5,R2341,29,9,Model_9_af3_woUnpaired_woTemplates_af3_seed_120091_sample_0_pred_340.cif,woUnpaired_woTemplates,120091,0,340,52.26184,57.787,53.78,24.58,0.40784,0.2898,6.659,35.501,172.601,1.924,59.359,24.18,4,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2341/selection_029_woUnpaired_woTemplates_model_9/model.cif,casp17/massivefold_representative_viewers/r2341/selection_029_woUnpaired_woTemplates_model_9/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_029_woUnpaired_woTemplates_model_9/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_029_woUnpaired_woTemplates_model_9/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2341/top5/rank_04_selection_029_woUnpaired_woTemplates,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
6,R2341,21,7,Model_7_af3_woUnpaired_af3_seed_914475_sample_4_pred_209.cif,woUnpaired,914475,4,209,52.02568,57.608,53.06,24.47,0.42441,0.29432,0.933,34.315,152.249,0.345,55.231,24.18,5,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2341/selection_021_woUnpaired_model_7/model.cif,casp17/massivefold_representative_viewers/r2341/selection_021_woUnpaired_model_7/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_021_woUnpaired_model_7/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_021_woUnpaired_model_7/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2341/top5/rank_05_selection_021_woUnpaired,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
7,R2341,10,14,Model_14_af3_basic_af3_seed_133072_sample_3_pred_298.cif,basic,133072,3,298,51.98862,57.525,53.33,24.2,0.41688,0.28629,1.542,33.708,146.97,1.781,47.653,47.653,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2341/selection_010_basic_model_14/model.cif,casp17/massivefold_representative_viewers/r2341/selection_010_basic_model_14/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_010_basic_model_14/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_010_basic_model_14/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
8,R2341,37,20,Model_20_af3_woUnpaired_woPaired_woTemplates_af3_seed_901255_sample_4_pred_479.cif,woUnpaired_woPaired_woTemplates,901255,4,479,51.97552,57.602,53.0,24.4,0.42441,0.2898,0.907,34.727,146.539,2.409,16.798,16.798,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2341/selection_037_woUnpaired_woPaired_woTemplates_model_20/model.cif,casp17/massivefold_representative_viewers/r2341/selection_037_woUnpaired_woPaired_woTemplates_model_20/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_037_woUnpaired_woPaired_woTemplates_model_20/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_037_woUnpaired_woPaired_woTemplates_model_20/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
9,R2341,27,8,Model_8_af3_woUnpaired_woPaired_af3_seed_788922_sample_4_pred_374.cif,woUnpaired_woPaired,788922,4,374,51.94934,57.475,53.17,25.28,0.41763,0.29307,2.594,34.461,139.75,1.4,57.125,41.795,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2341/selection_027_woUnpaired_woPaired_model_8/model.cif,casp17/massivefold_representative_viewers/r2341/selection_027_woUnpaired_woPaired_model_8/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_027_woUnpaired_woPaired_model_8/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_027_woUnpaired_woPaired_model_8/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
10,R2341,39,22,Model_22_af3_woTemplates_af3_seed_222176_sample_1_pred_616.cif,woTemplates,222176,1,616,51.88318,57.662,52.26,25.82,0.43194,0.29859,3.148,36.61,154.124,2.062,64.517,43.143,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2341/selection_039_woTemplates_model_22/model.cif,casp17/massivefold_representative_viewers/r2341/selection_039_woTemplates_model_22/viewer.html,casp17/massivefold_representative_viewers/r2341/selection_039_woTemplates_model_22/projection.svg,casp17/massivefold_representative_viewers/r2341/selection_039_woTemplates_model_22/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
