quality_rank,target_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,confidence_score,mean_b_iso,median_b_iso,min_b_iso,low_conf_atom_fraction,high_conf_atom_fraction,geometry_outlier_score,radius_of_gyration,bbox_diagonal,centroid_spread,diversity_to_model1_rmsd,nearest_top5_rmsd,top5_selection_rank,model1_candidate,top5_candidate,model_selection_status,model_cif_path,viewer_html_path,projection_svg_path,model_review_md_path,rerank_model_folder,blockers,claim_boundary
1,H2338,29,2,Model_2_afm_dropout_full_model_4_multimer_v3_pred_64.pdb,afm_dropout_full_v3,0,4,64,103.87838,94.298,96.77,38.91,0.00541,0.97147,0.653,44.515,193.062,2.791,0.0,15.056,1,True,True,model1_candidate,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/model.cif,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_029_afm_dropout_full_v3_model_2/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2338/top5/rank_01_selection_029_afm_dropout_full_v3,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
2,H2338,73,3,Model_3_afm_dropout_full_model_4_multimer_v3_pred_16.pdb,afm_dropout_full_v3,0,4,16,103.66538,94.114,96.74,33.93,0.00652,0.97209,0.978,44.557,194.192,2.352,36.879,2.569,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_073_afm_dropout_full_v3_model_3/model.cif,casp17/massivefold_representative_viewers/h2338/selection_073_afm_dropout_full_v3_model_3/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_073_afm_dropout_full_v3_model_3/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_073_afm_dropout_full_v3_model_3/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
3,H2338,96,4,Model_4_afm_basic_model_4_multimer_v3_pred_63.pdb,afm_basic_v3,0,4,63,103.42614,93.922,96.62,35.37,0.00934,0.97233,0.809,44.554,193.528,2.386,37.009,35.093,2,False,True,top5_candidate,casp17/massivefold_representative_viewers/h2338/selection_096_afm_basic_v3_model_4/model.cif,casp17/massivefold_representative_viewers/h2338/selection_096_afm_basic_v3_model_4/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_096_afm_basic_v3_model_4/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_096_afm_basic_v3_model_4/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/h2338/top5/rank_02_selection_096_afm_basic_v3,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
4,H2338,34,5,Model_5_afm_basic_model_4_multimer_v3_pred_25.pdb,afm_basic_v3,0,4,25,103.4214,93.93,96.59,34.02,0.01021,0.9727,0.785,44.615,193.191,2.592,36.903,1.064,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_034_afm_basic_v3_model_5/model.cif,casp17/massivefold_representative_viewers/h2338/selection_034_afm_basic_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_034_afm_basic_v3_model_5/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_034_afm_basic_v3_model_5/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
5,H2338,74,7,Model_7_afm_basic_model_4_multimer_v3_pred_3.pdb,afm_basic_v3,0,4,3,103.4118,93.9,96.74,31.64,0.00848,0.97098,0.71,44.527,193.243,2.227,37.058,0.401,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_074_afm_basic_v3_model_7/model.cif,casp17/massivefold_representative_viewers/h2338/selection_074_afm_basic_v3_model_7/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_074_afm_basic_v3_model_7/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_074_afm_basic_v3_model_7/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
6,H2338,116,6,Model_6_afm_basic_model_4_multimer_v3_pred_45.pdb,afm_basic_v3,0,4,45,103.29636,93.785,96.55,29.72,0.00848,0.97024,0.536,44.497,192.666,2.23,37.003,0.722,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_116_afm_basic_v3_model_6/model.cif,casp17/massivefold_representative_viewers/h2338/selection_116_afm_basic_v3_model_6/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_116_afm_basic_v3_model_6/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_116_afm_basic_v3_model_6/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
7,H2338,130,10,Model_10_afm_dropout_full_model_4_multimer_v3_pred_51.pdb,afm_dropout_full_v3,0,4,51,103.27318,93.778,96.38,36.23,0.00934,0.97049,0.573,44.53,192.682,2.563,36.888,1.466,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_130_afm_dropout_full_v3_model_10/model.cif,casp17/massivefold_representative_viewers/h2338/selection_130_afm_dropout_full_v3_model_10/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_130_afm_dropout_full_v3_model_10/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_130_afm_dropout_full_v3_model_10/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
8,H2338,47,13,Model_13_afm_dropout_full_model_4_multimer_v3_pred_65.pdb,afm_dropout_full_v3,0,4,65,103.26866,93.757,96.49,38.72,0.00824,0.97111,0.866,44.575,193.675,1.682,36.927,1.211,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_047_afm_dropout_full_v3_model_13/model.cif,casp17/massivefold_representative_viewers/h2338/selection_047_afm_dropout_full_v3_model_13/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_047_afm_dropout_full_v3_model_13/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_047_afm_dropout_full_v3_model_13/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
9,H2338,58,12,Model_12_afm_dropout_full_model_4_multimer_v3_pred_35.pdb,afm_dropout_full_v3,0,4,35,103.25922,93.733,96.35,34.97,0.00848,0.97209,0.627,44.508,192.984,2.359,36.918,1.639,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_058_afm_dropout_full_v3_model_12/model.cif,casp17/massivefold_representative_viewers/h2338/selection_058_afm_dropout_full_v3_model_12/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_058_afm_dropout_full_v3_model_12/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_058_afm_dropout_full_v3_model_12/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
10,H2338,99,8,Model_8_afm_basic_model_4_multimer_v3_pred_57.pdb,afm_basic_v3,0,4,57,103.2522,93.778,96.57,27.22,0.01131,0.9727,0.665,44.481,193.119,1.933,37.019,0.822,0,False,False,review_candidate,casp17/massivefold_representative_viewers/h2338/selection_099_afm_basic_v3_model_8/model.cif,casp17/massivefold_representative_viewers/h2338/selection_099_afm_basic_v3_model_8/viewer.html,casp17/massivefold_representative_viewers/h2338/selection_099_afm_basic_v3_model_8/projection.svg,casp17/massivefold_representative_viewers/h2338/selection_099_afm_basic_v3_model_8/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
