quality_rank,target_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,confidence_score,mean_b_iso,median_b_iso,min_b_iso,low_conf_atom_fraction,high_conf_atom_fraction,geometry_outlier_score,radius_of_gyration,bbox_diagonal,centroid_spread,diversity_to_model1_rmsd,nearest_top5_rmsd,top5_selection_rank,model1_candidate,top5_candidate,model_selection_status,model_cif_path,viewer_html_path,projection_svg_path,model_review_md_path,rerank_model_folder,blockers,claim_boundary
1,R2350,20,20,Model_20_af3_woPaired_af3_seed_612441_sample_0_pred_640.cif,woPaired,612441,0,640,83.34166,75.742,77.29,37.6,0.02619,0.81441,0.516,37.09,178.734,2.018,0.0,44.474,1,True,True,model1_candidate,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/model.cif,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_020_woPaired_model_20/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2350/top5/rank_01_selection_020_woPaired,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
2,R2350,18,5,Model_5_af3_woUnpaired_woTemplates_af3_seed_100687_sample_3_pred_398.cif,woUnpaired_woTemplates,100687,3,398,83.31874,75.799,77.58,37.17,0.02703,0.81285,1.704,37.509,174.465,0.879,45.595,40.709,2,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2350/selection_018_woUnpaired_woTemplates_model_5/model.cif,casp17/massivefold_representative_viewers/r2350/selection_018_woUnpaired_woTemplates_model_5/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_018_woUnpaired_woTemplates_model_5/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_018_woUnpaired_woTemplates_model_5/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2350/top5/rank_02_selection_018_woUnpaired_woTemplates,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
3,R2350,37,1,Model_1_af3_woUnpaired_woPaired_woTemplates_af3_seed_811587_sample_2_pred_367.cif,woUnpaired_woPaired_woTemplates,811587,2,367,83.20776,75.747,77.62,37.55,0.02498,0.79916,0.781,37.201,183.175,1.389,44.474,25.783,3,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2350/selection_037_woUnpaired_woPaired_woTemplates_model_1/model.cif,casp17/massivefold_representative_viewers/r2350/selection_037_woUnpaired_woPaired_woTemplates_model_1/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_037_woUnpaired_woPaired_woTemplates_model_1/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_037_woUnpaired_woPaired_woTemplates_model_1/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2350/top5/rank_03_selection_037_woUnpaired_woPaired_woTemplates,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
4,R2350,4,13,Model_13_af3_woUnpaired_woPaired_af3_seed_94539_sample_0_pred_25.cif,woUnpaired_woPaired,94539,0,25,83.16338,75.621,77.27,38.08,0.02402,0.80541,0.783,37.018,177.952,1.106,47.055,25.783,4,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/model.cif,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2350/top5/rank_04_selection_004_woUnpaired_woPaired,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
5,R2350,8,2,Model_2_af3_woUnpaired_af3_seed_160939_sample_4_pred_359.cif,woUnpaired,160939,4,359,83.1483,75.633,77.48,36.37,0.02523,0.80841,1.605,37.289,186.421,1.566,56.757,52.717,5,False,True,top5_candidate,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/model.cif,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/r2350/top5/rank_05_selection_008_woUnpaired,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
6,R2350,28,25,Model_25_af3_woPaired_af3_seed_586635_sample_3_pred_423.cif,woPaired,586635,3,423,83.07886,75.519,77.24,36.2,0.02426,0.80661,0.526,37.294,182.087,1.606,16.158,16.158,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_028_woPaired_model_25/model.cif,casp17/massivefold_representative_viewers/r2350/selection_028_woPaired_model_25/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_028_woPaired_model_25/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_028_woPaired_model_25/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
7,R2350,31,14,Model_14_af3_woUnpaired_woPaired_af3_seed_36769_sample_0_pred_235.cif,woUnpaired_woPaired,36769,0,235,82.95286,75.523,77.27,33.82,0.02883,0.80829,1.911,37.106,187.312,1.677,43.76,43.76,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_031_woUnpaired_woPaired_model_14/model.cif,casp17/massivefold_representative_viewers/r2350/selection_031_woUnpaired_woPaired_model_14/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_031_woUnpaired_woPaired_model_14/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_031_woUnpaired_woPaired_model_14/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
8,R2350,36,17,Model_17_af3_woUnpaired_woPaired_woTemplates_af3_seed_407956_sample_2_pred_812.cif,woUnpaired_woPaired_woTemplates,407956,2,812,82.95152,75.53,77.14,38.65,0.02306,0.79628,2.002,37.579,186.848,3.073,54.702,26.679,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_036_woUnpaired_woPaired_woTemplates_model_17/model.cif,casp17/massivefold_representative_viewers/r2350/selection_036_woUnpaired_woPaired_woTemplates_model_17/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_036_woUnpaired_woPaired_woTemplates_model_17/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_036_woUnpaired_woPaired_woTemplates_model_17/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
9,R2350,6,39,Model_39_af3_woTemplates_af3_seed_702342_sample_1_pred_936.cif,woTemplates,702342,1,936,82.93448,75.491,77.07,37.17,0.02162,0.79616,2.143,37.224,171.69,1.226,47.941,44.609,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/model.cif,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
10,R2350,25,9,Model_9_af3_woPaired_woTemplates_af3_seed_742034_sample_2_pred_817.cif,woPaired_woTemplates,742034,2,817,82.9288,75.486,77.08,36.08,0.0245,0.80156,2.07,37.341,172.331,1.485,62.758,56.216,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_025_woPaired_woTemplates_model_9/model.cif,casp17/massivefold_representative_viewers/r2350/selection_025_woPaired_woTemplates_model_9/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_025_woPaired_woTemplates_model_9/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_025_woPaired_woTemplates_model_9/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
11,R2350,33,32,Model_32_af3_woUnpaired_woPaired_woTemplates_af3_seed_18995_sample_3_pred_418.cif,woUnpaired_woPaired_woTemplates,18995,3,418,82.91636,75.514,77.03,36.45,0.02523,0.79844,1.936,37.328,187.591,1.726,47.369,22.129,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_033_woUnpaired_woPaired_woTemplates_model_32/model.cif,casp17/massivefold_representative_viewers/r2350/selection_033_woUnpaired_woPaired_woTemplates_model_32/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_033_woUnpaired_woPaired_woTemplates_model_32/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_033_woUnpaired_woPaired_woTemplates_model_32/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
12,R2350,11,21,Model_21_af3_woPaired_af3_seed_304639_sample_4_pred_939.cif,woPaired,304639,4,939,82.88746,75.399,76.73,39.45,0.02078,0.79243,0.506,36.994,181.244,2.031,64.423,38.967,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_011_woPaired_model_21/model.cif,casp17/massivefold_representative_viewers/r2350/selection_011_woPaired_model_21/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_011_woPaired_model_21/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_011_woPaired_model_21/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
13,R2350,10,8,Model_8_af3_basic_af3_seed_823777_sample_1_pred_246.cif,basic,823777,1,246,82.84864,75.419,77.2,36.53,0.02498,0.79508,0.539,37.1,178.603,1.535,41.273,21.275,0,False,False,review_candidate,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/model.cif,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
