quality_rank,target_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,confidence_score,mean_b_iso,median_b_iso,min_b_iso,low_conf_atom_fraction,high_conf_atom_fraction,geometry_outlier_score,radius_of_gyration,bbox_diagonal,centroid_spread,diversity_to_model1_rmsd,nearest_top5_rmsd,top5_selection_rank,model1_candidate,top5_candidate,model_selection_status,model_cif_path,viewer_html_path,projection_svg_path,model_review_md_path,rerank_model_folder,blockers,claim_boundary
1,T2313,85,5,Model_5_afm_woTemplates_model_4_multimer_v3_pred_28.pdb,afm_woTemplates_v3,0,4,28,83.5072,78.548,86.02,27.15,0.13562,0.7766,2.36,41.202,189.829,1.455,0.0,51.518,1,True,True,model1_candidate,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/model.cif,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_085_afm_woTemplates_v3_model_5/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/t2313/top5/rank_01_selection_085_afm_woTemplates_v3,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
2,T2313,125,10,Model_10_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_11.pdb,afm_dropout_noSM_woTemplates_v3,0,5,11,80.93886,76.493,84.82,21.54,0.14552,0.74663,2.751,41.063,196.182,1.53,52.165,17.703,2,False,True,top5_candidate,casp17/massivefold_representative_viewers/t2313/selection_125_afm_dropout_noSM_woTemplates_v3_model_10/model.cif,casp17/massivefold_representative_viewers/t2313/selection_125_afm_dropout_noSM_woTemplates_v3_model_10/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_125_afm_dropout_noSM_woTemplates_v3_model_10/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_125_afm_dropout_noSM_woTemplates_v3_model_10/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/t2313/top5/rank_02_selection_125_afm_dropout_noSM_woTemplates_v3,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
3,T2313,1,14,Model_14_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_14.pdb,afm_dropout_noSM_woTemplates_v3,0,4,14,79.4213,75.495,84.16,23.77,0.15459,0.70959,1.945,40.922,190.37,2.26,13.217,13.217,0,False,False,review_candidate,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/model.cif,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
4,T2313,7,2,Model_2_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_25.pdb,afm_dropout_noSM_woTemplates_v3,0,4,25,79.21148,75.557,83.75,24.63,0.16677,0.71526,4.068,41.181,200.977,1.58,52.114,7.537,0,False,False,review_candidate,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/model.cif,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
5,T2313,50,63,Model_63_af3_basic_af3_seed_704032_sample_0_pred_520.cif,basic,704032,0,520,78.90796,74.067,78.54,26.9,0.09953,0.69408,2.731,39.362,181.055,1.97,59.443,53.463,3,False,True,top5_candidate,casp17/massivefold_representative_viewers/t2313/selection_050_basic_model_63/model.cif,casp17/massivefold_representative_viewers/t2313/selection_050_basic_model_63/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_050_basic_model_63/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_050_basic_model_63/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/t2313/top5/rank_03_selection_050_basic,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
6,T2313,58,65,Model_65_af3_basic_af3_seed_779099_sample_1_pred_296.cif,basic,779099,1,296,78.75472,73.907,78.165,26.14,0.09462,0.67906,1.262,39.188,187.629,1.375,61.716,58.719,0,False,False,review_candidate,casp17/massivefold_representative_viewers/t2313/selection_058_basic_model_65/model.cif,casp17/massivefold_representative_viewers/t2313/selection_058_basic_model_65/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_058_basic_model_65/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_058_basic_model_65/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
7,T2313,122,64,Model_64_af3_basic_af3_seed_704032_sample_1_pred_521.cif,basic,704032,1,521,78.64752,73.943,78.48,26.9,0.10534,0.69096,2.457,39.551,182.838,1.326,67.848,47.369,0,False,False,review_candidate,casp17/massivefold_representative_viewers/t2313/selection_122_basic_model_64/model.cif,casp17/massivefold_representative_viewers/t2313/selection_122_basic_model_64/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_122_basic_model_64/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_122_basic_model_64/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
8,T2313,16,66,Model_66_af3_basic_af3_seed_779099_sample_3_pred_298.cif,basic,779099,3,298,78.6021,73.802,78.06,26.88,0.09496,0.67525,1.33,39.463,186.992,2.571,62.849,59.045,0,False,False,review_candidate,casp17/massivefold_representative_viewers/t2313/selection_016_basic_model_66/model.cif,casp17/massivefold_representative_viewers/t2313/selection_016_basic_model_66/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_016_basic_model_66/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_016_basic_model_66/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
9,T2313,51,69,Model_69_af3_woPaired_af3_seed_880568_sample_2_pred_47.cif,woPaired,880568,2,47,78.39748,73.748,78.12,26.24,0.10057,0.67594,2.463,39.33,182.256,1.411,51.518,33.97,4,False,True,top5_candidate,casp17/massivefold_representative_viewers/t2313/selection_051_woPaired_model_69/model.cif,casp17/massivefold_representative_viewers/t2313/selection_051_woPaired_model_69/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_051_woPaired_model_69/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_051_woPaired_model_69/MODEL_REVIEW.md,casp17/massivefold_representative_rerank/t2313/top5/rank_04_selection_051_woPaired,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
10,T2313,9,68,Model_68_af3_woPaired_af3_seed_880568_sample_1_pred_46.cif,woPaired,880568,1,46,78.29094,73.6,77.905,25.59,0.10084,0.67255,0.444,39.152,191.046,1.684,51.036,44.948,0,False,False,review_candidate,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/model.cif,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/MODEL_REVIEW.md,,,"CASP17 MassiveFold representative rerank packet only. It ranks organizer-provided external representatives using confidence, geometry, and diversity proxies for review-only model selection. It does not use a native structure, does not prove CASP accuracy, does not create internal predictions, and does not submit models."
