target_id,model_set_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,model_viewer_status,object_folder,model_cif_source_path,model_cif_path,projection_svg_path,viewer_html_path,model_review_md_path,source_model_row_csv_path,coordinate_status,atom_count,display_atom_count,residue_count,chain_count,mean_b_iso,bbox_x,bbox_y,bbox_z,bbox_diagonal,centroid_x,centroid_y,centroid_z,radius_of_gyration,blockers,claim_boundary
H2319,H2319_T333,1,2,Model_2_afm_dropout_full_model_4_multimer_v3_pred_65.pdb,afm_dropout_full_v3,0,4,65,pass,casp17/massivefold_representative_viewers/h2319/selection_001_afm_dropout_full_v3_model_2,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_2_afm_dropout_full_model_4_multimer_v3_pred_65.pdb,casp17/massivefold_representative_viewers/h2319/selection_001_afm_dropout_full_v3_model_2/model.cif,casp17/massivefold_representative_viewers/h2319/selection_001_afm_dropout_full_v3_model_2/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_001_afm_dropout_full_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_001_afm_dropout_full_v3_model_2/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_001_afm_dropout_full_v3_model_2/source_model_row.csv,valid,7754,900,994,6,95.046,76.026,124.799,81.085,167.121,-1.419,-0.775,0.656,34.774,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,2,939,Model_939_afm_woTemplates_model_1_multimer_v3_pred_47.pdb,afm_woTemplates_v3,0,1,47,pass,casp17/massivefold_representative_viewers/h2319/selection_002_afm_woTemplates_v3_model_939,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_939_afm_woTemplates_model_1_multimer_v3_pred_47.pdb,casp17/massivefold_representative_viewers/h2319/selection_002_afm_woTemplates_v3_model_939/model.cif,casp17/massivefold_representative_viewers/h2319/selection_002_afm_woTemplates_v3_model_939/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_002_afm_woTemplates_v3_model_939/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_002_afm_woTemplates_v3_model_939/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_002_afm_woTemplates_v3_model_939/source_model_row.csv,valid,7754,900,994,6,87.206,63.483,120.158,93.441,164.922,1.277,0.581,0.098,33.35,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,3,12198,Model_12198_af3_woUnpaired_woPaired_woTemplates_af3_seed_456161_sample_4_pred_824.cif,woUnpaired_woPaired_woTemplates,456161,4,824,pass,casp17/massivefold_representative_viewers/h2319/selection_003_woUnpaired_woPaired_woTemplates_model_12198,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_12198_af3_woUnpaired_woPaired_woTemplates_af3_seed_456161_sample_4_pred_824.cif,casp17/massivefold_representative_viewers/h2319/selection_003_woUnpaired_woPaired_woTemplates_model_12198/model.cif,casp17/massivefold_representative_viewers/h2319/selection_003_woUnpaired_woPaired_woTemplates_model_12198/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_003_woUnpaired_woPaired_woTemplates_model_12198/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_003_woUnpaired_woPaired_woTemplates_model_12198/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_003_woUnpaired_woPaired_woTemplates_model_12198/source_model_row.csv,valid,7760,900,994,6,50.048,81.759,106.148,72.798,152.484,2.189,0.006,0.084,34.313,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,4,2486,Model_2486_af3_woPaired_af3_seed_902830_sample_0_pred_100.cif,woPaired,902830,0,100,pass,casp17/massivefold_representative_viewers/h2319/selection_004_woPaired_model_2486,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_2486_af3_woPaired_af3_seed_902830_sample_0_pred_100.cif,casp17/massivefold_representative_viewers/h2319/selection_004_woPaired_model_2486/model.cif,casp17/massivefold_representative_viewers/h2319/selection_004_woPaired_model_2486/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_004_woPaired_model_2486/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_004_woPaired_model_2486/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_004_woPaired_model_2486/source_model_row.csv,valid,7760,900,994,6,72.124,108.261,116.843,79.752,178.138,0.44,-0.031,0.22,40.071,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,5,15,Model_15_afm_dropout_full_model_4_multimer_v2_pred_40.pdb,afm_dropout_full_v2,0,4,40,pass,casp17/massivefold_representative_viewers/h2319/selection_005_afm_dropout_full_v2_model_15,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_15_afm_dropout_full_model_4_multimer_v2_pred_40.pdb,casp17/massivefold_representative_viewers/h2319/selection_005_afm_dropout_full_v2_model_15/model.cif,casp17/massivefold_representative_viewers/h2319/selection_005_afm_dropout_full_v2_model_15/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_005_afm_dropout_full_v2_model_15/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_005_afm_dropout_full_v2_model_15/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_005_afm_dropout_full_v2_model_15/source_model_row.csv,valid,7754,900,994,6,93.924,66.852,120.733,89.369,164.416,-0.091,0.665,-2.228,34.682,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,6,1527,Model_1527_cf_woTemplates_model_3_multimer_v2_pred_17.pdb,cf_woTemplates_v2,0,3,17,pass,casp17/massivefold_representative_viewers/h2319/selection_006_cf_woTemplates_v2_model_1527,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_1527_cf_woTemplates_model_3_multimer_v2_pred_17.pdb,casp17/massivefold_representative_viewers/h2319/selection_006_cf_woTemplates_v2_model_1527/model.cif,casp17/massivefold_representative_viewers/h2319/selection_006_cf_woTemplates_v2_model_1527/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_006_cf_woTemplates_v2_model_1527/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_006_cf_woTemplates_v2_model_1527/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_006_cf_woTemplates_v2_model_1527/source_model_row.csv,valid,7754,900,994,6,81.294,77.593,116.563,86.438,164.557,-0.235,0.537,-1.176,34.442,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,7,6233,Model_6233_af3_woUnpaired_woTemplates_af3_seed_430689_sample_0_pred_490.cif,woUnpaired_woTemplates,430689,0,490,pass,casp17/massivefold_representative_viewers/h2319/selection_007_woUnpaired_woTemplates_model_6233,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_6233_af3_woUnpaired_woTemplates_af3_seed_430689_sample_0_pred_490.cif,casp17/massivefold_representative_viewers/h2319/selection_007_woUnpaired_woTemplates_model_6233/model.cif,casp17/massivefold_representative_viewers/h2319/selection_007_woUnpaired_woTemplates_model_6233/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_007_woUnpaired_woTemplates_model_6233/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_007_woUnpaired_woTemplates_model_6233/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_007_woUnpaired_woTemplates_model_6233/source_model_row.csv,valid,7760,900,994,6,50.232,80.217,112.599,85.265,162.43,-0.334,-1.25,-2.104,32.365,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,8,3836,Model_3836_af3_woTemplates_af3_seed_71875_sample_1_pred_531.cif,woTemplates,71875,1,531,pass,casp17/massivefold_representative_viewers/h2319/selection_008_woTemplates_model_3836,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_3836_af3_woTemplates_af3_seed_71875_sample_1_pred_531.cif,casp17/massivefold_representative_viewers/h2319/selection_008_woTemplates_model_3836/model.cif,casp17/massivefold_representative_viewers/h2319/selection_008_woTemplates_model_3836/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_008_woTemplates_model_3836/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_008_woTemplates_model_3836/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_008_woTemplates_model_3836/source_model_row.csv,valid,7760,900,994,6,68.652,92.075,115.7,66.494,162.129,1.511,1.565,-0.155,31.396,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,9,6231,Model_6231_af3_woUnpaired_woTemplates_af3_seed_430683_sample_0_pred_460.cif,woUnpaired_woTemplates,430683,0,460,pass,casp17/massivefold_representative_viewers/h2319/selection_009_woUnpaired_woTemplates_model_6231,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_6231_af3_woUnpaired_woTemplates_af3_seed_430683_sample_0_pred_460.cif,casp17/massivefold_representative_viewers/h2319/selection_009_woUnpaired_woTemplates_model_6231/model.cif,casp17/massivefold_representative_viewers/h2319/selection_009_woUnpaired_woTemplates_model_6231/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_009_woUnpaired_woTemplates_model_6231/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_009_woUnpaired_woTemplates_model_6231/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_009_woUnpaired_woTemplates_model_6231/source_model_row.csv,valid,7760,900,994,6,49.449,115.827,68.179,105.116,170.627,-0.534,1.492,-0.689,34.075,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
H2319,H2319_T333,10,1289,Model_1289_afm_woTemplates_model_4_multimer_v3_pred_19.pdb,afm_woTemplates_v3,0,4,19,pass,casp17/massivefold_representative_viewers/h2319/selection_010_afm_woTemplates_v3_model_1289,casp17/massivefold_external_pool_intake/h2319_t333/extracted_models/H2319_all_pdbs/Model_1289_afm_woTemplates_model_4_multimer_v3_pred_19.pdb,casp17/massivefold_representative_viewers/h2319/selection_010_afm_woTemplates_v3_model_1289/model.cif,casp17/massivefold_representative_viewers/h2319/selection_010_afm_woTemplates_v3_model_1289/projection.svg,casp17/massivefold_representative_viewers/h2319/selection_010_afm_woTemplates_v3_model_1289/viewer.html,casp17/massivefold_representative_viewers/h2319/selection_010_afm_woTemplates_v3_model_1289/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/h2319/selection_010_afm_woTemplates_v3_model_1289/source_model_row.csv,valid,7754,900,994,6,87.86,63.676,127.775,87.02,167.193,-1.086,-0.21,0.31,32.812,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
