target_id,model_set_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,model_viewer_status,object_folder,model_cif_source_path,model_cif_path,projection_svg_path,viewer_html_path,model_review_md_path,source_model_row_csv_path,coordinate_status,atom_count,display_atom_count,residue_count,chain_count,mean_b_iso,bbox_x,bbox_y,bbox_z,bbox_diagonal,centroid_x,centroid_y,centroid_z,radius_of_gyration,blockers,claim_boundary
R2350,R2350,1,3,Model_3_af3_woPaired_af3_seed_517450_sample_1_pred_796.cif,woPaired,517450,1,796,pass,casp17/massivefold_representative_viewers/r2350/selection_001_woPaired_model_3,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_3_af3_woPaired_af3_seed_517450_sample_1_pred_796.cif,casp17/massivefold_representative_viewers/r2350/selection_001_woPaired_model_3/model.cif,casp17/massivefold_representative_viewers/r2350/selection_001_woPaired_model_3/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_001_woPaired_model_3/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_001_woPaired_model_3/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_001_woPaired_model_3/source_model_row.csv,valid,8325,900,389,1,75.002,108.62,116.209,100.295,188.048,-0.566,-0.413,0.263,37.039,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,2,38,Model_38_af3_woUnpaired_woTemplates_af3_seed_100685_sample_0_pred_385.cif,woUnpaired_woTemplates,100685,0,385,pass,casp17/massivefold_representative_viewers/r2350/selection_002_woUnpaired_woTemplates_model_38,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_38_af3_woUnpaired_woTemplates_af3_seed_100685_sample_0_pred_385.cif,casp17/massivefold_representative_viewers/r2350/selection_002_woUnpaired_woTemplates_model_38/model.cif,casp17/massivefold_representative_viewers/r2350/selection_002_woUnpaired_woTemplates_model_38/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_002_woUnpaired_woTemplates_model_38/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_002_woUnpaired_woTemplates_model_38/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_002_woUnpaired_woTemplates_model_38/source_model_row.csv,valid,8325,900,389,1,75.303,99.987,134.715,89.678,190.231,0.5,-0.763,0.645,37.339,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,3,4,Model_4_af3_woTemplates_af3_seed_702351_sample_1_pred_981.cif,woTemplates,702351,1,981,pass,casp17/massivefold_representative_viewers/r2350/selection_003_woTemplates_model_4,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_4_af3_woTemplates_af3_seed_702351_sample_1_pred_981.cif,casp17/massivefold_representative_viewers/r2350/selection_003_woTemplates_model_4/model.cif,casp17/massivefold_representative_viewers/r2350/selection_003_woTemplates_model_4/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_003_woTemplates_model_4/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_003_woTemplates_model_4/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_003_woTemplates_model_4/source_model_row.csv,valid,8325,900,389,1,75.068,111.73,85.374,88.511,166.152,1.579,0.337,0.41,36.859,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,4,13,Model_13_af3_woUnpaired_woPaired_af3_seed_94539_sample_0_pred_25.cif,woUnpaired_woPaired,94539,0,25,pass,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_13_af3_woUnpaired_woPaired_af3_seed_94539_sample_0_pred_25.cif,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/model.cif,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_004_woUnpaired_woPaired_model_13/source_model_row.csv,valid,8325,900,389,1,75.621,111.516,95.536,100.519,177.952,0.786,-0.433,-0.647,37.018,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,5,31,Model_31_af3_woUnpaired_woPaired_af3_seed_968908_sample_4_pred_754.cif,woUnpaired_woPaired,968908,4,754,pass,casp17/massivefold_representative_viewers/r2350/selection_005_woUnpaired_woPaired_model_31,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_31_af3_woUnpaired_woPaired_af3_seed_968908_sample_4_pred_754.cif,casp17/massivefold_representative_viewers/r2350/selection_005_woUnpaired_woPaired_model_31/model.cif,casp17/massivefold_representative_viewers/r2350/selection_005_woUnpaired_woPaired_model_31/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_005_woUnpaired_woPaired_model_31/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_005_woUnpaired_woPaired_model_31/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_005_woUnpaired_woPaired_model_31/source_model_row.csv,valid,8325,900,389,1,75.348,100.556,96.059,112.412,178.816,-0.556,0.27,0.217,37.014,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,6,39,Model_39_af3_woTemplates_af3_seed_702342_sample_1_pred_936.cif,woTemplates,702342,1,936,pass,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_39_af3_woTemplates_af3_seed_702342_sample_1_pred_936.cif,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/model.cif,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_006_woTemplates_model_39/source_model_row.csv,valid,8325,900,389,1,75.491,110.007,99.176,86.833,171.69,-0.202,0.6,1.05,37.224,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,7,22,Model_22_af3_basic_af3_seed_170909_sample_1_pred_806.cif,basic,170909,1,806,pass,casp17/massivefold_representative_viewers/r2350/selection_007_basic_model_22,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_22_af3_basic_af3_seed_170909_sample_1_pred_806.cif,casp17/massivefold_representative_viewers/r2350/selection_007_basic_model_22/model.cif,casp17/massivefold_representative_viewers/r2350/selection_007_basic_model_22/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_007_basic_model_22/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_007_basic_model_22/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_007_basic_model_22/source_model_row.csv,valid,8325,900,389,1,75.13,91.302,113.078,94.209,173.199,0.453,0.401,-0.915,36.944,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,8,2,Model_2_af3_woUnpaired_af3_seed_160939_sample_4_pred_359.cif,woUnpaired,160939,4,359,pass,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_2_af3_woUnpaired_af3_seed_160939_sample_4_pred_359.cif,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/model.cif,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_008_woUnpaired_model_2/source_model_row.csv,valid,8325,900,389,1,75.633,124.408,81.858,112.137,186.421,0.43,0.94,-1.176,37.289,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,9,24,Model_24_af3_basic_af3_seed_823765_sample_1_pred_186.cif,basic,823765,1,186,pass,casp17/massivefold_representative_viewers/r2350/selection_009_basic_model_24,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_24_af3_basic_af3_seed_823765_sample_1_pred_186.cif,casp17/massivefold_representative_viewers/r2350/selection_009_basic_model_24/model.cif,casp17/massivefold_representative_viewers/r2350/selection_009_basic_model_24/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_009_basic_model_24/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_009_basic_model_24/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_009_basic_model_24/source_model_row.csv,valid,8325,900,389,1,75.287,89.014,116.602,99.131,177.049,1.001,1.763,0.247,37.345,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
R2350,R2350,10,8,Model_8_af3_basic_af3_seed_823777_sample_1_pred_246.cif,basic,823777,1,246,pass,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8,casp17/massivefold_external_pool_intake/r2350/extracted_models/R2350_all_cifs/Model_8_af3_basic_af3_seed_823777_sample_1_pred_246.cif,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/model.cif,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/projection.svg,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/viewer.html,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/r2350/selection_010_basic_model_8/source_model_row.csv,valid,8325,900,389,1,75.419,101.794,123.949,78.573,178.603,0.024,0.643,1.394,37.1,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
