target_id,model_set_id,selection_rank,model_serial,filename,rerank_bucket,seed,sample,pred,model_viewer_status,object_folder,model_cif_source_path,model_cif_path,projection_svg_path,viewer_html_path,model_review_md_path,source_model_row_csv_path,coordinate_status,atom_count,display_atom_count,residue_count,chain_count,mean_b_iso,bbox_x,bbox_y,bbox_z,bbox_diagonal,centroid_x,centroid_y,centroid_z,radius_of_gyration,blockers,claim_boundary
T2313,T2313_T330,1,14,Model_14_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_14.pdb,afm_dropout_noSM_woTemplates_v3,0,4,14,pass,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_14_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_14.pdb,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/model.cif,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_001_afm_dropout_noSM_woTemplates_v3_model_14/source_model_row.csv,valid,14445,900,1854,3,75.495,104.038,112.402,113.061,190.37,0.129,0.878,-2.079,40.922,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,2,22,Model_22_afm_woTemplates_model_3_multimer_v3_pred_26.pdb,afm_woTemplates_v3,0,3,26,pass,casp17/massivefold_representative_viewers/t2313/selection_002_afm_woTemplates_v3_model_22,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_22_afm_woTemplates_model_3_multimer_v3_pred_26.pdb,casp17/massivefold_representative_viewers/t2313/selection_002_afm_woTemplates_v3_model_22/model.cif,casp17/massivefold_representative_viewers/t2313/selection_002_afm_woTemplates_v3_model_22/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_002_afm_woTemplates_v3_model_22/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_002_afm_woTemplates_v3_model_22/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_002_afm_woTemplates_v3_model_22/source_model_row.csv,valid,14445,900,1854,3,73.233,116.947,112.487,122.606,203.377,0.338,-0.406,0.18,40.845,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,3,32,Model_32_cf_woTemplates_model_5_multimer_v3_pred_26.pdb,cf_woTemplates_v3,0,5,26,pass,casp17/massivefold_representative_viewers/t2313/selection_003_cf_woTemplates_v3_model_32,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_32_cf_woTemplates_model_5_multimer_v3_pred_26.pdb,casp17/massivefold_representative_viewers/t2313/selection_003_cf_woTemplates_v3_model_32/model.cif,casp17/massivefold_representative_viewers/t2313/selection_003_cf_woTemplates_v3_model_32/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_003_cf_woTemplates_v3_model_32/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_003_cf_woTemplates_v3_model_32/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_003_cf_woTemplates_v3_model_32/source_model_row.csv,valid,14445,900,1854,3,70.282,105.344,114.062,121.125,196.923,0.527,0.313,-1.392,40.997,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,4,18,Model_18_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_28.pdb,afm_dropout_noSM_woTemplates_v3,0,5,28,pass,casp17/massivefold_representative_viewers/t2313/selection_004_afm_dropout_noSM_woTemplates_v3_model_18,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_18_afm_dropout_noSM_woTemplates_model_5_multimer_v3_pred_28.pdb,casp17/massivefold_representative_viewers/t2313/selection_004_afm_dropout_noSM_woTemplates_v3_model_18/model.cif,casp17/massivefold_representative_viewers/t2313/selection_004_afm_dropout_noSM_woTemplates_v3_model_18/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_004_afm_dropout_noSM_woTemplates_v3_model_18/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_004_afm_dropout_noSM_woTemplates_v3_model_18/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_004_afm_dropout_noSM_woTemplates_v3_model_18/source_model_row.csv,valid,14445,900,1854,3,72.868,109.853,121.675,123.666,205.343,0.232,0.116,-0.912,41.396,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,5,100,Model_100_afm_dropout_04_woTemplates_model_4_multimer_v3_pred_47.pdb,afm_dropout_04_woTemplates_v3,0,4,47,pass,casp17/massivefold_representative_viewers/t2313/selection_005_afm_dropout_04_woTemplates_v3_model_100,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_100_afm_dropout_04_woTemplates_model_4_multimer_v3_pred_47.pdb,casp17/massivefold_representative_viewers/t2313/selection_005_afm_dropout_04_woTemplates_v3_model_100/model.cif,casp17/massivefold_representative_viewers/t2313/selection_005_afm_dropout_04_woTemplates_v3_model_100/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_005_afm_dropout_04_woTemplates_v3_model_100/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_005_afm_dropout_04_woTemplates_v3_model_100/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_005_afm_dropout_04_woTemplates_v3_model_100/source_model_row.csv,valid,14445,900,1854,3,73.007,111.099,112.162,120.765,198.765,0.231,0.745,-1.658,40.82,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,6,6604,Model_6604_afm_woTemplates_model_1_multimer_v1_pred_19.pdb,afm_woTemplates_v1,0,1,19,pass,casp17/massivefold_representative_viewers/t2313/selection_006_afm_woTemplates_v1_model_6604,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_6604_afm_woTemplates_model_1_multimer_v1_pred_19.pdb,casp17/massivefold_representative_viewers/t2313/selection_006_afm_woTemplates_v1_model_6604/model.cif,casp17/massivefold_representative_viewers/t2313/selection_006_afm_woTemplates_v1_model_6604/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_006_afm_woTemplates_v1_model_6604/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_006_afm_woTemplates_v1_model_6604/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_006_afm_woTemplates_v1_model_6604/source_model_row.csv,valid,14445,900,1854,3,36.855,82.842,77.889,71.485,134.312,-3.444,-3.978,1.381,24.708,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,7,2,Model_2_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_25.pdb,afm_dropout_noSM_woTemplates_v3,0,4,25,pass,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_2_afm_dropout_noSM_woTemplates_model_4_multimer_v3_pred_25.pdb,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/model.cif,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_007_afm_dropout_noSM_woTemplates_v3_model_2/source_model_row.csv,valid,14445,900,1854,3,75.557,113.104,112.72,122.039,200.977,-0.173,0.776,-1.365,41.181,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,8,2621,Model_2621_afm_dropout_full_model_1_multimer_v2_pred_38.pdb,afm_dropout_full_v2,0,1,38,pass,casp17/massivefold_representative_viewers/t2313/selection_008_afm_dropout_full_v2_model_2621,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_2621_afm_dropout_full_model_1_multimer_v2_pred_38.pdb,casp17/massivefold_representative_viewers/t2313/selection_008_afm_dropout_full_v2_model_2621/model.cif,casp17/massivefold_representative_viewers/t2313/selection_008_afm_dropout_full_v2_model_2621/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_008_afm_dropout_full_v2_model_2621/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_008_afm_dropout_full_v2_model_2621/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_008_afm_dropout_full_v2_model_2621/source_model_row.csv,valid,14445,900,1854,3,62.735,111.359,120.378,121.804,204.274,0.765,-1.398,1.489,41.35,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,9,68,Model_68_af3_woPaired_af3_seed_880568_sample_1_pred_46.cif,woPaired,880568,1,46,pass,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_68_af3_woPaired_af3_seed_880568_sample_1_pred_46.cif,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/model.cif,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_009_woPaired_model_68/source_model_row.csv,valid,14448,900,1854,3,73.6,104.961,115.898,109.77,191.046,0.756,-1.133,0.991,39.152,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
T2313,T2313_T330,10,7327,Model_7327_afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_39.pdb,afm_dropout_noSM_woTemplates_v1,0,1,39,pass,casp17/massivefold_representative_viewers/t2313/selection_010_afm_dropout_noSM_woTemplates_v1_model_7327,casp17/massivefold_external_pool_intake/t2313_t330/extracted_models/T2313_all_pdbs/Model_7327_afm_dropout_noSM_woTemplates_model_1_multimer_v1_pred_39.pdb,casp17/massivefold_representative_viewers/t2313/selection_010_afm_dropout_noSM_woTemplates_v1_model_7327/model.cif,casp17/massivefold_representative_viewers/t2313/selection_010_afm_dropout_noSM_woTemplates_v1_model_7327/projection.svg,casp17/massivefold_representative_viewers/t2313/selection_010_afm_dropout_noSM_woTemplates_v1_model_7327/viewer.html,casp17/massivefold_representative_viewers/t2313/selection_010_afm_dropout_noSM_woTemplates_v1_model_7327/MODEL_REVIEW.md,casp17/massivefold_representative_viewers/t2313/selection_010_afm_dropout_noSM_woTemplates_v1_model_7327/source_model_row.csv,valid,14445,900,1854,3,35.223,72.507,71.613,71.4,124.433,-2.411,-4.319,1.466,22.741,,"CASP17 MassiveFold representative viewer packet only. It builds local review folders for organizer-provided external model-pool representatives for the selected target. These are external rerank and accuracy-estimation inputs, not internal predictions, not CASP submissions, and not competitive-proof evidence."
