consensus_rank,target_id,group_id,triage_band,best_minus_model1_gdt_ts_proxy,model1_model_id,best_top5_model_id,top5_ready_count,model1_consensus_rank,best_top5_consensus_rank,consensus_top_model_id,consensus_top_native_proxy_rank,model1_mean_pairwise_rmsd,best_top5_mean_pairwise_rmsd,consensus_margin_model1_minus_best,consensus_signal,selector_label,pairwise_matrix_csv,review_md,consensus_status,blockers,claim_boundary,rule_id
1,T1212,163,catastrophic_model1_selection_gap,78.380,T1212TS163_1,T1212TS163_4,5,4,5,T1212TS163_5,3,15.131,19.332,-4.201,supports_model1,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/01_t1212_group_163/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/01_t1212_group_163/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
2,T1212,304,catastrophic_model1_selection_gap,71.138,T1212TS304_1,T1212TS304_3,5,5,3,T1212TS304_2,3,34.954,28.035,6.919,supports_best_top5,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/02_t1212_group_304/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/02_t1212_group_304/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
3,T1212,286,catastrophic_model1_selection_gap,61.642,T1212TS286_1,T1212TS286_2,5,3,4,T1212TS286_4,3,26.660,31.255,-4.595,supports_model1,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/03_t1212_group_286/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/03_t1212_group_286/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
4,T1212,419,catastrophic_model1_selection_gap,61.642,T1212TS419_1,T1212TS419_2,5,3,4,T1212TS419_4,3,26.660,31.255,-4.595,supports_model1,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/04_t1212_group_419/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/04_t1212_group_419/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
5,T1212,262,catastrophic_model1_selection_gap,53.863,T1212TS262_1,T1212TS262_5,5,3,1,T1212TS262_5,1,14.255,7.182,7.073,supports_best_top5,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/05_t1212_group_262/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/05_t1212_group_262/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
6,T1212,345,large_selection_gap,49.946,T1212TS345_1,T1212TS345_2,5,1,2,T1212TS345_1,5,19.609,22.371,-2.763,supports_model1,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/06_t1212_group_345/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/06_t1212_group_345/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
7,T1212,369,large_selection_gap,40.826,T1212TS369_1,T1212TS369_5,5,4,1,T1212TS369_5,1,16.916,6.411,10.505,supports_best_top5,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/07_t1212_group_369/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/07_t1212_group_369/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
8,T1212,269,large_selection_gap,39.485,T1212TS269_1,T1212TS269_4,5,4,1,T1212TS269_4,1,22.746,5.396,17.350,supports_best_top5,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/08_t1212_group_269/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/08_t1212_group_269/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
9,T1212,221,large_selection_gap,38.895,T1212TS221_1,T1212TS221_4,5,3,1,T1212TS221_4,1,22.190,5.615,16.574,supports_best_top5,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/09_t1212_group_221/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/09_t1212_group_221/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
10,T1212,015,large_selection_gap,30.043,T1212TS015_1,T1212TS015_4,5,1,3,T1212TS015_1,4,28.280,30.998,-2.718,supports_model1,best_top5_wins_from_native_proxy,casp17/official_archive_first_baseline_model1_gap_consensus_probe/10_t1212_group_015/pairwise_consensus_matrix.csv,casp17/official_archive_first_baseline_model1_gap_consensus_probe/10_t1212_group_015/CONSENSUS_PROBE.md,consensus_ready,,"Local CASP17 official-archive first baseline model1 gap consensus probe only. It uses native-free top5 pairwise CA RMSD clustering on baseline-only official archive models to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_consensus_probe_v1
