feature_rank,target_id,group_id,triage_band,best_minus_model1_gdt_ts_proxy,model1_model_id,best_top5_model_id,model1_geometry_risk_score,best_top5_geometry_risk_score,geometry_risk_delta_model1_minus_best,geometry_signal,selector_label,model1_ca_count,best_top5_ca_count,model1_radius_gyration,best_top5_radius_gyration,model1_chain_break_count,best_top5_chain_break_count,model1_ca_clash_count,best_top5_ca_clash_count,model1_long_step_fraction,best_top5_long_step_fraction,model1_short_step_fraction,best_top5_short_step_fraction,model1_pdb,best_top5_pdb,review_md,feature_status,blockers,claim_boundary,rule_id
1,T1212,163,catastrophic_model1_selection_gap,78.380,T1212TS163_1,T1212TS163_4,2.467,2.584,-0.117,ambiguous,best_top5_wins_from_native_proxy,466,466,26.457,26.634,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380/T1212TS163_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_163_delta_78_380/T1212TS163_4.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/01_t1212_group_163/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
2,T1212,304,catastrophic_model1_selection_gap,71.138,T1212TS304_1,T1212TS304_3,2.728,2.716,0.012,ambiguous,best_top5_wins_from_native_proxy,466,466,26.852,26.835,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138/T1212TS304_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_304_delta_71_138/T1212TS304_3.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/02_t1212_group_304/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
3,T1212,286,catastrophic_model1_selection_gap,61.642,T1212TS286_1,T1212TS286_2,2.842,2.952,-0.111,ambiguous,best_top5_wins_from_native_proxy,466,466,27.024,27.192,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642/T1212TS286_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_286_delta_61_642/T1212TS286_2.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/03_t1212_group_286/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
4,T1212,419,catastrophic_model1_selection_gap,61.642,T1212TS419_1,T1212TS419_2,2.842,2.952,-0.111,ambiguous,best_top5_wins_from_native_proxy,466,466,27.024,27.192,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642/T1212TS419_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_419_delta_61_642/T1212TS419_2.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/04_t1212_group_419/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
5,T1212,262,catastrophic_model1_selection_gap,53.863,T1212TS262_1,T1212TS262_5,2.583,2.785,-0.203,ambiguous,best_top5_wins_from_native_proxy,466,466,26.632,26.939,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863/T1212TS262_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_262_delta_53_863/T1212TS262_5.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/05_t1212_group_262/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
6,T1212,345,large_selection_gap,49.946,T1212TS345_1,T1212TS345_2,2.643,2.811,-0.168,ambiguous,best_top5_wins_from_native_proxy,466,466,26.723,26.978,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946/T1212TS345_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_345_delta_49_946/T1212TS345_2.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/06_t1212_group_345/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
7,T1212,369,large_selection_gap,40.826,T1212TS369_1,T1212TS369_5,2.761,2.930,-0.169,ambiguous,best_top5_wins_from_native_proxy,466,466,26.902,27.158,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826/T1212TS369_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_369_delta_40_826/T1212TS369_5.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/07_t1212_group_369/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
8,T1212,269,large_selection_gap,39.485,T1212TS269_1,T1212TS269_4,2.420,2.419,0.001,ambiguous,best_top5_wins_from_native_proxy,466,466,26.385,26.384,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485/T1212TS269_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_269_delta_39_485/T1212TS269_4.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/08_t1212_group_269/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
9,T1212,221,large_selection_gap,38.895,T1212TS221_1,T1212TS221_4,2.677,2.382,0.295,ambiguous,best_top5_wins_from_native_proxy,466,466,26.775,26.328,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895/T1212TS221_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_221_delta_38_895/T1212TS221_4.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/09_t1212_group_221/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
10,T1212,015,large_selection_gap,30.043,T1212TS015_1,T1212TS015_4,2.667,2.593,0.074,ambiguous,best_top5_wins_from_native_proxy,466,466,26.760,26.648,0,0,0,0,0.0000,0.0000,0.0000,0.0000,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043/T1212TS015_1.pdb,casp17/official_archive_first_baseline_model1_gap_viewer_packet/t1212_group_015_delta_30_043/T1212TS015_4.pdb,casp17/official_archive_first_baseline_model1_gap_feature_probe/10_t1212_group_015/FEATURE_PROBE.md,feature_ready,,"Local CASP17 official-archive first baseline model1 gap feature probe only. It uses native-free geometry features from copied baseline-only official archive model1/best-of-5 PDB files to study model-selection failure modes. It is not an official CASP assessment, not strict-blind competitive proof, does not import official archive models as internal predictions, does not push remotes, and does not submit to CASP.",official_archive_first_baseline_model1_gap_feature_probe_v1
