Target;Type;Res;Oligo.State;Entry Date; Server Exp.;Human Exp.;QA Exp.;Cancellation Date;Description
R2301;NucA;96;A1;2026-04-27;2026-04-29;2026-04-29;-;-;Eterna JR_UC2199_030
R2302;NucA;90;A1;2026-04-27;2026-04-29;2026-04-29;-;-;Eterna PK90_14 f39
H1311;Prot;822;A1B1C1D1E1;2026-04-28;2026-05-02;2026-05-13;2026-05-16;-;NRAS17.3.2_Q61K_HLAA1
R2303;NucA;84;A2;2026-04-28;2026-04-30;2026-04-30;2026-05-03;-;Eterna ZG_113_EliFisker_F_10
R2304;NucA;100;A1;2026-04-28;2026-04-30;2026-04-30;-;-;Struct2SeQ SHAPE design
H1312;Prot;1409;UNK;2026-04-29;2026-05-02;2026-05-13;2026-05-16;-;EXT1-EXT2-2BAV4
R2305;NucA;105;A2;2026-04-29;2026-05-01;2026-05-01;2026-05-04;-;MPNN-RFdiff design
R2306;NucA;100;A1;2026-04-29;2026-05-01;2026-05-01;-;-;MPNN-fixbb design
R2307;NucA;100;A1;2026-04-30;2026-05-02;2026-05-02;-;-;gRNAde design
R2308;NucA;93;A1;2026-04-30;2026-05-02;2026-05-02;-;-;Triphosphorylation ribozyme
T1313;Prot;618;UNK;2026-04-30;2026-05-03;2026-05-14;2026-05-17;-;P66
M2310;Hybrid;810;A1B1;2026-05-01;2026-05-05;2026-05-05;2026-05-08;-;B.a. group IIB2 intron postcat
R2309;NucA;810;A1;2026-05-01;2026-05-05;2026-05-05;-;-;B.a. group IIB2 intron precat
R2310;NucA;788;A1;2026-05-01;2026-05-05;2026-05-05;-;-;B.a. group IIB2 intron postcat
R2314;NucA/Ligand;25;A1;2026-05-04;2026-05-06;2026-05-06;-;-;Tryptophan binding aptamer holo
R2315;NucA;25;A1;2026-05-04;2026-05-06;2026-05-06;-;-;Tryptophan binding aptamer apo
R2316;NucA;97;A1;2026-05-04;2026-05-06;2026-05-06;-;-;miniTTR GNRA tetraloop/receptor
H1319;Prot;497;UNK;2026-05-05;2026-05-08;2026-05-19;2026-05-22;-;Human astrovirus VA1 capsid spike - antibody 7C8 complex
R2317;NucA/Ligand;129;A1;2026-05-05;2026-05-07;2026-05-07;-;-;Lmo Glycine riboswitch holo
R2318;NucA/Ligand;140;A1;2026-05-05;2026-05-07;2026-05-07;-;-;Dha Glycine riboswitch holo
H1321;Prot;502;UNK;2026-05-06;2026-05-09;2026-05-20;2026-05-23;-;Human astrovirus VA1 capsid spike - antibody 2A2 complex
M2320;Hybrid;731;A1B1;2026-05-06;2026-05-10;2026-05-10;2026-05-13;-;C.tet group IIB intron
R2320s0;NucA;731;A1;2026-05-06;2026-05-10;2026-05-10;-;-;C.tet group IIB intron
H2324;Prot;856;A1B1C1D1E1;2026-05-07;2026-05-10;2026-05-21;2026-05-24;-;T Cell Receptor N17.2, complex (5 chains)
R2322;NucA;83;A1;2026-05-07;2026-05-09;2026-05-14;-;-;RNA - miniTTR-11 monomer mutant
R2323;NucA;83;A2;2026-05-07;2026-05-09;2026-05-14;2026-05-17;-;RNA - miniTTR-11 WT
R2325;NucA;499;A2;2026-05-08;2026-05-11;2026-05-11;2026-05-14;-;O.i. group II intron dimer
H1332;Prot;704;UNK;2026-05-11;2026-05-14;2026-05-25;2026-05-28;2026-05-18;Fab 047-09_1A02 binding influenza virus H1 HA   <em><font color=red>Canceled - preprint.</font></em>
R2326;NucA/Ligand;37;A1;2026-05-11;2026-05-13;2026-05-13;-;-;Arginine binding aptamer
R2327;NucA/Ligand;40;A1;2026-05-11;2026-05-13;2026-05-13;-;-;Histidine binding aptamer
R2328;NucA/Ligand;32;A1;2026-05-11;2026-05-13;2026-05-13;-;-;Isoleucine binding aptamer
R2329;NucA/Ligand;60;A1;2026-05-12;2026-05-14;2026-05-14;-;-;SAMURI ribozyme holo
R2330;NucA/Ligand;75;A1;2026-05-12;2026-05-14;2026-05-14;-;-;TPP riboswitch holo
T1331;Prot;281;UNK;2026-05-12;2026-05-15;2026-05-26;2026-05-29;-;5AT
H1335;Prot;1820;UNK;2026-05-13;2026-05-16;2026-05-27;2026-05-30;-;HCMV Merlin gHgLgO-Fab complex
H2312;Prot;1409;A1B1C1;2026-05-13;2026-05-16;2026-05-27;2026-05-30;-;EXT1-EXT2-2BAV4
M2333;Hybrid;614;A1B1;2026-05-13;2026-05-15;2026-05-15;2026-05-18;-;TaitIntron RNA
R2333s0;NucA;614;A1;2026-05-13;2026-05-15;2026-05-15;-;-;TaitIntron RNA
H2338;Prot;1050;A1B1C1D1;2026-05-14;2026-05-17;2026-05-29;2026-06-01;-;Factor XIa antibody complex 9933
M2334;Hybrid;1204;A1B1;2026-05-14;2026-05-16;2026-05-16;2026-05-19;-;TaitIntron RNP
R2334;NucA;609;A1B1;2026-05-14;2026-05-16;2026-05-16;-;-;TaitIntron RNP
T2313;Prot;618;A3;2026-05-14;2026-05-17;2026-05-28;2026-05-31;-;P66
H2339;Prot;1044;A1B1C1D1;2026-05-15;2026-05-18;2026-05-30;2026-06-02;-;Factor XIa antibody complex 7508
M2337;Hybrid;644;A1B1;2026-05-15;2026-05-18;2026-05-22;2026-05-25;-;Pli Group IIB intron postcat
R2336;NucA;644;A1;2026-05-15;2026-05-18;2026-05-22;-;-;Pli Group IIB intron precat
R2337s0;NucA;644;A1;2026-05-15;2026-05-18;2026-05-22;-;-;Pli Group IIB intron postcat
H1340;Prot;686;UNK;2026-05-18;2026-05-21;2026-06-01;2026-06-04;-;Parahenipavirus F protein /antibody complex
H1343;Prot;773;UNK;2026-05-18;2026-05-21;2026-06-01;2026-06-04;-;Hepatitis C Virus sE2 CBH-4G Fab complex
R2341;NucA;186;A1;2026-05-18;2026-05-20;2026-06-01;-;-;RRE core
H2319;Prot;497;A2B2C2;2026-05-19;2026-05-22;2026-06-02;2026-06-05;-;Human astrovirus VA1 capsid spike - antibody 7C8 complex
T1342;Prot;1455;UNK;2026-05-19;2026-05-22;2026-06-02;2026-06-05;-;Spike glycoprotein ectodomain
H1344;Prot;734;UNK;2026-05-20;2026-05-23;2026-06-03;2026-06-06;-;HSV gD - HAB72
