row_type,notice_id,target_id,notice_type,source_ref,request_time_pacific,request_status,sequence_gate,action,competitive_proof_policy,notes,model_set_id,primary_target_id,target_category,massivefold_tarball_url,bundle_format,model_pool_policy,internal_prediction_policy,submission_policy,large_download_policy,ftp_filename,ftp_size_bytes,ftp_modified_hint
organizer_notice,organizer_notice_001,R2345,sequence_request_quarantine,operator_email_excerpt_casp17_organizer,09:30,ignored_invalid_dna_t_in_rna_sequence,rna_sequence_requires_acgu_no_t,do_not_use_first_request_for_modeling_or_scoring,quarantine_invalid_input,First R2345 request used a DNA T where RNA U was intended.,,,,,,,,,,,,
organizer_notice,organizer_notice_002,R2345,sequence_request_replacement,operator_email_excerpt_casp17_organizer,11:30,accepted_second_request_only,rna_sequence_requires_acgu_no_t,treat_second_request_as_r2345_active_modeling_request,use_only_after_sequence_validation,Second R2345 request supersedes the invalid first request.,,,,,,,,,,,,
organizer_notice,organizer_notice_003,R2341,massivefold_first_rna_set_available,operator_email_excerpt_casp17_organizer,,massivefold_external_model_set_available,,track_as_external_candidate_pool_for_rerank_and_accuracy_estimation,do_not_mark_as_internal_prediction,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2341_all_cifs_MassiveFold.tar.gz,,,,,,,,,,,,
organizer_notice,organizer_notice_004,R2345,massivefold_r2345_set_observed,ftp://files.plbs.fr:21211/CASP17-CAPRI/CASP17-CAPRI_MF_links.csv,,massivefold_external_model_set_available,keep_invalid_0930_request_quarantined,track_external_set_separately_from_internal_prediction_lane,do_not_mark_as_internal_prediction,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2345_all_cifs_MassiveFold.tar.gz,,,,,,,,,,,,
massivefold_model_set,,,,,,,,,,,H1311_T327,H1311,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H1311_T327_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H1311_T327_all_pdbs_MassiveFold.tar.gz,1934629344,May 2 10:06
massivefold_model_set,,,,,,,,,,,H2324_T328,H2324,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2324_T328_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H2324_T328_all_pdbs_MassiveFold.tar.gz,2015208150,May 10 08:51
massivefold_model_set,,,,,,,,,,,H2312_T329,H2312,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2312_T329_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H2312_T329_all_pdbs_MassiveFold.tar.gz,3298849154,May 16 19:13
massivefold_model_set,,,,,,,,,,,T2313_T330,T2313,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/T2313_T330_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,T2313_T330_all_pdbs_MassiveFold.tar.gz,4188101793,May 19 18:00
massivefold_model_set,,,,,,,,,,,H2338_T331,H2338,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2338_T331_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H2338_T331_all_pdbs_MassiveFold.tar.gz,2381698579,May 18 13:00
massivefold_model_set,,,,,,,,,,,H2339_T332,H2339,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2339_T332_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H2339_T332_all_pdbs_MassiveFold.tar.gz,4709153238,May 19 17:57
massivefold_model_set,,,,,,,,,,,R2341,R2341,rna_or_hybrid,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2341_all_cifs_MassiveFold.tar.gz,cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,R2341_all_cifs_MassiveFold.tar.gz,667779936,May 20 18:01
massivefold_model_set,,,,,,,,,,,H2319_T333,H2319,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2319_T333_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H2319_T333_all_pdbs_MassiveFold.tar.gz,2269895275,May 21 10:51
massivefold_model_set,,,,,,,,,,,H2321_T334,H2321,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2321_T334_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H2321_T334_all_pdbs_MassiveFold.tar.gz,2306336886,May 22 12:00
massivefold_model_set,,,,,,,,,,,R2345,R2345,rna_or_hybrid,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2345_all_cifs_MassiveFold.tar.gz,cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,R2345_all_cifs_MassiveFold.tar.gz,245903877,May 22 14:25
massivefold_model_set,,,,,,,,,,,R2350,R2350,rna_or_hybrid,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2350_all_cifs_MassiveFold.tar.gz,cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,R2350_all_cifs_MassiveFold.tar.gz,1362175616,May 26 09:37
massivefold_model_set,,,,,,,,,,,R2351,R2351,rna_or_hybrid,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2351_all_cifs_MassiveFold.tar.gz,cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,R2351_all_cifs_MassiveFold.tar.gz,1361443421,May 27 10:39
massivefold_model_set,,,,,,,,,,,R2352,R2352,rna_or_hybrid,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2352_all_cifs_MassiveFold.tar.gz,cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,R2352_all_cifs_MassiveFold.tar.gz,1362404890,May 29 10:27
massivefold_model_set,,,,,,,,,,,R2353,R2353,rna_or_hybrid,ftp://files.plbs.fr:21211/CASP17-CAPRI/R2353_all_cifs_MassiveFold.tar.gz,cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,R2353_all_cifs_MassiveFold.tar.gz,1378962270,May 29 10:31
massivefold_model_set,,,,,,,,,,,H2335_T335,H2335,protein_or_complex,ftp://files.plbs.fr:21211/CASP17-CAPRI/H2335_T335_all_pdbs_MassiveFold.tar.gz,pdb_cif_bundle,external_rerank_accuracy_estimation_pool,do_not_mark_as_internal_prediction,rule_check_required_before_any_human_submission_use,tarballs_not_downloaded_by_notice_packet,H2335_T335_all_pdbs_MassiveFold.tar.gz,4192785208,May 29 17:10
