target_id,protein_name,protein_key,object_id,chain_id,audit_status,library_status,library_protein_folder,library_object_folder,protein_readme,protein_manifest,object_readme,object_manifest,model_path,projection_svg_path,viewer_html_path,source_object_folder,coordinate_status,protein_atom_count,residue_count,blockers
T1331,5AT,T1331_5AT,chain_A,A,pass,pass,casp17/protein_object_library_current/T1331_5AT,casp17/protein_object_library_current/T1331_5AT/chain_A,casp17/protein_object_library_current/T1331_5AT/README.md,casp17/protein_object_library_current/T1331_5AT/protein_manifest.json,casp17/protein_object_library_current/T1331_5AT/chain_A/README.md,casp17/protein_object_library_current/T1331_5AT/chain_A/object_manifest.json,casp17/targets_current/T1331_5AT/objects/chain_A/models/T1331_chain_A.pdb,casp17/targets_current/T1331_5AT/objects/chain_A/renders/T1331_chain_A_projection.svg,casp17/targets_current/T1331_5AT/objects/chain_A/viewer.html,casp17/targets_current/T1331_5AT/objects/chain_A,valid,2342,281,
H1335,HCMV Merlin gHgLgO-Fab complex,H1335_HCMV_Merlin_gHgLgO_Fab_complex,chain_A,A,pass,pass,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_A,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_A/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_A/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/renders/H1335_chain_A_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A,valid,3592,439,
H1335,HCMV Merlin gHgLgO-Fab complex,H1335_HCMV_Merlin_gHgLgO_Fab_complex,chain_B,B,pass,pass,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_B,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_B/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_B/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/renders/H1335_chain_B_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B,valid,5546,692,
H1335,HCMV Merlin gHgLgO-Fab complex,H1335_HCMV_Merlin_gHgLgO_Fab_complex,chain_C,C,pass,pass,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_C,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_C/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_C/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/renders/H1335_chain_C_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C,valid,1938,248,
H1335,HCMV Merlin gHgLgO-Fab complex,H1335_HCMV_Merlin_gHgLgO_Fab_complex,chain_D,D,pass,pass,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_D,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_D/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_D/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/renders/H1335_chain_D_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D,valid,1650,214,
H1335,HCMV Merlin gHgLgO-Fab complex,H1335_HCMV_Merlin_gHgLgO_Fab_complex,chain_E,E,pass,pass,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_E,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_E/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/chain_E/object_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/renders/H1335_chain_E_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E,valid,1713,227,
H2312,EXT1-EXT2-2BAV4,H2312_EXT1_EXT2_2BAV4,chain_A,A,pass,pass,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_A,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/README.md,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/protein_manifest.json,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_A/README.md,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_A/object_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/models/H2312_chain_A.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/renders/H2312_chain_A_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A,valid,5279,649,
H2312,EXT1-EXT2-2BAV4,H2312_EXT1_EXT2_2BAV4,chain_B,B,pass,pass,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_B,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/README.md,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/protein_manifest.json,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_B/README.md,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_B/object_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/models/H2312_chain_B.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/renders/H2312_chain_B_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B,valid,5135,637,
H2312,EXT1-EXT2-2BAV4,H2312_EXT1_EXT2_2BAV4,chain_C,C,pass,pass,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_C,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/README.md,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/protein_manifest.json,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_C/README.md,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/chain_C/object_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/models/H2312_chain_C.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/renders/H2312_chain_C_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C,valid,950,123,
T2313,P66,T2313_P66,chain_A,A,pass,pass,casp17/protein_object_library_current/T2313_P66,casp17/protein_object_library_current/T2313_P66/chain_A,casp17/protein_object_library_current/T2313_P66/README.md,casp17/protein_object_library_current/T2313_P66/protein_manifest.json,casp17/protein_object_library_current/T2313_P66/chain_A/README.md,casp17/protein_object_library_current/T2313_P66/chain_A/object_manifest.json,casp17/targets_current/T2313_P66/objects/chain_A/models/T2313_chain_A.pdb,casp17/targets_current/T2313_P66/objects/chain_A/renders/T2313_chain_A_projection.svg,casp17/targets_current/T2313_P66/objects/chain_A/viewer.html,casp17/targets_current/T2313_P66/objects/chain_A,valid,4815,618,
