protein_key,target_id,protein_name,library_protein_folder,object_count,pass_count,blocked_count,protein_status,protein_readme,protein_manifest,blockers
H1335_HCMV_Merlin_gHgLgO_Fab_complex,H1335,HCMV Merlin gHgLgO-Fab complex,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,5,5,0,pass,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,
H1340_Parahenipavirus_F_protein_antibody_complex,H1340,Parahenipavirus F protein /antibody complex,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex,3,3,0,pass,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,3,3,0,pass,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_manifest.json,
H1344_HSV_gD_HAB72,H1344,HSV gD - HAB72,casp17/protein_object_library_current/H1344_HSV_gD_HAB72,3,3,0,pass,casp17/protein_object_library_current/H1344_HSV_gD_HAB72/README.md,casp17/protein_object_library_current/H1344_HSV_gD_HAB72/protein_manifest.json,
H1346_REGN3753_Fab_Fab_complex,H1346,REGN3753 Fab-Fab complex,casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex,4,4,0,pass,casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex/README.md,casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex/protein_manifest.json,
H1347_REGN15499_Fab_Fab_complex,H1347,REGN15499 Fab-Fab complex,casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex,4,4,0,pass,casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex/README.md,casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex/protein_manifest.json,
H1348_gp130_antibody_complex,H1348,gp130 antibody complex,casp17/protein_object_library_current/H1348_gp130_antibody_complex,3,3,0,pass,casp17/protein_object_library_current/H1348_gp130_antibody_complex/README.md,casp17/protein_object_library_current/H1348_gp130_antibody_complex/protein_manifest.json,
H1349_gp130_antibody_complex,H1349,gp130 antibody complex,casp17/protein_object_library_current/H1349_gp130_antibody_complex,3,3,0,pass,casp17/protein_object_library_current/H1349_gp130_antibody_complex/README.md,casp17/protein_object_library_current/H1349_gp130_antibody_complex/protein_manifest.json,
H1354_hemagglutinin_antibody,H1354,hemagglutinin/antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody,3,3,0,pass,casp17/protein_object_library_current/H1354_hemagglutinin_antibody/README.md,casp17/protein_object_library_current/H1354_hemagglutinin_antibody/protein_manifest.json,
H1355_hemagglutinin_antibody,H1355,hemagglutinin/antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody,3,3,0,pass,casp17/protein_object_library_current/H1355_hemagglutinin_antibody/README.md,casp17/protein_object_library_current/H1355_hemagglutinin_antibody/protein_manifest.json,
H2312_EXT1_EXT2_2BAV4,H2312,EXT1-EXT2-2BAV4,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4,3,3,0,pass,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/README.md,casp17/protein_object_library_current/H2312_EXT1_EXT2_2BAV4/protein_manifest.json,
