protein_key,target_id,protein_name,protein_status,object_count,pass_count,blocked_count,chain_ids,library_protein_folder,protein_readme,protein_manifest,first_object_id,first_viewer_html_path,first_projection_svg_path,first_model_path,catalog_status,blockers
H1335_HCMV_Merlin_gHgLgO_Fab_complex,H1335,HCMV Merlin gHgLgO-Fab complex,pass,5,5,0,"A,B,C,D,E",casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md,casp17/protein_object_library_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/protein_manifest.json,chain_A,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/renders/H1335_chain_A_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,pass,
H1340_Parahenipavirus_F_protein_antibody_complex,H1340,Parahenipavirus F protein /antibody complex,pass,3,3,0,"A,B,C",casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/README.md,casp17/protein_object_library_current/H1340_Parahenipavirus_F_protein_antibody_complex/protein_manifest.json,chain_A,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/renders/H1340_chain_A_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,pass,
H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,pass,3,3,0,"A,B,C",casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md,casp17/protein_object_library_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/protein_manifest.json,chain_A,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/renders/H1343_chain_A_projection.svg,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/chain_A/models/H1343_chain_A.pdb,pass,
H1344_HSV_gD_HAB72,H1344,HSV gD - HAB72,pass,3,3,0,"A,B,C",casp17/protein_object_library_current/H1344_HSV_gD_HAB72,casp17/protein_object_library_current/H1344_HSV_gD_HAB72/README.md,casp17/protein_object_library_current/H1344_HSV_gD_HAB72/protein_manifest.json,chain_A,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/viewer.html,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/renders/H1344_chain_A_projection.svg,casp17/targets_current/H1344_HSV_gD_HAB72/objects/chain_A/models/H1344_chain_A.pdb,pass,
H1346_REGN3753_Fab_Fab_complex,H1346,REGN3753 Fab-Fab complex,pass,4,4,0,"A,B,C,D",casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex,casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex/README.md,casp17/protein_object_library_current/H1346_REGN3753_Fab_Fab_complex/protein_manifest.json,chain_A,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/renders/H1346_chain_A_projection.svg,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/chain_A/models/H1346_chain_A.pdb,pass,
H1347_REGN15499_Fab_Fab_complex,H1347,REGN15499 Fab-Fab complex,pass,4,4,0,"A,B,C,D",casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex,casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex/README.md,casp17/protein_object_library_current/H1347_REGN15499_Fab_Fab_complex/protein_manifest.json,chain_A,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/renders/H1347_chain_A_projection.svg,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/chain_A/models/H1347_chain_A.pdb,pass,
H1348_gp130_antibody_complex,H1348,gp130 antibody complex,pass,3,3,0,"A,B,C",casp17/protein_object_library_current/H1348_gp130_antibody_complex,casp17/protein_object_library_current/H1348_gp130_antibody_complex/README.md,casp17/protein_object_library_current/H1348_gp130_antibody_complex/protein_manifest.json,chain_A,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/viewer.html,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/renders/H1348_chain_A_projection.svg,casp17/targets_current/H1348_gp130_antibody_complex/objects/chain_A/models/H1348_chain_A.pdb,pass,
H1349_gp130_antibody_complex,H1349,gp130 antibody complex,pass,3,3,0,"A,B,C",casp17/protein_object_library_current/H1349_gp130_antibody_complex,casp17/protein_object_library_current/H1349_gp130_antibody_complex/README.md,casp17/protein_object_library_current/H1349_gp130_antibody_complex/protein_manifest.json,chain_A,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/viewer.html,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/renders/H1349_chain_A_projection.svg,casp17/targets_current/H1349_gp130_antibody_complex/objects/chain_A/models/H1349_chain_A.pdb,pass,
H1354_hemagglutinin_antibody,H1354,hemagglutinin/antibody,pass,3,3,0,"A,B,C",casp17/protein_object_library_current/H1354_hemagglutinin_antibody,casp17/protein_object_library_current/H1354_hemagglutinin_antibody/README.md,casp17/protein_object_library_current/H1354_hemagglutinin_antibody/protein_manifest.json,chain_A,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/viewer.html,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/renders/H1354_chain_A_projection.svg,casp17/targets_current/H1354_hemagglutinin_antibody/objects/chain_A/models/H1354_chain_A.pdb,pass,
H1355_hemagglutinin_antibody,H1355,hemagglutinin/antibody,pass,3,3,0,"A,B,C",casp17/protein_object_library_current/H1355_hemagglutinin_antibody,casp17/protein_object_library_current/H1355_hemagglutinin_antibody/README.md,casp17/protein_object_library_current/H1355_hemagglutinin_antibody/protein_manifest.json,chain_A,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/viewer.html,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/renders/H1355_chain_A_projection.svg,casp17/targets_current/H1355_hemagglutinin_antibody/objects/chain_A/models/H1355_chain_A.pdb,pass,
