action_id,action_status,sync_mode,request_id,candidate_target_id,field_key,review_gate_status,destination_operator_csv,destination_field_present,source_operator_value,source_operator_evidence_ref,source_operator_clearance,source_operator_id,current_operator_value,current_operator_evidence_ref,proposed_operator_value,proposed_operator_evidence_ref,blocker,next_action
first_unlock_evidence_sync_001,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,source_id,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/source_id.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_002,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,prediction_pdb,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_003,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,prediction_pdb_dropzone,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,,,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_pdb_dropzone.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_004,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,prediction_created_at,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_005,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,native_release_date,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_release_date.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_006,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,prediction_created_at/native_release_date,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,,,/,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/prediction_created_at_native_release_date.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_007,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,native_authority_ref,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/native_authority_ref.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_008,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,creation_evidence_ref,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/creation_evidence_ref.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_009,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,no_leak_evidence_ref,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/no_leak_evidence_ref.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_010,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,method_summary,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/method_summary.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
first_unlock_evidence_sync_011,blocked_review_gate_not_ready,dry_run,source_request_001,HIST_BBA5,operator_clearance,awaiting_operator_evidence,casp17/strict_blind_source_gate_operator_packet/hist_REQUIRED_MONOMER_001/source_gate_operator_values.csv,true,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/operator_clearance.md,,,,,,casp17/strict_blind_first_unlock_evidence_packet/source_request_001_hist_bba5/field_evidence/operator_clearance.md,template_operator_value_missing,complete first-unlock evidence review before syncing into the source gate
