target_label,mapped_target_id,request_id,candidate_scope,native_release_date,candidate_count,pre_native_count,post_native_count,same_day_count,prediction_date_missing_count,unmapped_count,earliest_prediction_date,latest_prediction_date,first_candidate_path,target_review_status,next_action
bba5,HIST_BBA5,source_request_001,monomer,2004-05-13,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_bba5_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
chignolin,HIST_CHIGNOLIN,source_request_002,monomer,2003-03-13,22,0,22,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_chignolin_sample000_step00010.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
crambin,HIST_CRAMBIN,source_request_003,monomer,1981-04-30,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_crambin_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
fsd_1,HIST_FSD_1,source_request_004,monomer,1997-06-09,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_fsd_1_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
gb1_mini,HIST_GB1_MINI,source_request_005,monomer,1991-05-15,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_gb1_mini_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
protein_a_bdomain,HIST_PROTEIN_A_BDOMAIN,source_request_006,monomer,1996-06-28,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_protein_a_bdomain_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
trp_cage,HIST_TRP_CAGE,source_request_007,monomer,2002-02-25,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_trp_cage_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
ubiquitin_mini,HIST_UBIQUITIN_MINI,source_request_008,monomer,1987-01-02,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_ubiquitin_mini_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
villin_hp35,HIST_VILLIN_HP35,source_request_009,monomer,2005-02-03,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_villin_hp35_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
ww_domain_fip35,HIST_WW_DOMAIN_FIP35,source_request_010,monomer,2005-11-15,16,0,16,0,0,0,2026-02-19,2026-02-22,data/internal_structures/nightly/2026-02-19-ops-full-dashboard-r1/internal_post_ww_domain_fip35_sample000_step00020.pdb,target_all_internal_like_candidates_post_native,replace with a different pre-native internal prediction source
