acquisition_rank,request_id,target_id,acquisition_status,request_status,route_status,current_prediction_created_at,native_release_date,local_pre_native_candidate_count,local_post_native_candidate_count,operator_field_filled_count,operator_field_missing_count,operator_template_csv,source_request_folder,acquisition_folder,acquisition_template_csv,required_artifacts_csv,first_slot_prediction_dropzone,first_blocker,next_action
1,source_request_001,HIST_BBA5,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,2004-05-13,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_001,casp17/strict_blind_monomer_pre_native_acquisition_board/01_source_request_001_hist_bba5,casp17/strict_blind_monomer_pre_native_acquisition_board/01_source_request_001_hist_bba5/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/01_source_request_001_hist_bba5/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
2,source_request_002,HIST_CHIGNOLIN,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,2003-03-13,0,22,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_002/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_002,casp17/strict_blind_monomer_pre_native_acquisition_board/02_source_request_002_hist_chignolin,casp17/strict_blind_monomer_pre_native_acquisition_board/02_source_request_002_hist_chignolin/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/02_source_request_002_hist_chignolin/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
3,source_request_003,HIST_CRAMBIN,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,1981-04-30,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_003,casp17/strict_blind_monomer_pre_native_acquisition_board/03_source_request_003_hist_crambin,casp17/strict_blind_monomer_pre_native_acquisition_board/03_source_request_003_hist_crambin/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/03_source_request_003_hist_crambin/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
4,source_request_004,HIST_FSD_1,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,1997-06-09,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_004/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_004,casp17/strict_blind_monomer_pre_native_acquisition_board/04_source_request_004_hist_fsd_1,casp17/strict_blind_monomer_pre_native_acquisition_board/04_source_request_004_hist_fsd_1/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/04_source_request_004_hist_fsd_1/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
5,source_request_005,HIST_GB1_MINI,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,1991-05-15,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_005/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_005,casp17/strict_blind_monomer_pre_native_acquisition_board/05_source_request_005_hist_gb1_mini,casp17/strict_blind_monomer_pre_native_acquisition_board/05_source_request_005_hist_gb1_mini/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/05_source_request_005_hist_gb1_mini/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
6,source_request_006,HIST_PROTEIN_A_BDOMAIN,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,1996-06-28,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_006,casp17/strict_blind_monomer_pre_native_acquisition_board/06_source_request_006_hist_protein_a_bdomain,casp17/strict_blind_monomer_pre_native_acquisition_board/06_source_request_006_hist_protein_a_bdomain/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/06_source_request_006_hist_protein_a_bdomain/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
7,source_request_007,HIST_TRP_CAGE,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,2002-02-25,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_007/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_007,casp17/strict_blind_monomer_pre_native_acquisition_board/07_source_request_007_hist_trp_cage,casp17/strict_blind_monomer_pre_native_acquisition_board/07_source_request_007_hist_trp_cage/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/07_source_request_007_hist_trp_cage/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
8,source_request_008,HIST_UBIQUITIN_MINI,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,1987-01-02,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_008/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_008,casp17/strict_blind_monomer_pre_native_acquisition_board/08_source_request_008_hist_ubiquitin_mini,casp17/strict_blind_monomer_pre_native_acquisition_board/08_source_request_008_hist_ubiquitin_mini/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/08_source_request_008_hist_ubiquitin_mini/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
9,source_request_009,HIST_VILLIN_HP35,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,2005-02-03,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_009/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_009,casp17/strict_blind_monomer_pre_native_acquisition_board/09_source_request_009_hist_villin_hp35,casp17/strict_blind_monomer_pre_native_acquisition_board/09_source_request_009_hist_villin_hp35/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/09_source_request_009_hist_villin_hp35/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
10,source_request_010,HIST_WW_DOMAIN_FIP35,awaiting_pre_native_artifact_operator_acquisition,awaiting_pre_native_source_or_replacement,in_scope_current_candidate_disqualified_post_native,2026-02-19,2005-11-15,0,16,0,11,casp17/strict_blind_source_gate_source_request_packet/source_request_010/operator_source_values_template.csv,casp17/strict_blind_source_gate_source_request_packet/source_request_010,casp17/strict_blind_monomer_pre_native_acquisition_board/10_source_request_010_hist_ww_domain_fip35,casp17/strict_blind_monomer_pre_native_acquisition_board/10_source_request_010_hist_ww_domain_fip35/operator_acquisition_template.csv,casp17/strict_blind_monomer_pre_native_acquisition_board/10_source_request_010_hist_ww_domain_fip35/required_artifacts.csv,casp17/historical_seed_strict_blind_replacement_evidence_dropzones/01_hist_required_monomer_001/prediction/replacement_prediction.pdb,prediction_not_before_native,acquire a pre-native internal prediction artifact with timestamp and no-leak evidence
