request_id,candidate_target_id,candidate_scope,request_kind,fulfillment_status,ready_for_operator_packet,operator_template_csv,operator_field_count,operator_field_filled_count,operator_field_missing_count,operator_evidence_ref_count,operator_evidence_ref_missing_count,source_id,source_classification_status,prediction_pdb,prediction_pdb_exists,prediction_pdb_atom_count,prediction_created_at,native_release_date,chronology_status,first_blocker,next_action
source_request_001,HIST_BBA5,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_001/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_002,HIST_CHIGNOLIN,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_002/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_003,HIST_CRAMBIN,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_003/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_004,HIST_FSD_1,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_004/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_005,HIST_GB1_MINI,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_005/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_006,HIST_PROTEIN_A_BDOMAIN,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_006/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_007,HIST_TRP_CAGE,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_007/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_008,HIST_UBIQUITIN_MINI,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_008/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_009,HIST_VILLIN_HP35,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_009/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_010,HIST_WW_DOMAIN_FIP35,monomer,pre_native_prediction_source_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_010/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,source_id_missing,fill operator_value for source_id
source_request_011,HIST_COMPLEX_01_TCRUZI_PDE_EXTERNAL_PDEB1_010_CHEMBL4453005,complex,candidate_replacement_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_011/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before first-slot use
source_request_012,HIST_COMPLEX_02_TCRUZI_PDE_EXTERNAL_PDEB1_043_CHEMBL2171451,complex,candidate_replacement_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_012/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before first-slot use
source_request_013,HIST_COMPLEX_03_TCRUZI_PDE_EXTERNAL_PDEB1_025_CHEMBL4441871,complex,candidate_replacement_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_013/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before first-slot use
source_request_014,HIST_COMPLEX_04_TCRUZI_PDE_EXTERNAL_PDEB1_032_CHEMBL4445930,complex,candidate_replacement_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_014/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before first-slot use
source_request_015,HIST_COMPLEX_05_TCRUZI_PDE_EXTERNAL_PDEB1_007_CHEMBL3764370,complex,candidate_replacement_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_015/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before first-slot use
source_request_016,HIST_COMPLEX_06_TCRUZI_PDE_EXTERNAL_PDEB1_017_CHEMBL3765606,complex,candidate_replacement_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_016/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before first-slot use
source_request_017,HIST_COMPLEX_07_TCRUZI_PDE_BINDINGDB_PDEB1_007_BDB50397079,complex,candidate_replacement_required,blocked_on_source_request_fulfillment,False,casp17/strict_blind_source_gate_source_request_packet/source_request_017/operator_source_values_template.csv,11,0,11,0,9,,source_id_missing,,False,0,,,date_missing_or_invalid,candidate_replacement_required,replace this out-of-scope candidate with a strict-blind monomer candidate before first-slot use
