target_id,protein_name,folder_name,folder_path,lane,human_expiration,qa_expiration,final_model_path,raw_internal_model_path,fasta_path,render_file_count,figure_file_count,object_count,object_projection_count,object_viewer_count,object_index_md,metadata_file_count,atom_count,protein_atom_count,model_count,chain_count,residue_count,coordinate_status,folder_status,blockers,target_manifest_path,readme_path
T1331,5AT,T1331_5AT,casp17/targets_current/T1331_5AT,difficult_protein_complexes,2026-05-26,2026-05-29,casp17/targets_current/T1331_5AT/models/T1331_final_selected_model.pdb,casp17/targets_current/T1331_5AT/models/T1331_internal_physics_raw_model_1.pdb,casp17/targets_current/T1331_5AT/metadata/T1331.fasta,20,4,1,1,1,casp17/targets_current/T1331_5AT/objects/OBJECT_INDEX.md,7,1393,1393,1,1,281,valid,ready,,casp17/targets_current/T1331_5AT/metadata/T1331_folder_manifest.json,casp17/targets_current/T1331_5AT/README.md
H1335,HCMV Merlin gHgLgO-Fab complex,H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,difficult_protein_complexes,2026-05-27,2026-05-30,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/models/H1335_final_selected_model.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/models/H1335_internal_physics_raw_model_1.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/metadata/H1335.fasta,20,4,5,5,5,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/OBJECT_INDEX.md,7,9020,9020,1,5,1820,valid,ready,,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/metadata/H1335_folder_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/README.md
H2312,EXT1-EXT2-2BAV4,H2312_EXT1_EXT2_2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4,difficult_protein_complexes,2026-05-27,2026-05-30,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/models/H2312_final_selected_model.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/models/H2312_internal_physics_raw_model_1.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/metadata/H2312.fasta,20,4,3,3,3,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/OBJECT_INDEX.md,7,6974,6974,1,3,1409,valid,ready,,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/metadata/H2312_folder_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/README.md
T2313,P66,T2313_P66,casp17/targets_current/T2313_P66,difficult_protein_complexes,2026-05-28,2026-05-31,casp17/targets_current/T2313_P66/models/T2313_final_selected_model.pdb,casp17/targets_current/T2313_P66/models/T2313_internal_physics_raw_model_1.pdb,casp17/targets_current/T2313_P66/metadata/T2313.fasta,20,4,1,1,1,casp17/targets_current/T2313_P66/objects/OBJECT_INDEX.md,7,3042,3042,1,1,618,valid,ready,,casp17/targets_current/T2313_P66/metadata/T2313_folder_manifest.json,casp17/targets_current/T2313_P66/README.md
H2338,Factor XIa antibody complex 9933,H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,difficult_protein_complexes,2026-05-29,2026-06-01,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/models/H2338_final_selected_model.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/models/H2338_internal_physics_raw_model_1.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/metadata/H2338.fasta,20,4,4,4,4,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/OBJECT_INDEX.md,7,5175,5175,1,4,1050,valid,ready,,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/metadata/H2338_folder_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/README.md
H2339,Factor XIa antibody complex 7508,H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,difficult_protein_complexes,2026-05-30,2026-06-02,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/models/H2339_final_selected_model.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/models/H2339_internal_physics_raw_model_1.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/metadata/H2339.fasta,20,4,4,4,4,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/OBJECT_INDEX.md,7,5146,5146,1,4,1044,valid,ready,,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/metadata/H2339_folder_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/README.md
H1340,Parahenipavirus F protein /antibody complex,H1340_Parahenipavirus_F_protein_antibody_complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex,difficult_protein_complexes,2026-06-01,2026-06-04,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/models/H1340_final_selected_model.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/models/H1340_internal_physics_raw_model_1.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/metadata/H1340.fasta,20,4,3,3,3,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/OBJECT_INDEX.md,7,3376,3376,1,3,686,valid,ready,,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/metadata/H1340_folder_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/README.md
H1343,Hepatitis C Virus sE2 CBH-4G Fab complex,H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex,difficult_protein_complexes,2026-06-01,2026-06-04,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/models/H1343_final_selected_model.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/models/H1343_internal_physics_raw_model_1.pdb,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/metadata/H1343.fasta,20,4,3,3,3,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/objects/OBJECT_INDEX.md,7,3804,3804,1,3,773,valid,ready,,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/metadata/H1343_folder_manifest.json,casp17/targets_current/H1343_Hepatitis_C_Virus_sE2_CBH_4G_Fab_complex/README.md
H2319,Human astrovirus VA1 capsid spike - antibody 7C8 complex,H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex,difficult_protein_complexes,2026-06-02,2026-06-05,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/models/H2319_final_selected_model.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/models/H2319_internal_physics_raw_model_1.pdb,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/metadata/H2319.fasta,20,4,3,3,3,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/objects/OBJECT_INDEX.md,7,2439,2439,1,3,497,valid,ready,,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/metadata/H2319_folder_manifest.json,casp17/targets_current/H2319_Human_astrovirus_VA1_capsid_spike_antibody_7C8_complex/README.md
T1342,Spike glycoprotein ectodomain,T1342_Spike_glycoprotein_ectodomain,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain,difficult_protein_complexes,2026-06-02,2026-06-05,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/models/T1342_final_selected_model.pdb,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/models/T1342_internal_physics_raw_model_1.pdb,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/metadata/T1342.fasta,20,4,1,1,1,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/objects/OBJECT_INDEX.md,7,7155,7155,1,1,1455,valid,ready,,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/metadata/T1342_folder_manifest.json,casp17/targets_current/T1342_Spike_glycoprotein_ectodomain/README.md
H1344,HSV gD - HAB72,H1344_HSV_gD_HAB72,casp17/targets_current/H1344_HSV_gD_HAB72,difficult_protein_complexes,2026-06-03,2026-06-06,casp17/targets_current/H1344_HSV_gD_HAB72/models/H1344_final_selected_model.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/models/H1344_internal_physics_raw_model_1.pdb,casp17/targets_current/H1344_HSV_gD_HAB72/metadata/H1344.fasta,20,4,3,3,3,casp17/targets_current/H1344_HSV_gD_HAB72/objects/OBJECT_INDEX.md,7,3621,3621,1,3,734,valid,ready,,casp17/targets_current/H1344_HSV_gD_HAB72/metadata/H1344_folder_manifest.json,casp17/targets_current/H1344_HSV_gD_HAB72/README.md
H2321,Human astrovirus VA1 capsid spike - antibody 2A2 complex,H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex,difficult_protein_complexes,2026-06-03,2026-06-06,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/models/H2321_final_selected_model.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/models/H2321_internal_physics_raw_model_1.pdb,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/metadata/H2321.fasta,20,4,3,3,3,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/objects/OBJECT_INDEX.md,7,2462,2462,1,3,502,valid,ready,,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/metadata/H2321_folder_manifest.json,casp17/targets_current/H2321_Human_astrovirus_VA1_capsid_spike_antibody_2A2_complex/README.md
H1346,REGN3753 Fab-Fab complex,H1346_REGN3753_Fab_Fab_complex,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex,difficult_protein_complexes,2026-06-04,2026-06-07,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/models/H1346_final_selected_model.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/models/H1346_internal_physics_raw_model_1.pdb,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/metadata/H1346.fasta,20,4,4,4,4,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/objects/OBJECT_INDEX.md,7,4363,4363,1,4,885,valid,ready,,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/metadata/H1346_folder_manifest.json,casp17/targets_current/H1346_REGN3753_Fab_Fab_complex/README.md
H1347,REGN15499 Fab-Fab complex,H1347_REGN15499_Fab_Fab_complex,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex,difficult_protein_complexes,2026-06-04,2026-06-07,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/models/H1347_final_selected_model.pdb,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/models/H1347_internal_physics_raw_model_1.pdb,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/metadata/H1347.fasta,20,4,4,4,4,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/objects/OBJECT_INDEX.md,7,4311,4311,1,4,876,valid,ready,,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/metadata/H1347_folder_manifest.json,casp17/targets_current/H1347_REGN15499_Fab_Fab_complex/README.md
H1348,gp130 antibody complex,H1348_gp130_antibody_complex,casp17/targets_current/H1348_gp130_antibody_complex,difficult_protein_complexes,2026-06-05,2026-06-08,casp17/targets_current/H1348_gp130_antibody_complex/models/H1348_final_selected_model.pdb,casp17/targets_current/H1348_gp130_antibody_complex/models/H1348_internal_physics_raw_model_1.pdb,casp17/targets_current/H1348_gp130_antibody_complex/metadata/H1348.fasta,20,4,3,3,3,casp17/targets_current/H1348_gp130_antibody_complex/objects/OBJECT_INDEX.md,7,5112,5112,1,3,1034,valid,ready,,casp17/targets_current/H1348_gp130_antibody_complex/metadata/H1348_folder_manifest.json,casp17/targets_current/H1348_gp130_antibody_complex/README.md
H1349,gp130 antibody complex,H1349_gp130_antibody_complex,casp17/targets_current/H1349_gp130_antibody_complex,difficult_protein_complexes,2026-06-05,2026-06-08,casp17/targets_current/H1349_gp130_antibody_complex/models/H1349_final_selected_model.pdb,casp17/targets_current/H1349_gp130_antibody_complex/models/H1349_internal_physics_raw_model_1.pdb,casp17/targets_current/H1349_gp130_antibody_complex/metadata/H1349.fasta,20,4,3,3,3,casp17/targets_current/H1349_gp130_antibody_complex/objects/OBJECT_INDEX.md,7,5094,5094,1,3,1030,valid,ready,,casp17/targets_current/H1349_gp130_antibody_complex/metadata/H1349_folder_manifest.json,casp17/targets_current/H1349_gp130_antibody_complex/README.md
