target_id,protein_name,object_id,chain_id,folder_audit_status,target_folder,object_folder,model_path,projection_svg_path,viewer_html_path,manifest_path,readme_path,atom_count,protein_atom_count,residue_count,chain_ids,coordinate_status,blockers
T1331,5AT,chain_A,A,pass,casp17/targets_current/T1331_5AT,casp17/targets_current/T1331_5AT/objects/chain_A,casp17/targets_current/T1331_5AT/objects/chain_A/models/T1331_chain_A.pdb,casp17/targets_current/T1331_5AT/objects/chain_A/renders/T1331_chain_A_projection.svg,casp17/targets_current/T1331_5AT/objects/chain_A/viewer.html,casp17/targets_current/T1331_5AT/objects/chain_A/metadata/T1331_chain_A_manifest.json,casp17/targets_current/T1331_5AT/objects/chain_A/README.md,1393,1393,281,A,valid,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_A,A,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/renders/H1335_chain_A_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/metadata/H1335_chain_A_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/README.md,2181,2181,439,A,valid,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_B,B,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/renders/H1335_chain_B_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/metadata/H1335_chain_B_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/README.md,3441,3441,692,B,valid,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_C,C,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/renders/H1335_chain_C_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/metadata/H1335_chain_C_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/README.md,1226,1226,248,C,valid,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_D,D,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/renders/H1335_chain_D_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/metadata/H1335_chain_D_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/README.md,1058,1058,214,D,valid,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_E,E,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/renders/H1335_chain_E_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/metadata/H1335_chain_E_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/README.md,1114,1114,227,E,valid,
H2312,EXT1-EXT2-2BAV4,chain_A,A,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/models/H2312_chain_A.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/renders/H2312_chain_A_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/metadata/H2312_chain_A_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/README.md,3215,3215,649,A,valid,
H2312,EXT1-EXT2-2BAV4,chain_B,B,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/models/H2312_chain_B.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/renders/H2312_chain_B_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/metadata/H2312_chain_B_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/README.md,3157,3157,637,B,valid,
H2312,EXT1-EXT2-2BAV4,chain_C,C,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/models/H2312_chain_C.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/renders/H2312_chain_C_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/metadata/H2312_chain_C_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/README.md,602,602,123,C,valid,
T2313,P66,chain_A,A,pass,casp17/targets_current/T2313_P66,casp17/targets_current/T2313_P66/objects/chain_A,casp17/targets_current/T2313_P66/objects/chain_A/models/T2313_chain_A.pdb,casp17/targets_current/T2313_P66/objects/chain_A/renders/T2313_chain_A_projection.svg,casp17/targets_current/T2313_P66/objects/chain_A/viewer.html,casp17/targets_current/T2313_P66/objects/chain_A/metadata/T2313_chain_A_manifest.json,casp17/targets_current/T2313_P66/objects/chain_A/README.md,3042,3042,618,A,valid,
H2338,Factor XIa antibody complex 9933,chain_A,A,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/models/H2338_chain_A.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/renders/H2338_chain_A_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/metadata/H2338_chain_A_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/README.md,1119,1119,228,A,valid,
H2338,Factor XIa antibody complex 9933,chain_B,B,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/models/H2338_chain_B.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/renders/H2338_chain_B_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/metadata/H2338_chain_B_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/README.md,1063,1063,215,B,valid,
H2338,Factor XIa antibody complex 9933,chain_C,C,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/models/H2338_chain_C.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/renders/H2338_chain_C_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/metadata/H2338_chain_C_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/README.md,1827,1827,369,C,valid,
H2338,Factor XIa antibody complex 9933,chain_D,D,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/models/H2338_chain_D.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/renders/H2338_chain_D_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/metadata/H2338_chain_D_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_D/README.md,1166,1166,238,D,valid,
H2339,Factor XIa antibody complex 7508,chain_A,A,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/models/H2339_chain_A.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/renders/H2339_chain_A_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/metadata/H2339_chain_A_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_A/README.md,1095,1095,223,A,valid,
H2339,Factor XIa antibody complex 7508,chain_B,B,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/models/H2339_chain_B.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/renders/H2339_chain_B_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/metadata/H2339_chain_B_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_B/README.md,1058,1058,214,B,valid,
H2339,Factor XIa antibody complex 7508,chain_C,C,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/models/H2339_chain_C.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/renders/H2339_chain_C_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/metadata/H2339_chain_C_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_C/README.md,1827,1827,369,C,valid,
H2339,Factor XIa antibody complex 7508,chain_D,D,pass,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/models/H2339_chain_D.pdb,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/renders/H2339_chain_D_projection.svg,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/viewer.html,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/metadata/H2339_chain_D_manifest.json,casp17/targets_current/H2339_Factor_XIa_antibody_complex_7508/objects/chain_D/README.md,1166,1166,238,D,valid,
H1340,Parahenipavirus F protein /antibody complex,chain_A,A,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/models/H1340_chain_A.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/renders/H1340_chain_A_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/metadata/H1340_chain_A_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_A/README.md,2280,2280,462,A,valid,
H1340,Parahenipavirus F protein /antibody complex,chain_B,B,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/models/H1340_chain_B.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/renders/H1340_chain_B_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/metadata/H1340_chain_B_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_B/README.md,571,571,117,B,valid,
H1340,Parahenipavirus F protein /antibody complex,chain_C,C,pass,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/models/H1340_chain_C.pdb,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/renders/H1340_chain_C_projection.svg,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/viewer.html,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/metadata/H1340_chain_C_manifest.json,casp17/targets_current/H1340_Parahenipavirus_F_protein_antibody_complex/objects/chain_C/README.md,525,525,107,C,valid,
