target_id,protein_name,object_id,chain_id,review_status,target_folder,object_folder,model_path,projection_svg_path,viewer_html_path,manifest_path,readme_path,atom_count,protein_atom_count,ca_atom_count,residue_count,source_atom_count,source_protein_atom_count,source_residue_count,source_coordinate_status,viewer_local_status,blockers,bbox_x,bbox_y,bbox_z,bbox_diagonal,centroid_x,centroid_y,centroid_z,radius_of_gyration,review_md_path
T1331,5AT,chain_A,A,pass,casp17/targets_current/T1331_5AT,casp17/targets_current/T1331_5AT/objects/chain_A,casp17/targets_current/T1331_5AT/objects/chain_A/models/T1331_chain_A.pdb,casp17/targets_current/T1331_5AT/objects/chain_A/renders/T1331_chain_A_projection.svg,casp17/targets_current/T1331_5AT/objects/chain_A/viewer.html,casp17/targets_current/T1331_5AT/objects/chain_A/metadata/T1331_chain_A_manifest.json,casp17/targets_current/T1331_5AT/objects/chain_A/README.md,2342,2342,281,281,2342,2342,281,valid,pass,,42.963,45.323,50.508,80.318,0.136,0.16,0.278,14.49,casp17/targets_current/T1331_5AT/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H1335,HCMV Merlin gHgLgO-Fab complex,chain_A,A,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/renders/H1335_chain_A_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/metadata/H1335_chain_A_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/README.md,3592,3592,439,439,3592,3592,439,valid,pass,,35.523,68.749,79.624,111.033,33.866,-1.102,0.66,19.115,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H1335,HCMV Merlin gHgLgO-Fab complex,chain_B,B,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/renders/H1335_chain_B_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/metadata/H1335_chain_B_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/README.md,5546,5546,692,692,5546,5546,692,valid,pass,,68.641,89.443,68.359,131.851,5.148,33.4,-3.172,20.167,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/review/OBJECT_MODEL_REVIEW.md
H1335,HCMV Merlin gHgLgO-Fab complex,chain_C,C,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/renders/H1335_chain_C_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/metadata/H1335_chain_C_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/README.md,1938,1938,248,248,1938,1938,248,valid,pass,,44.297,41.446,50.302,78.805,-23.854,12.055,5.41,14.243,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/review/OBJECT_MODEL_REVIEW.md
H1335,HCMV Merlin gHgLgO-Fab complex,chain_D,D,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/renders/H1335_chain_D_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/metadata/H1335_chain_D_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/README.md,1650,1650,214,214,1650,1650,214,valid,pass,,34.616,43.135,57.538,79.809,-25.279,-14.938,-6.334,15.478,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/review/OBJECT_MODEL_REVIEW.md
H1335,HCMV Merlin gHgLgO-Fab complex,chain_E,E,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/renders/H1335_chain_E_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/viewer.html,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/metadata/H1335_chain_E_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/README.md,1713,1713,227,227,1713,1713,227,valid,pass,,49.821,34.323,50.695,78.932,9.754,-29.503,3.904,15.12,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/review/OBJECT_MODEL_REVIEW.md
H2312,EXT1-EXT2-2BAV4,chain_A,A,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/models/H2312_chain_A.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/renders/H2312_chain_A_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/metadata/H2312_chain_A_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/README.md,5279,5279,649,649,5279,5279,649,valid,pass,,66.115,67.757,75.948,121.368,29.065,-3.641,-3.643,20.38,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H2312,EXT1-EXT2-2BAV4,chain_B,B,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/models/H2312_chain_B.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/renders/H2312_chain_B_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/metadata/H2312_chain_B_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/README.md,5135,5135,637,637,5135,5135,637,valid,pass,,73.272,53.198,61.058,109.21,-14.331,25.67,3.521,18.95,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/review/OBJECT_MODEL_REVIEW.md
H2312,EXT1-EXT2-2BAV4,chain_C,C,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/models/H2312_chain_C.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/renders/H2312_chain_C_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/viewer.html,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/metadata/H2312_chain_C_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/README.md,950,950,123,123,950,950,123,valid,pass,,44.615,26.035,32.782,61.18,-14.526,-21.981,-0.063,11.888,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/review/OBJECT_MODEL_REVIEW.md
T2313,P66,chain_A,A,pass,casp17/targets_current/T2313_P66,casp17/targets_current/T2313_P66/objects/chain_A,casp17/targets_current/T2313_P66/objects/chain_A/models/T2313_chain_A.pdb,casp17/targets_current/T2313_P66/objects/chain_A/renders/T2313_chain_A_projection.svg,casp17/targets_current/T2313_P66/objects/chain_A/viewer.html,casp17/targets_current/T2313_P66/objects/chain_A/metadata/T2313_chain_A_manifest.json,casp17/targets_current/T2313_P66/objects/chain_A/README.md,4815,4815,618,618,4815,4815,618,valid,pass,,118.495,60.349,68.777,149.711,-0.037,-0.068,0.053,21.35,casp17/targets_current/T2313_P66/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H2338,Factor XIa antibody complex 9933,chain_A,A,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/models/H2338_chain_A.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/renders/H2338_chain_A_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/metadata/H2338_chain_A_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/README.md,1721,1721,228,228,1721,1721,228,valid,pass,,46.685,33.524,59.011,82.375,20.831,-3.55,3.255,15.06,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/review/OBJECT_MODEL_REVIEW.md
H2338,Factor XIa antibody complex 9933,chain_B,B,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/models/H2338_chain_B.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/renders/H2338_chain_B_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/metadata/H2338_chain_B_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/README.md,1646,1646,215,215,1646,1646,215,valid,pass,,27.894,67.197,35.776,81.077,4.086,26.762,-0.01,15.42,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_B/review/OBJECT_MODEL_REVIEW.md
H2338,Factor XIa antibody complex 9933,chain_C,C,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/models/H2338_chain_C.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/renders/H2338_chain_C_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/viewer.html,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/metadata/H2338_chain_C_manifest.json,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/README.md,2879,2879,369,369,2879,2879,369,valid,pass,,56.899,42.502,42.922,82.983,-27.296,2.631,1.679,17.042,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_C/review/OBJECT_MODEL_REVIEW.md
