target_id,object_id,chain_id,object_folder,model_path,projection_svg_path,viewer_html_path,atom_count,protein_atom_count,residue_count,coordinate_status,manifest_path,readme_path,protein_name,target_folder
T1331,chain_A,A,casp17/targets_current/T1331_5AT/objects/chain_A,casp17/targets_current/T1331_5AT/objects/chain_A/models/T1331_chain_A.pdb,casp17/targets_current/T1331_5AT/objects/chain_A/renders/T1331_chain_A_projection.svg,casp17/targets_current/T1331_5AT/objects/chain_A/viewer.html,2342,2342,281,valid,casp17/targets_current/T1331_5AT/objects/chain_A/metadata/T1331_chain_A_manifest.json,casp17/targets_current/T1331_5AT/objects/chain_A/README.md,5AT,casp17/targets_current/T1331_5AT
H1335,chain_A,A,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/renders/H1335_chain_A_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/viewer.html,3592,3592,439,valid,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/metadata/H1335_chain_A_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/README.md,HCMV Merlin gHgLgO-Fab complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex
H1335,chain_B,B,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/renders/H1335_chain_B_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/viewer.html,5546,5546,692,valid,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/metadata/H1335_chain_B_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/README.md,HCMV Merlin gHgLgO-Fab complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex
H1335,chain_C,C,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/renders/H1335_chain_C_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/viewer.html,1938,1938,248,valid,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/metadata/H1335_chain_C_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/README.md,HCMV Merlin gHgLgO-Fab complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex
H1335,chain_D,D,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/renders/H1335_chain_D_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/viewer.html,1650,1650,214,valid,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/metadata/H1335_chain_D_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/README.md,HCMV Merlin gHgLgO-Fab complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex
H1335,chain_E,E,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/renders/H1335_chain_E_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/viewer.html,1713,1713,227,valid,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/metadata/H1335_chain_E_manifest.json,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/README.md,HCMV Merlin gHgLgO-Fab complex,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex
H2312,chain_A,A,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/models/H2312_chain_A.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/renders/H2312_chain_A_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/viewer.html,5279,5279,649,valid,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/metadata/H2312_chain_A_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/README.md,EXT1-EXT2-2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4
H2312,chain_B,B,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/models/H2312_chain_B.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/renders/H2312_chain_B_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/viewer.html,5135,5135,637,valid,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/metadata/H2312_chain_B_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/README.md,EXT1-EXT2-2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4
H2312,chain_C,C,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/models/H2312_chain_C.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/renders/H2312_chain_C_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/viewer.html,950,950,123,valid,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/metadata/H2312_chain_C_manifest.json,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/README.md,EXT1-EXT2-2BAV4,casp17/targets_current/H2312_EXT1_EXT2_2BAV4
T2313,chain_A,A,casp17/targets_current/T2313_P66/objects/chain_A,casp17/targets_current/T2313_P66/objects/chain_A/models/T2313_chain_A.pdb,casp17/targets_current/T2313_P66/objects/chain_A/renders/T2313_chain_A_projection.svg,casp17/targets_current/T2313_P66/objects/chain_A/viewer.html,4815,4815,618,valid,casp17/targets_current/T2313_P66/objects/chain_A/metadata/T2313_chain_A_manifest.json,casp17/targets_current/T2313_P66/objects/chain_A/README.md,P66,casp17/targets_current/T2313_P66
