target_id,protein_name,object_id,chain_id,viewer_status,model_path,projection_svg_path,viewer_html_path,atom_count,residue_count,blockers
T1331,5AT,chain_A,A,pass,casp17/targets_current/T1331_5AT/objects/chain_A/models/T1331_chain_A.pdb,casp17/targets_current/T1331_5AT/objects/chain_A/renders/T1331_chain_A_projection.svg,casp17/targets_current/T1331_5AT/objects/chain_A/viewer.html,1393,281,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_A,A,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/models/H1335_chain_A.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/renders/H1335_chain_A_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_A/viewer.html,2181,439,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_B,B,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/models/H1335_chain_B.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/renders/H1335_chain_B_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_B/viewer.html,3441,692,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_C,C,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/models/H1335_chain_C.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/renders/H1335_chain_C_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_C/viewer.html,1226,248,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_D,D,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/models/H1335_chain_D.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/renders/H1335_chain_D_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_D/viewer.html,1058,214,
H1335,HCMV Merlin gHgLgO-Fab complex,chain_E,E,pass,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/models/H1335_chain_E.pdb,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/renders/H1335_chain_E_projection.svg,casp17/targets_current/H1335_HCMV_Merlin_gHgLgO_Fab_complex/objects/chain_E/viewer.html,1114,227,
H2312,EXT1-EXT2-2BAV4,chain_A,A,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/models/H2312_chain_A.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/renders/H2312_chain_A_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_A/viewer.html,3215,649,
H2312,EXT1-EXT2-2BAV4,chain_B,B,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/models/H2312_chain_B.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/renders/H2312_chain_B_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_B/viewer.html,3157,637,
H2312,EXT1-EXT2-2BAV4,chain_C,C,pass,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/models/H2312_chain_C.pdb,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/renders/H2312_chain_C_projection.svg,casp17/targets_current/H2312_EXT1_EXT2_2BAV4/objects/chain_C/viewer.html,602,123,
T2313,P66,chain_A,A,pass,casp17/targets_current/T2313_P66/objects/chain_A/models/T2313_chain_A.pdb,casp17/targets_current/T2313_P66/objects/chain_A/renders/T2313_chain_A_projection.svg,casp17/targets_current/T2313_P66/objects/chain_A/viewer.html,3042,618,
H2338,Factor XIa antibody complex 9933,chain_A,A,pass,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/models/H2338_chain_A.pdb,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/renders/H2338_chain_A_projection.svg,casp17/targets_current/H2338_Factor_XIa_antibody_complex_9933/objects/chain_A/viewer.html,1119,228,
