target_id,field_name,field_group,blocker,required_value_policy,current_value,next_action
H2324,native_source_pdb,native_file,native_source_pdb_required,local protein PDB path distinct from prediction,REQUIRED_OPERATOR_NATIVE_PDB_SOURCE_PATH,"Fill native_source_pdb in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with local protein PDB path distinct from prediction, then rerun the value gate."
H2324,no_leak_evidence_ref,evidence,no_leak_evidence_ref_required,local no-leak evidence file,REQUIRED_LOCAL_NO_LEAK_EVIDENCE_FILE,"Fill no_leak_evidence_ref in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with local no-leak evidence file, then rerun the value gate."
H2324,leakage_clearance,clearance,leakage_clearance_required,cleared/no_leak style clearance value,,"Fill leakage_clearance in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with cleared/no_leak style clearance value, then rerun the value gate."
H2324,operator_clearance,clearance,operator_clearance_required,operator-cleared value,,"Fill operator_clearance in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with operator-cleared value, then rerun the value gate."
H2324,operator,operator,operator_required,operator id,,"Fill operator in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with operator id, then rerun the value gate."
H2324,prediction_created_at,date,prediction_created_at_required_iso_date,ISO date before native release,,"Fill prediction_created_at in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with ISO date before native release, then rerun the value gate."
H2324,native_release_date,date,native_release_date_required_iso_date,ISO native release date,,"Fill native_release_date in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with ISO native release date, then rerun the value gate."
H2324,prediction_generated_before_native_release,boolean,prediction_generated_before_native_release_required,true confirmation,,"Fill prediction_generated_before_native_release in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with true confirmation, then rerun the value gate."
H2324,public_template_or_native_used_for_prediction,boolean,public_template_or_native_used_for_prediction_must_be_false,false confirmation,,"Fill public_template_or_native_used_for_prediction in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate."
H2324,other_team_model_used,boolean,other_team_model_used_must_be_false,false confirmation,,"Fill other_team_model_used in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate."
H2324,post_release_information_used,boolean,post_release_information_used_must_be_false,false confirmation,,"Fill post_release_information_used in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate."
H2324,current_casp17_target,boolean,current_casp17_target_must_be_false,false confirmation,,"Fill current_casp17_target in casp17/competitive_floor_batch_native_provenance_unlock_kit/operator_fill_intake_batch.csv with false confirmation, then rerun the value gate."
