metric_row_id,target_id,official_target_id,target_class,metric_name,metric_family,metric_input_contract,metric_status,candidate_pdb,native_path_required,chain_mapping_template_csv,expected_output_json,competitive_proof_eligible,blockers,next_action
01_01_gdt_ts,H2319,H2319,protein_heteromer_or_complex,GDT_TS,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/gdt_ts/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_02_lddt,H2319,H2319,protein_heteromer_or_complex,lDDT,monomer_domain,prediction/native residue mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/lddt/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_03_tm_score,H2319,H2319,protein_heteromer_or_complex,TM-score,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/tm_score/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_04_rmsd,H2319,H2319,protein_heteromer_or_complex,RMSD,geometry,prediction/native atom mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/rmsd/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_05_gdt_ha,H2319,H2319,protein_heteromer_or_complex,GDT_HA,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/gdt_ha/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_06_molprobity,H2319,H2319,protein_heteromer_or_complex,MolProbity,model_quality,prediction structure,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/molprobity/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_07_dockq,H2319,H2319,protein_heteromer_or_complex,DockQ,complex_interface,protein-protein interface mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/dockq/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_08_ics,H2319,H2319,protein_heteromer_or_complex,ICS,complex_interface,interface contact map,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/ics/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
01_09_ips,H2319,H2319,protein_heteromer_or_complex,IPS,complex_interface,interface patch similarity,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/native_dropzone/H2319_official_native.pdb,casp17/current_post_native_scoring_scaffold/01_h2319/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/01_h2319/metrics/ips/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
02_01_gdt_ts,T1342,T1342,monomer_or_homomer,GDT_TS,monomer_domain,prediction/native chain mapping,awaiting_official_native,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/native_dropzone/T1342_official_native.pdb,casp17/current_post_native_scoring_scaffold/02_t1342/chain_mapping_template.csv,casp17/current_post_native_scoring_scaffold/02_t1342/metrics/gdt_ts/metric_result.json,false,"official_native_release_pending,native_file_missing",attach native and chain mapping before computing this metric
