queue_rank,target_id,official_target_id,urgency,official_human_expiration,days_to_official_human_expiration,review_status,candidate_pdb,candidate_sha256,object_count,chain_ids,review_md,operator_decision,operator_id,operator_decision_ref,author_serialization_status,final_upload_filename,operator_notes,decision_status,first_blocker,next_action,decision_packet_folder,decision_md,claim_boundary,submission_policy
1,H2319,H2319,today,2026-06-02,0,ready,runs/casp17_predictions_sidechain_repacked_current/H2319TS.pdb,c278eff01708e2e00a63c32158df09767a2a45c0a78be7f66a8ac7277e223abb,3,"A,B,C",casp17/current_upload_review_packet/01_h2319_human_astrovirus_va1_capsid_spike_-_antibody_7c8_complex/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/01_h2319,casp17/current_upload_operator_decision_kit/01_h2319/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
2,T1342,T1342,today,2026-06-02,0,ready,runs/casp17_predictions_sidechain_repacked_current/T1342TS.pdb,9e3a276fc923414a63e06a8fac586285a545ca29b56336573b71a59e0e26b231,1,A,casp17/current_upload_review_packet/02_t1342_spike_glycoprotein_ectodomain/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/02_t1342,casp17/current_upload_operator_decision_kit/02_t1342/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
3,H1344,H1344,soon,2026-06-03,1,ready,runs/casp17_predictions_sidechain_repacked_current/H1344TS.pdb,4a7cb5d75954954f5a4fea955b3a1a3b1609d7193bb44000adf283bb51154313,3,"A,B,C",casp17/current_upload_review_packet/03_h1344_hsv_gd_-_hab72/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/03_h1344,casp17/current_upload_operator_decision_kit/03_h1344/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
4,H2321,H2321,soon,2026-06-03,1,ready,runs/casp17_predictions_sidechain_repacked_current/H2321TS.pdb,8e1760f7d853d99c39c273a772ea302df83a8015cd5d1b3e790bf999c2565994,3,"A,B,C",casp17/current_upload_review_packet/04_h2321_human_astrovirus_va1_capsid_spike_-_antibody_2a2_complex/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/04_h2321,casp17/current_upload_operator_decision_kit/04_h2321/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
5,H1346,H1346,soon,2026-06-04,2,ready,runs/casp17_predictions_sidechain_repacked_current/H1346TS.pdb,0ed7742e897b35ec05fe376f023d209f787f3c9ff16b64820309ffc5ab078779,4,"A,B,C,D",casp17/current_upload_review_packet/05_h1346_regn3753_fab-fab_complex/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/05_h1346,casp17/current_upload_operator_decision_kit/05_h1346/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
6,H1347,H1347,soon,2026-06-04,2,ready,runs/casp17_predictions_sidechain_repacked_current/H1347TS.pdb,1d638861190c477d93170143d1747cc11eb4b4807aa4f75ba7d65e4a0433c64d,4,"A,B,C,D",casp17/current_upload_review_packet/06_h1347_regn15499_fab-fab_complex/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/06_h1347,casp17/current_upload_operator_decision_kit/06_h1347/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
7,H1348,H1348,future,2026-06-05,3,ready,runs/casp17_predictions_sidechain_repacked_current/H1348TS.pdb,90c995d19f4ff0b443764c9f3771992aed2aa40d7322d855ac8acc0252f8df0b,3,"A,B,C",casp17/current_upload_review_packet/07_h1348_gp130_antibody_complex/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/07_h1348,casp17/current_upload_operator_decision_kit/07_h1348/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
8,H1349,H1349,future,2026-06-05,3,ready,runs/casp17_predictions_sidechain_repacked_current/H1349TS.pdb,a65d6a6f47de74a751c08101d35f4737620b2b77ea9116e25c5031f1dc0eddc2,3,"A,B,C",casp17/current_upload_review_packet/08_h1349_gp130_antibody_complex/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/08_h1349,casp17/current_upload_operator_decision_kit/08_h1349/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
9,H1354,H1354,future,2026-06-08,6,ready,runs/casp17_predictions_sidechain_repacked_current/H1354TS.pdb,44c8a1fefc40b051e0e832b55796e1be65d84e6b47f6dc0bc5ca6d87b1932204,3,"A,B,C",casp17/current_upload_review_packet/09_h1354_hemagglutinin_antibody/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/09_h1354,casp17/current_upload_operator_decision_kit/09_h1354/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
10,H1355,H1355,future,2026-06-08,6,ready,runs/casp17_predictions_sidechain_repacked_current/H1355TS.pdb,982aec7f9046afaef122546c9ef580d42da2a5ac371d39b94f3580691a775ea0,3,"A,B,C",casp17/current_upload_review_packet/10_h1355_hemagglutinin_antibody/UPLOAD_REVIEW.md,,,,,,,awaiting_operator_decision,operator_decision_missing,"set operator_decision to approve, hold, or reject",casp17/current_upload_operator_decision_kit/10_h1355,casp17/current_upload_operator_decision_kit/10_h1355/DECISION.md,"CASP17 current upload operator decision kit only. It converts the current upload review packet into an operator approve/hold/reject intake surface and preserves previously entered operator decision fields. It does not submit to CASP, serialize a CASP author code, approve a model by itself, compute native accuracy, or mark strict-blind competitive proof.",do_not_submit_without_runtime_author_code_and_operator_approval
