field_name,operator_value,operator_evidence_ref,operator_clearance,operator_id,required_operator_value_format,evidence_stub_md,notes
no_leak_evidence_ref,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/no_leak_evidence_ref.md,,,path-or-uri for an independent no-leak provenance dossier,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/no_leak_evidence_ref.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
leakage_clearance,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/leakage_clearance.md,,,clear,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/leakage_clearance.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
operator_clearance,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator_clearance.md,,,operator_cleared,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator_clearance.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
operator,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator.md,,,stable operator id or initials,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/operator.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
prediction_created_at,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_created_at.md,,,YYYY-MM-DD,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_created_at.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
native_release_date,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/native_release_date.md,,,YYYY-MM-DD,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/native_release_date.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
prediction_generated_before_native_release,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_generated_before_native_release.md,,,true,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/prediction_generated_before_native_release.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
public_template_or_native_used_for_prediction,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/public_template_or_native_used_for_prediction.md,,,false,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/public_template_or_native_used_for_prediction.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
other_team_model_used,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/other_team_model_used.md,,,false,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/other_team_model_used.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
post_release_information_used,,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/post_release_information_used.md,,,false,casp17/historical_seed_first_clearance_no_leak_evidence_packet/hist_chignolin/field_evidence/post_release_information_used.md,Fill manually from independent evidence; do not auto-fill from weak local hints.
